cycle,pc,cta_id,cluster_id,warp_id,tid
1000948,e30,124,29,17,dcbef5ba
1001679,d30,124,29,19,cd8eb7c3
1002357,eb0,124,29,22,97a72e1b
1003624,f20,124,29,18,6fcd1351
1003694,db0,125,29,7,76ef644a
1004011,d08,124,29,18,6fcd1350
1004020,d10,124,29,18,6fcd1350
1004029,d18,124,29,18,6fcd1350
1004320,d20,124,29,18,6fcd1350
1004326,d28,124,29,18,6fcd1350
1004707,d30,124,29,17,dcbef5ba
1004920,f20,124,29,21,c293bbaf
1005052,e30,124,29,19,cd8eb7c3
1005340,d08,124,29,21,c293398f
1005349,d10,124,29,21,c293398f
1005358,d18,124,29,21,c293398f
1005614,db0,124,29,22,97a72e1a
1005648,d88,124,29,18,6fcd1350
1005657,d90,124,29,18,6fcd1350
1005666,d98,124,29,18,6fcd1350
1005731,d20,124,29,21,c293398f
1005737,d28,124,29,21,c293398f
1005916,da0,124,29,18,6fcd1350
1005922,da8,124,29,18,6fcd1350
1006782,e30,125,29,6,d3e7f6aa
1007161,d88,124,29,21,c293398f
1007170,d90,124,29,21,c293398f
1007180,d98,124,29,21,c293398f
1007499,e08,124,29,18,6fcd1350
1007508,e10,124,29,18,6fcd1350
1007517,e18,124,29,18,6fcd1350
1007559,da0,124,29,21,c293398f
1007565,da8,124,29,21,c293398f
1007702,e30,125,29,1,fc29b6f0
1007769,e20,124,29,18,6fcd1350
1007775,e28,124,29,18,6fcd1350
1008518,e30,125,29,3,aeaf07b7
1008924,eb0,124,29,22,97a72e1a
1009058,e08,124,29,21,c293398f
1009067,e10,124,29,21,c293398f
1009076,e18,124,29,21,c293398f
1009332,e88,124,29,18,6fcd1350
1009341,e90,124,29,18,6fcd1350
1009351,e98,124,29,18,6fcd1350
1009470,e20,124,29,21,c293398f
1009476,e28,124,29,21,c293398f
1009614,ea0,124,29,18,6fcd1350
1009620,ea8,124,29,18,6fcd1350
1010578,f08,124,29,18,6fcd1350
1010584,f10,124,29,18,6fcd1350
1010588,f18,124,29,18,6fcd1350
1010936,e88,124,29,21,c293398f
1010945,e90,124,29,21,c293398f
1010954,e98,124,29,21,c293398f
1011330,ea0,124,29,21,c293398f
1011336,ea8,124,29,21,c293398f
1012087,d30,125,29,3,aeaf07b3
1012464,f08,124,29,21,c293398f
1012470,f10,124,29,21,c293398f
1012474,f18,124,29,21,c293398f
1013827,db0,125,29,3,aeaf07b3
1015196,db0,124,29,23,a7b05ded
1015409,e30,124,29,17,dcbe75b8
1015662,f20,125,29,7,76eb644a
1016085,d08,125,29,7,66eb644a
1016094,d10,125,29,7,66eb644a
1016103,d18,125,29,7,66eb644a
1016358,d20,125,29,7,66eb644a
1016364,d28,125,29,7,66eb644a
1017317,d30,124,29,16,fda899da
1017560,d88,125,29,7,66eb644a
1017569,d90,125,29,7,66eb644a
1017578,d98,125,29,7,66eb644a
1017944,da0,125,29,7,66eb644a
1017950,da8,125,29,7,66eb644a
1018389,eb0,124,29,23,a7b05ded
1019095,d30,124,29,17,dcbe75b8
1019370,e08,125,29,7,66eb644a
1019379,e10,125,29,7,66eb644a
1019388,e18,125,29,7,66eb644a
1019681,e20,125,29,7,66eb644a
1019688,e28,125,29,7,66eb644a
1020884,e30,124,29,16,fda899da
1020902,e88,125,29,7,66eb644a
1020911,e90,125,29,7,66eb644a
1020920,e98,125,29,7,66eb644a
1021035,f28,96,29,30,ffffffff
1021039,f30,96,29,30,ffffffff
1021048,f38,96,29,30,ffffffff
1021058,f48,96,29,30,ffffffff
1021064,f40,96,29,30,ffffffff
1021293,ea0,125,29,7,66eb644a
1021299,ea8,125,29,7,66eb644a
1021501,f50,96,29,30,ffffffff
1021510,f58,96,29,30,ffffffff
1021516,f68,96,29,30,ffffffff
1021526,f60,96,29,30,ffffffff
1021790,ad8,143,29,25,ffffffff
1021791,ad8,143,29,26,ffffffff
1021792,ad8,143,29,24,ffffffff
1021793,ad8,143,29,30,ffffffff
1021794,ad8,143,29,27,ffffffff
1021795,ad8,143,29,28,ffffffff
1021796,ad8,143,29,29,ffffffff
1021797,ad8,143,29,31,ffffffff
