cycle,row_hit,row_miss
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,0,0
6300,4,18
6400,27,15
6500,56,10
6600,11,8
6700,4,13
6800,31,13
6900,48,16
7000,13,14
7100,2,13
7200,39,24
7300,22,13
7400,24,14
7500,34,20
7600,3,14
7700,27,19
7800,28,17
7900,8,17
8000,40,21
8100,3,11
8200,37,22
8300,27,19
8400,3,13
8500,25,21
8600,25,21
8700,15,23
8800,28,17
8900,12,19
9000,25,13
9100,24,19
9200,12,14
9300,11,22
9400,29,26
9500,34,17
9600,9,18
9700,5,20
9800,9,21
9900,21,20
10000,16,17
10100,30,22
10200,8,23
10300,21,16
10400,12,22
10500,9,21
10600,26,22
10700,9,25
10800,9,22
10900,9,20
11000,16,16
11100,8,26
11200,2,21
11300,4,18
11400,4,19
11500,6,26
11600,1,20
11700,3,20
11800,3,21
11900,5,20
12000,0,23
12100,3,24
12200,0,19
12300,0,20
12400,2,21
12500,4,21
12600,4,24
12700,2,16
12800,3,25
12900,2,20
13000,0,21
13100,5,21
13200,2,18
13300,6,20
13400,4,23
13500,3,23
13600,3,16
13700,6,18
13800,0,28
13900,1,19
14000,7,20
14100,4,19
14200,3,20
14300,2,28
14400,5,22
14500,2,15
14600,1,26
14700,6,15
14800,3,23
14900,6,20
15000,3,21
15100,0,23
15200,5,12
15300,1,29
15400,2,11
15500,1,28
15600,2,17
15700,4,20
15800,7,15
15900,3,21
16000,0,21
16100,1,11
16200,1,25
16300,2,23
16400,6,12
16500,3,25
16600,1,22
16700,3,18
16800,1,20
16900,3,17
17000,1,25
17100,5,20
17200,1,19
17300,10,10
17400,3,20
17500,3,21
17600,3,20
17700,2,19
17800,0,22
17900,3,21
18000,1,15
18100,1,22
18200,2,21
18300,7,17
18400,2,25
18500,4,18
18600,3,22
18700,2,14
18800,3,17
18900,3,26
19000,1,16
19100,4,19
19200,5,14
19300,3,22
19400,4,28
19500,5,9
19600,3,20
19700,3,19
19800,2,22
19900,1,19
20000,2,24
20100,3,21
20200,4,21
20300,4,10
20400,0,28
20500,3,14
20600,2,27
20700,3,18
20800,2,18
20900,1,23
21000,4,22
21100,2,15
21200,0,25
21300,0,20
21400,3,21
21500,0,22
21600,2,21
21700,1,21
21800,0,21
21900,5,18
22000,0,22
22100,4,19
22200,0,24
22300,2,17
22400,5,19
22500,2,28
22600,1,20
22700,4,13
22800,4,25
22900,1,23
23000,1,19
23100,0,21
23200,2,20
23300,2,22
23400,2,14
23500,0,29
23600,0,21
23700,2,19
23800,5,20
23900,1,23
24000,9,20
24100,1,25
24200,1,22
24300,6,20
24400,0,22
24500,2,19
24600,2,23
24700,2,19
24800,2,22
24900,1,19
25000,2,22
25100,1,22
25200,0,21
25300,0,20
25400,4,20
25500,2,20
25600,1,22
25700,3,20
25800,0,22
25900,2,19
26000,13,22
26100,0,21
26200,1,20
26300,5,24
26400,1,22
26500,3,18
26600,1,21
26700,4,24
26800,0,20
26900,1,25
27000,3,19
27100,0,21
27200,2,17
27300,1,20
27400,3,24
27500,3,19
27600,0,20
27700,2,24
27800,4,23
27900,2,20
28000,2,23
28100,3,19
28200,4,19
28300,4,23
28400,1,18
28500,4,23
28600,1,20
28700,3,23
28800,2,21
28900,1,19
29000,2,22
29100,0,19
29200,0,22
29300,1,22
29400,0,18
29500,7,21
29600,2,21
29700,0,20
29800,2,23
29900,1,20
30000,3,23
30100,4,20
30200,2,21
30300,2,20
30400,3,23
30500,2,23
30600,2,20
30700,2,20
30800,4,22
30900,0,23
31000,1,19
31100,1,22
31200,3,21
31300,1,20
31400,2,17
31500,3,25
31600,3,23
31700,1,19
31800,1,21
31900,4,23
32000,3,23
32100,3,19
32200,1,23
32300,0,20
32400,1,21
32500,3,18
32600,2,21
32700,1,24
32800,1,21
32900,3,20
33000,0,21
33100,1,20
33200,2,20
33300,0,19
33400,4,26
33500,1,20
33600,2,22
33700,2,22
33800,4,22
33900,0,21
34000,0,22
34100,0,21
34200,4,20
34300,1,19
34400,0,24
34500,3,19
34600,3,21
34700,5,21
34800,0,21
34900,1,21
35000,1,22
35100,0,21
35200,4,22
35300,1,20
35400,4,21
35500,2,21
35600,3,21
35700,1,22
35800,0,19
35900,2,22
36000,1,21
36100,1,22
36200,0,20
36300,1,23
36400,0,21
36500,0,21
36600,3,22
36700,0,22
36800,1,19
36900,2,20
37000,2,24
37100,0,21
37200,1,21
37300,1,19
37400,1,23
37500,0,20
37600,1,21
37700,1,20
37800,2,22
37900,1,19
38000,0,21
38100,0,19
38200,1,22
38300,3,25
38400,1,22
38500,1,18
38600,5,24
38700,1,18
38800,1,20
38900,1,23
39000,2,19
39100,1,24
39200,1,20
39300,2,23
39400,3,18
39500,3,23
39600,4,22
39700,4,19
39800,2,22
39900,3,21
40000,2,21
40100,2,21
40200,1,21
40300,1,23
40400,1,21
40500,1,22
40600,0,20
40700,0,17
40800,0,23
40900,2,24
41000,1,20
