cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,0,0,0,0,0,0
5800,0,0,0,0,0,0
5900,0,0,0,0,0,0
6000,56,0,0,0,0,0
6100,89,0,0,0,0,0
6200,18,0,18,0,5,0
6300,10,12,28,0,22,12
6400,9,17,26,0,26,17
6500,12,10,8,0,23,10
6600,4,4,4,0,3,4
6700,4,2,6,0,3,2
6800,7,9,8,0,12,9
6900,2,3,2,0,5,3
7000,9,10,8,0,5,10
7100,21,10,14,0,10,10
7200,3,2,3,0,3,2
7300,11,5,7,0,10,5
7400,12,2,10,0,10,2
7500,1,3,3,0,3,3
7600,12,4,9,0,7,4
7700,11,8,10,0,16,8
7800,4,4,6,0,2,4
7900,15,7,5,0,12,7
8000,10,3,6,0,11,3
8100,7,3,4,0,11,3
8200,10,3,9,0,12,3
8300,9,5,8,0,8,5
8400,7,4,4,0,6,4
8500,8,6,10,0,10,6
8600,1,4,2,0,7,4
8700,27,5,8,0,20,5
8800,10,2,6,0,12,2
8900,14,2,6,0,11,2
9000,7,3,3,0,8,3
9100,26,7,6,0,15,7
9200,5,3,4,0,11,3
9300,21,9,9,0,16,9
9400,16,4,4,0,10,4
9500,24,5,9,0,13,5
9600,14,1,5,0,2,1
9700,37,3,3,0,15,3
9800,28,5,5,0,15,5
9900,34,3,6,0,17,3
10000,37,4,5,0,9,4
10100,16,0,1,0,4,0
10200,34,2,16,0,16,2
10300,11,2,12,0,1,2
10400,3,0,6,0,3,0
10500,15,0,10,0,2,0
10600,8,0,16,0,0,0
10700,5,0,16,0,0,0
10800,4,0,11,0,1,0
10900,5,1,10,0,0,1
11000,1,0,8,0,0,0
11100,1,0,8,0,0,0
11200,0,0,7,0,3,0
11300,1,0,7,0,0,0
11400,1,0,7,0,0,0
11500,0,0,8,0,0,0
11600,3,0,8,0,0,0
11700,1,0,6,0,0,0
11800,1,0,7,0,1,0
11900,0,0,6,0,0,0
12000,2,0,6,0,0,0
12100,0,0,7,0,0,0
12200,0,0,7,0,0,0
12300,0,0,7,0,0,0
12400,1,0,8,0,0,0
12500,0,0,7,0,0,0
12600,0,0,3,0,0,0
12700,0,0,8,0,2,0
12800,1,0,6,0,0,0
12900,0,0,5,0,0,0
13000,0,0,7,0,0,0
13100,0,0,5,0,1,0
13200,1,0,7,0,0,0
13300,0,0,6,0,0,0
13400,0,0,7,0,0,0
13500,1,0,6,0,0,0
13600,0,1,6,0,0,1
13700,0,0,8,0,0,0
13800,0,0,4,0,0,0
13900,1,0,7,0,0,0
14000,0,0,6,0,0,0
14100,0,0,4,0,1,0
14200,0,0,8,0,0,0
14300,0,0,6,0,0,0
14400,3,0,6,0,1,0
14500,1,0,7,0,0,0
14600,1,0,6,0,1,0
14700,1,0,6,0,0,0
14800,0,0,5,0,0,0
14900,0,0,8,0,0,0
15000,0,0,6,0,0,0
15100,0,0,5,0,0,0
15200,0,0,7,0,0,0
15300,0,0,5,0,0,0
15400,0,0,7,0,1,0
15500,0,0,5,0,1,0
15600,0,0,7,0,1,0
15700,1,0,6,0,0,0
15800,0,0,6,0,1,0
15900,0,0,5,0,1,0
16000,0,0,7,0,0,0
16100,0,0,5,0,0,0
16200,0,0,7,0,0,0
16300,0,0,7,0,0,0
16400,1,0,6,0,0,0
16500,0,0,5,0,0,0
16600,0,0,7,0,0,0
16700,0,0,7,0,0,0
16800,0,0,4,0,0,0
16900,0,0,6,0,0,0
17000,0,0,9,0,0,0
17100,0,0,5,0,0,0
17200,0,0,8,0,0,0
17300,0,0,5,0,0,0
17400,0,0,8,0,0,0
17500,0,0,8,0,0,0
17600,0,0,3,0,2,0
17700,0,0,6,0,0,0
17800,0,0,5,0,0,0
17900,0,0,7,0,0,0
18000,0,0,8,0,0,0
18100,0,0,7,0,0,0
18200,0,0,7,0,0,0
18300,0,0,4,0,1,0
18400,0,0,7,0,0,0
18500,1,0,7,0,0,0
18600,1,0,5,0,0,0
18700,0,0,7,0,0,0
18800,0,0,6,0,1,0
18900,1,0,9,0,0,0
19000,1,0,4,0,1,0
19100,0,0,7,0,0,0
