Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039584
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.538476
7000,0.2191,0.065854,0.000377,0.000034,0.962882
8000,0.2191,0.065854,0.000377,0.000034,1.127399
9000,0.2191,0.065854,0.000377,0.000034,1.104425
10000,0.2191,0.065854,0.000377,0.000034,1.090191
11000,0.2191,0.065854,0.000377,0.000034,1.076703
12000,0.2191,0.065854,0.000377,0.000034,1.130526
13000,0.2191,0.065854,0.000377,0.000034,1.068410
14000,0.2191,0.065854,0.000377,0.000034,1.088138
15000,0.2191,0.065854,0.000377,0.000034,1.050278
16000,0.2191,0.065854,0.000377,0.000034,1.114278
17000,0.2191,0.065854,0.000377,0.000034,1.066227
18000,0.2191,0.065854,0.000377,0.000034,1.027209
19000,0.2191,0.065854,0.000377,0.000034,1.103813
20000,0.2191,0.065854,0.000377,0.000034,1.139242
21000,0.2191,0.065854,0.000377,0.000034,1.067613
22000,0.2191,0.065854,0.000377,0.000034,1.062785
23000,0.2191,0.065854,0.000377,0.000034,1.069859
24000,0.2191,0.065854,0.000377,0.000034,1.098517
25000,0.2191,0.065854,0.000377,0.000034,1.055815
26000,0.2191,0.065854,0.000377,0.000034,1.091469
27000,0.2191,0.065854,0.000377,0.000034,1.063730
28000,0.2191,0.065854,0.000377,0.000034,1.116876
29000,0.2191,0.065854,0.000377,0.000034,1.071622
30000,0.2191,0.065854,0.000377,0.000034,1.054155
31000,0.2191,0.065854,0.000377,0.000034,1.077022
32000,0.2191,0.065854,0.000377,0.000034,1.076500
33000,0.2191,0.065854,0.000377,0.000034,1.103844
34000,0.2191,0.065854,0.000377,0.000034,1.038305
35000,0.2191,0.065854,0.000377,0.000034,1.089954
36000,0.2191,0.065854,0.000377,0.000034,1.094826
37000,0.2191,0.065854,0.000377,0.000034,1.062099
38000,0.2191,0.065854,0.000377,0.000034,1.088866
39000,0.2191,0.065854,0.000377,0.000034,0.989290
40000,0.2191,0.065854,0.000377,0.000034,0.976552
41000,0.2191,0.065854,0.000377,0.000034,0.962262
42000,0.2191,0.065854,0.000377,0.000034,1.080192
43000,0.2191,0.065854,0.000377,0.000034,1.050197
44000,0.2191,0.065854,0.000377,0.000034,1.074156
45000,0.2191,0.065854,0.000377,0.000034,0.807687
