Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
20000000,15.7031,5.502199,0.052647,0.006391,0.559415
20001000,15.7031,5.502199,0.052647,0.006391,0.553337
20002000,15.7031,5.502199,0.052647,0.006391,0.558901
20003000,15.7031,5.502199,0.052647,0.006391,0.556750
20004000,15.7031,5.502199,0.052647,0.006391,0.556218
20005000,15.7031,5.502199,0.052647,0.006391,0.561478
20006000,15.7031,5.502199,0.052647,0.006391,0.553619
20007000,15.7031,5.502199,0.052647,0.006391,0.556298
20008000,15.7031,5.502199,0.052647,0.006391,0.556528
20009000,15.7031,5.502199,0.052647,0.006391,0.559041
20010000,15.7031,5.502199,0.052647,0.006391,0.558345
20011000,15.7031,5.502199,0.052647,0.006391,0.553409
20012000,15.7031,5.502199,0.052647,0.006391,0.558519
20013000,15.7031,5.502199,0.052647,0.006391,0.553855
20014000,15.7031,5.502199,0.052647,0.006391,0.553935
20015000,15.7031,5.502199,0.052647,0.006391,0.557690
20016000,15.7031,5.502199,0.052647,0.006391,0.570318
20017000,15.7031,5.502199,0.052647,0.006391,0.556837
20018000,15.7031,5.502199,0.052647,0.006391,0.553257
20019000,15.7031,5.502199,0.052647,0.006391,0.553473
20020000,15.7031,5.502199,0.052647,0.006391,0.556226
20021000,15.7031,5.502199,0.052647,0.006391,0.555775
20022000,15.7031,5.502199,0.052647,0.006391,0.555010
20023000,15.7031,5.502199,0.052647,0.006391,0.557536
20024000,15.7031,5.502199,0.052647,0.006391,0.559733
20025000,15.7031,5.502199,0.052647,0.006391,0.555392
20026000,15.7031,5.502199,0.052647,0.006391,0.556226
20027000,15.7031,5.502199,0.052647,0.006391,0.562025
20028000,15.7031,5.502199,0.052647,0.006391,0.553641
20029000,15.7031,5.502199,0.052647,0.006391,0.558742
20030000,15.7031,5.502199,0.052647,0.006391,0.555635
20031000,15.7031,5.502199,0.052647,0.006391,0.561024
20032000,15.7031,5.502199,0.052647,0.006391,0.553791
20033000,15.7031,5.502199,0.052647,0.006391,0.560654
20034000,15.7031,5.502199,0.052647,0.006391,0.568521
20035000,15.7031,5.502199,0.052647,0.006391,0.553711
20036000,15.7031,5.502199,0.052647,0.006391,0.558065
20037000,15.7031,5.502199,0.052647,0.006391,0.556750
20038000,15.7031,5.502199,0.052647,0.006391,0.558735
20039000,15.7031,5.502199,0.052647,0.006391,0.556002
20040000,15.7031,5.502199,0.052647,0.006391,0.557298
20041000,15.7031,5.502199,0.052647,0.006391,0.555930
20042000,15.7031,5.502199,0.052647,0.006391,0.556368
20043000,15.7031,5.502199,0.052647,0.006391,0.557074
20044000,15.7031,5.502199,0.052647,0.006391,0.553187
20045000,15.7031,5.502199,0.052647,0.006391,0.558431
20046000,15.7031,5.502199,0.052647,0.006391,0.556146
20047000,15.7031,5.502199,0.052647,0.006391,0.556314
20048000,15.7031,5.502199,0.052647,0.006391,0.566781
20049000,15.7031,5.502199,0.052647,0.006391,0.567532
20050000,15.7031,5.502199,0.052647,0.006391,0.553409
20051000,15.7031,5.502199,0.052647,0.006391,0.558756
20052000,15.7031,5.502199,0.052647,0.006391,0.556600
20053000,15.7031,5.502199,0.052647,0.006391,0.562084
20054000,15.7031,5.502199,0.052647,0.006391,0.558209
20055000,15.7031,5.502199,0.052647,0.006391,0.556526
20056000,15.7031,5.502199,0.052647,0.006391,0.553337
20057000,15.7031,5.502199,0.052647,0.006391,0.556536
20058000,15.7031,5.502199,0.052647,0.006391,0.563231
20059000,15.7031,5.502199,0.052647,0.006391,0.561283
20060000,15.7031,5.502199,0.052647,0.006391,0.563115
20061000,15.7031,5.502199,0.052647,0.006391,0.558807
20062000,15.7031,5.502199,0.052647,0.006391,0.556146
20063000,15.7031,5.502199,0.052647,0.006391,0.563239
20064000,15.7031,5.502199,0.052647,0.006391,0.553339
20065000,15.7031,5.502199,0.052647,0.006391,0.561478
20066000,15.7031,5.502199,0.052647,0.006391,0.554209
20067000,15.7031,5.502199,0.052647,0.006391,0.559117
20068000,15.7031,5.502199,0.052647,0.006391,0.563643
20069000,15.7031,5.502199,0.052647,0.006391,0.559117
20070000,15.7031,5.502199,0.052647,0.006391,0.558969
20071000,15.7031,5.502199,0.052647,0.006391,0.556592
20072000,15.7031,5.502199,0.052647,0.006391,0.553409
20073000,15.7031,5.502199,0.052647,0.006391,0.553545
20074000,15.7031,5.502199,0.052647,0.006391,0.550444
20075000,15.7031,5.502199,0.052647,0.006391,0.553481
20076000,15.7031,5.502199,0.052647,0.006391,0.565677
20077000,15.7031,5.502199,0.052647,0.006391,0.555563
20078000,15.7031,5.502199,0.052647,0.006391,0.557062
20079000,15.7031,5.502199,0.052647,0.006391,0.557054
20080000,15.7031,5.502199,0.052647,0.006391,0.550668
20081000,15.7031,5.502199,0.052647,0.006391,0.561478
20082000,15.7031,5.502199,0.052647,0.006391,0.559145
20083000,15.7031,5.502199,0.052647,0.006391,0.558961
20084000,15.7031,5.502199,0.052647,0.006391,0.556600
20085000,15.7031,5.502199,0.052647,0.006391,0.553337
20086000,15.7031,5.502199,0.052647,0.006391,0.559559
20087000,15.7031,5.502199,0.052647,0.006391,0.553259
20088000,15.7031,5.502199,0.052647,0.006391,0.561124
20089000,15.7031,5.502199,0.052647,0.006391,0.556218
20090000,15.7031,5.502199,0.052647,0.006391,0.553401
20091000,15.7031,5.502199,0.052647,0.006391,0.553409
20092000,15.7031,5.502199,0.052647,0.006391,0.556600
20093000,15.7031,5.502199,0.052647,0.006391,0.563095
20094000,15.7031,5.502199,0.052647,0.006391,0.558519
20095000,15.7031,5.502199,0.052647,0.006391,0.553545
20096000,15.7031,5.502199,0.052647,0.006391,0.555473
20097000,15.7031,5.502199,0.052647,0.006391,0.554017
20098000,15.7031,5.502199,0.052647,0.006391,0.556146
20099000,15.7031,5.502199,0.052647,0.006391,0.553863
20100000,15.7031,5.502199,0.052647,0.006391,0.556600
20101000,15.7031,5.502199,0.052647,0.006391,0.562043
20102000,15.7031,5.502199,0.052647,0.006391,0.553409
20103000,15.7031,5.502199,0.052647,0.006391,0.558961
20104000,15.7031,5.502199,0.052647,0.006391,0.553401
20105000,15.7031,5.502199,0.052647,0.006391,0.553331
20106000,15.7031,5.502199,0.052647,0.006391,0.556678
20107000,15.7031,5.502199,0.052647,0.006391,0.553409
20108000,15.7031,5.502199,0.052647,0.006391,0.558539
20109000,15.7031,5.502199,0.052647,0.006391,0.556456
20110000,15.7031,5.502199,0.052647,0.006391,0.556686
20111000,15.7031,5.502199,0.052647,0.006391,0.553419
20112000,15.7031,5.502199,0.052647,0.006391,0.556074
20113000,15.7031,5.502199,0.052647,0.006391,0.558215
20114000,15.7031,5.502199,0.052647,0.006391,0.555473
20115000,15.7031,5.502199,0.052647,0.006391,0.561478
20116000,15.7031,5.502199,0.052647,0.006391,0.553409
20117000,15.7031,5.502199,0.052647,0.006391,0.553257
20118000,15.7031,5.502199,0.052647,0.006391,0.559890
20119000,15.7031,5.502199,0.052647,0.006391,0.559897
20120000,15.7031,5.502199,0.052647,0.006391,0.550594
20121000,15.7031,5.502199,0.052647,0.006391,0.559415
20122000,15.7031,5.502199,0.052647,0.006391,0.556600
20123000,15.7031,5.502199,0.052647,0.006391,0.555927
20124000,15.7031,5.502199,0.052647,0.006391,0.559415
20125000,15.7031,5.502199,0.052647,0.006391,0.556146
20126000,15.7031,5.502199,0.052647,0.006391,0.553571
20127000,15.7031,5.502199,0.052647,0.006391,0.556290
20128000,15.7031,5.502199,0.052647,0.006391,0.555322
20129000,15.7031,5.502199,0.052647,0.006391,0.559825
20130000,15.7031,5.502199,0.052647,0.006391,0.553545
20131000,15.7031,5.502199,0.052647,0.006391,0.563189
20132000,15.7031,5.502199,0.052647,0.006391,0.553257
20133000,15.7031,5.502199,0.052647,0.006391,0.563347
20134000,15.7031,5.502199,0.052647,0.006391,0.556143
20135000,15.7031,5.502199,0.052647,0.006391,0.561211
20136000,15.7031,5.502199,0.052647,0.006391,0.556296
20137000,15.7031,5.502199,0.052647,0.006391,0.556074
20138000,15.7031,5.502199,0.052647,0.006391,0.553409
20139000,15.7031,5.502199,0.052647,0.006391,0.565842
20140000,15.7031,5.502199,0.052647,0.006391,0.553257
20141000,15.7031,5.502199,0.052647,0.006391,0.558961
20142000,15.7031,5.502199,0.052647,0.006391,0.553937
20143000,15.7031,5.502199,0.052647,0.006391,0.550804
20144000,15.7031,5.502199,0.052647,0.006391,0.550892
20145000,15.7031,5.502199,0.052647,0.006391,0.553929
20146000,15.7031,5.502199,0.052647,0.006391,0.553855
20147000,15.7031,5.502199,0.052647,0.006391,0.550594
20148000,15.7031,5.502199,0.052647,0.006391,0.557384
20149000,15.7031,5.502199,0.052647,0.006391,0.556528
20150000,15.7031,5.502199,0.052647,0.006391,0.553935
20151000,15.7031,5.502199,0.052647,0.006391,0.565605
20152000,15.7031,5.502199,0.052647,0.006391,0.557082
20153000,15.7031,5.502199,0.052647,0.006391,0.559117
20154000,15.7031,5.502199,0.052647,0.006391,0.566760
20155000,15.7031,5.502199,0.052647,0.006391,0.562488
20156000,15.7031,5.502199,0.052647,0.006391,0.558889
20157000,15.7031,5.502199,0.052647,0.006391,0.553791
20158000,15.7031,5.502199,0.052647,0.006391,0.557054
20159000,15.7031,5.502199,0.052647,0.006391,0.561550
20160000,15.7031,5.502199,0.052647,0.006391,0.553791
20161000,15.7031,5.502199,0.052647,0.006391,0.558973
20162000,15.7031,5.502199,0.052647,0.006391,0.556840
20163000,15.7031,5.502199,0.052647,0.006391,0.553409
20164000,15.7031,5.502199,0.052647,0.006391,0.557054
20165000,15.7031,5.502199,0.052647,0.006391,0.563549
20166000,15.7031,5.502199,0.052647,0.006391,0.557384
20167000,15.7031,5.502199,0.052647,0.006391,0.553713
20168000,15.7031,5.502199,0.052647,0.006391,0.550737
20169000,15.7031,5.502199,0.052647,0.006391,0.550586
20170000,15.7031,5.502199,0.052647,0.006391,0.550594
20171000,15.7031,5.502199,0.052647,0.006391,0.553641
20172000,15.7031,5.502199,0.052647,0.006391,0.557132
20173000,15.7031,5.502199,0.052647,0.006391,0.554026
20174000,15.7031,5.502199,0.052647,0.006391,0.553793
20175000,15.7031,5.502199,0.052647,0.006391,0.553711
20176000,15.7031,5.502199,0.052647,0.006391,0.561630
20177000,15.7031,5.502199,0.052647,0.006391,0.556146
20178000,15.7031,5.502199,0.052647,0.006391,0.556072
20179000,15.7031,5.502199,0.052647,0.006391,0.557198
20180000,15.7031,5.502199,0.052647,0.006391,0.550594
20181000,15.7031,5.502199,0.052647,0.006391,0.556146
