Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,1.3415,0.039994,0.023482,0.002970,0.104135
3001000,1.3415,0.039994,0.023482,0.002970,0.112447
3002000,1.3415,0.039994,0.023482,0.002970,0.123287
3003000,1.3415,0.039994,0.023482,0.002970,0.141335
3004000,1.3415,0.039994,0.023482,0.002970,0.155272
3005000,1.3415,0.039994,0.023482,0.002970,0.134454
3006000,1.3415,0.039994,0.023482,0.002970,0.126159
3007000,1.3415,0.039994,0.023482,0.002970,0.113023
3008000,1.3415,0.039994,0.023482,0.002970,0.117589
3009000,1.3415,0.039994,0.023482,0.002970,0.121605
3010000,1.3415,0.039994,0.023482,0.002970,0.133023
3011000,1.3415,0.039994,0.023482,0.002970,0.139644
3012000,1.3415,0.039994,0.023482,0.002970,0.144534
3013000,1.3415,0.039994,0.023482,0.002970,0.134793
3014000,1.3415,0.039994,0.023482,0.002970,0.127539
3015000,1.3415,0.039994,0.023482,0.002970,0.140380
3016000,1.3415,0.039994,0.023482,0.002970,0.127539
3017000,1.3415,0.039994,0.023482,0.002970,0.125985
3018000,1.3415,0.039994,0.023482,0.002970,0.134763
3019000,1.3415,0.039994,0.023482,0.002970,0.140915
3020000,1.3415,0.039994,0.023482,0.002970,0.141356
3021000,1.3415,0.039994,0.023482,0.002970,0.142018
3022000,1.3415,0.039994,0.023482,0.002970,0.143619
3023000,1.3415,0.039994,0.023482,0.002970,0.140573
3024000,1.3415,0.039994,0.023482,0.002970,0.134680
3025000,1.3415,0.039994,0.023482,0.002970,0.124843
3026000,1.3415,0.039994,0.023482,0.002970,0.136790
3027000,1.3415,0.039994,0.023482,0.002970,0.136003
3028000,1.3415,0.039994,0.023482,0.002970,0.137302
3029000,1.3415,0.039994,0.023482,0.002970,0.133193
3030000,1.3415,0.039994,0.023482,0.002970,0.124554
3031000,1.3415,0.039994,0.023482,0.002970,0.124507
3032000,1.3415,0.039994,0.023482,0.002970,0.136000
3033000,1.3415,0.039994,0.023482,0.002970,0.139293
3034000,1.3415,0.039994,0.023482,0.002970,0.123721
3035000,1.3415,0.039994,0.023482,0.002970,0.140340
3036000,1.3415,0.039994,0.023482,0.002970,0.124731
3037000,1.3415,0.039994,0.023482,0.002970,0.118746
3038000,1.3415,0.039994,0.023482,0.002970,0.121240
3039000,1.3415,0.039994,0.023482,0.002970,0.120690
3040000,1.3415,0.039994,0.023482,0.002970,0.128276
3041000,1.3415,0.039994,0.023482,0.002970,0.125070
3042000,1.3415,0.039994,0.023482,0.002970,0.132186
3043000,1.3415,0.039994,0.023482,0.002970,0.138417
3044000,1.3415,0.039994,0.023482,0.002970,0.117034
3045000,1.3415,0.039994,0.023482,0.002970,0.131048
3046000,1.3415,0.039994,0.023482,0.002970,0.137457
3047000,1.3415,0.039994,0.023482,0.002970,0.137692
3048000,1.3415,0.039994,0.023482,0.002970,0.140330
3049000,1.3415,0.039994,0.023482,0.002970,0.147587
3050000,1.3415,0.039994,0.023482,0.002970,0.138677
3051000,1.3415,0.039994,0.023482,0.002970,0.142266
3052000,1.3415,0.039994,0.023482,0.002970,0.139235
3053000,1.3415,0.039994,0.023482,0.002970,0.141032
