Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,8.6440,0.261844,0.058609,0.079322,3.666290
1001000,8.6440,0.261844,0.058609,0.079322,3.641619
1002000,8.6440,0.261844,0.058609,0.079322,3.849005
1003000,8.6440,0.261844,0.058609,0.079322,3.604713
1004000,8.6440,0.261844,0.058609,0.079322,3.581955
1005000,8.6440,0.261844,0.058609,0.079322,3.989206
1006000,8.6440,0.261844,0.058609,0.079322,3.576715
1007000,8.6440,0.261844,0.058609,0.079322,3.538505
1008000,8.6440,0.261844,0.058609,0.079322,3.250551
1009000,8.6440,0.261844,0.058609,0.079322,3.545914
1010000,8.6440,0.261844,0.058609,0.079322,3.788201
1011000,8.6440,0.261844,0.058609,0.079322,4.064144
1012000,8.6440,0.261844,0.058609,0.079322,3.286991
1013000,8.6440,0.261844,0.058609,0.079322,2.942155
1014000,8.6440,0.261844,0.058609,0.079322,3.420875
1015000,8.6440,0.261844,0.058609,0.079322,3.688593
1016000,8.6440,0.261844,0.058609,0.079322,3.475800
1017000,8.6440,0.261844,0.058609,0.079322,3.619800
1018000,8.6440,0.261844,0.058609,0.079322,3.698694
1019000,8.6440,0.261844,0.058609,0.079322,3.943706
1020000,8.6440,0.261844,0.058609,0.079322,4.088386
1021000,8.6440,0.261844,0.058609,0.079322,4.070430
1022000,8.6440,0.261844,0.058609,0.079322,3.681711
1023000,8.6440,0.261844,0.058609,0.079322,3.752815
1024000,8.6440,0.261844,0.058609,0.079322,3.837080
1025000,8.6440,0.261844,0.058609,0.079322,4.086778
1026000,8.6440,0.261844,0.058609,0.079322,3.673301
1027000,8.6440,0.261844,0.058609,0.079322,3.766608
1028000,8.6440,0.261844,0.058609,0.079322,3.670055
1029000,8.6440,0.261844,0.058609,0.079322,3.410160
1030000,8.6440,0.261844,0.058609,0.079322,3.457851
1031000,8.6440,0.261844,0.058609,0.079322,3.487503
1032000,8.6440,0.261844,0.058609,0.079322,3.295983
1033000,8.6440,0.261844,0.058609,0.079322,3.105190
1034000,8.6440,0.261844,0.058609,0.079322,3.626037
1035000,8.6440,0.261844,0.058609,0.079322,4.109981
1036000,8.6440,0.261844,0.058609,0.079322,4.164241
1037000,8.6440,0.261844,0.058609,0.079322,3.841959
1038000,8.6440,0.261844,0.058609,0.079322,3.364299
1039000,8.6440,0.261844,0.058609,0.079322,3.126440
1040000,8.6440,0.261844,0.058609,0.079322,3.271922
1041000,8.6440,0.261844,0.058609,0.079322,3.841258
1042000,8.6440,0.261844,0.058609,0.079322,4.172705
1043000,8.6440,0.261844,0.058609,0.079322,3.535973
1044000,8.6440,0.261844,0.058609,0.079322,3.593148
1045000,8.6440,0.261844,0.058609,0.079322,3.661542
1046000,8.6440,0.261844,0.058609,0.079322,3.658195
1047000,8.6440,0.261844,0.058609,0.079322,3.664781
1048000,8.6440,0.261844,0.058609,0.079322,3.344472
1049000,8.6440,0.261844,0.058609,0.079322,3.675604
1050000,8.6440,0.261844,0.058609,0.079322,3.625837
1051000,8.6440,0.261844,0.058609,0.079322,4.468391
1052000,8.6440,0.261844,0.058609,0.079322,3.354680
1053000,8.6440,0.261844,0.058609,0.079322,3.649776
1054000,8.6440,0.261844,0.058609,0.079322,3.437466
1055000,8.6440,0.261844,0.058609,0.079322,3.975396
1056000,8.6440,0.261844,0.058609,0.079322,3.223251
1057000,8.6440,0.261844,0.058609,0.079322,3.210233
1058000,8.6440,0.261844,0.058609,0.079322,3.878756
1059000,8.6440,0.261844,0.058609,0.079322,3.634537
1060000,8.6440,0.261844,0.058609,0.079322,3.703392
