Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,0.2191,0.065854,0.000377,0.000034,0.727336
6001000,0.2191,0.065854,0.000377,0.000034,0.763831
6002000,0.2191,0.065854,0.000377,0.000034,0.644410
6003000,0.2191,0.065854,0.000377,0.000034,0.768809
6004000,0.2191,0.065854,0.000377,0.000034,0.750449
6005000,0.2191,0.065854,0.000377,0.000034,0.695658
6006000,0.2191,0.065854,0.000377,0.000034,0.730879
6007000,0.2191,0.065854,0.000377,0.000034,0.711334
6008000,0.2191,0.065854,0.000377,0.000034,0.701545
6009000,0.2191,0.065854,0.000377,0.000034,0.703183
6010000,0.2191,0.065854,0.000377,0.000034,0.755191
6011000,0.2191,0.065854,0.000377,0.000034,0.620694
6012000,0.2191,0.065854,0.000377,0.000034,0.723899
6013000,0.2191,0.065854,0.000377,0.000034,0.677608
6014000,0.2191,0.065854,0.000377,0.000034,0.665965
6015000,0.2191,0.065854,0.000377,0.000034,0.701673
6016000,0.2191,0.065854,0.000377,0.000034,0.715629
6017000,0.2191,0.065854,0.000377,0.000034,0.664663
6018000,0.2191,0.065854,0.000377,0.000034,0.699090
6019000,0.2191,0.065854,0.000377,0.000034,0.675651
6020000,0.2191,0.065854,0.000377,0.000034,0.707478
6021000,0.2191,0.065854,0.000377,0.000034,0.635121
6022000,0.2191,0.065854,0.000377,0.000034,0.675631
6023000,0.2191,0.065854,0.000377,0.000034,0.705368
6024000,0.2191,0.065854,0.000377,0.000034,0.630748
6025000,0.2191,0.065854,0.000377,0.000034,0.658326
6026000,0.2191,0.065854,0.000377,0.000034,0.685748
6027000,0.2191,0.065854,0.000377,0.000034,0.694154
6028000,0.2191,0.065854,0.000377,0.000034,0.779896
6029000,0.2191,0.065854,0.000377,0.000034,0.678340
6030000,0.2191,0.065854,0.000377,0.000034,0.646195
6031000,0.2191,0.065854,0.000377,0.000034,0.755807
6032000,0.2191,0.065854,0.000377,0.000034,0.704719
6033000,0.2191,0.065854,0.000377,0.000034,0.695546
6034000,0.2191,0.065854,0.000377,0.000034,0.720100
6035000,0.2191,0.065854,0.000377,0.000034,0.726651
6036000,0.2191,0.065854,0.000377,0.000034,0.727084
6037000,0.2191,0.065854,0.000377,0.000034,0.723898
6038000,0.2191,0.065854,0.000377,0.000034,0.590990
6039000,0.2191,0.065854,0.000377,0.000034,0.721857
6040000,0.2191,0.065854,0.000377,0.000034,0.770838
6041000,0.2191,0.065854,0.000377,0.000034,0.677481
6042000,0.2191,0.065854,0.000377,0.000034,0.689880
6043000,0.2191,0.065854,0.000377,0.000034,0.711127
6044000,0.2191,0.065854,0.000377,0.000034,0.684379
6045000,0.2191,0.065854,0.000377,0.000034,0.646405
6046000,0.2191,0.065854,0.000377,0.000034,0.705384
6047000,0.2191,0.065854,0.000377,0.000034,0.665741
6048000,0.2191,0.065854,0.000377,0.000034,0.702364
6049000,0.2191,0.065854,0.000377,0.000034,0.757354
6050000,0.2191,0.065854,0.000377,0.000034,0.671839
6051000,0.2191,0.065854,0.000377,0.000034,0.695930
6052000,0.2191,0.065854,0.000377,0.000034,0.819827
6053000,0.2191,0.065854,0.000377,0.000034,0.691178
6054000,0.2191,0.065854,0.000377,0.000034,0.738338
6055000,0.2191,0.065854,0.000377,0.000034,0.767088
6056000,0.2191,0.065854,0.000377,0.000034,0.736630
6057000,0.2191,0.065854,0.000377,0.000034,0.733620
6058000,0.2191,0.065854,0.000377,0.000034,0.698862
