Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.184719
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.183809
7000,0.7779,0.306348,0.002724,0.000334,0.277080
8000,0.7779,0.306348,0.002724,0.000334,0.276134
9000,0.7779,0.306348,0.002724,0.000334,0.268869
10000,0.7779,0.306348,0.002724,0.000334,0.261071
11000,0.7779,0.306348,0.002724,0.000334,0.259699
12000,0.7779,0.306348,0.002724,0.000334,0.258577
13000,0.7779,0.306348,0.002724,0.000334,0.260985
14000,0.7779,0.306348,0.002724,0.000334,0.264966
15000,0.7779,0.306348,0.002724,0.000334,0.267782
16000,0.7779,0.306348,0.002724,0.000334,0.255802
17000,0.7779,0.306348,0.002724,0.000334,0.233135
18000,0.7779,0.306348,0.002724,0.000334,0.240493
19000,0.7779,0.306348,0.002724,0.000334,0.233599
20000,0.7779,0.306348,0.002724,0.000334,0.227566
21000,0.7779,0.306348,0.002724,0.000334,0.222460
22000,0.7779,0.306348,0.002724,0.000334,0.214396
23000,0.7779,0.306348,0.002724,0.000334,0.209917
24000,0.7779,0.306348,0.002724,0.000334,0.205345
25000,0.7779,0.306348,0.002724,0.000334,0.201464
26000,0.7779,0.306348,0.002724,0.000334,0.199453
27000,0.7779,0.306348,0.002724,0.000334,0.195993
28000,0.7779,0.306348,0.002724,0.000334,0.193983
29000,0.7779,0.306348,0.002724,0.000334,0.191656
30000,0.7779,0.306348,0.002724,0.000334,0.190066
31000,0.7779,0.306348,0.002724,0.000334,0.189695
32000,0.7779,0.306348,0.002724,0.000334,0.188275
33000,0.7779,0.306348,0.002724,0.000334,0.187445
34000,0.7779,0.306348,0.002724,0.000334,0.186749
35000,0.7779,0.306348,0.002724,0.000334,0.186083
36000,0.7779,0.306348,0.002724,0.000334,0.185575
37000,0.7779,0.306348,0.002724,0.000334,0.185311
38000,0.7779,0.306348,0.002724,0.000334,0.184862
39000,0.7779,0.306348,0.002724,0.000334,0.184818
40000,0.7779,0.306348,0.002724,0.000334,0.184701
41000,0.7779,0.306348,0.002724,0.000334,0.184560
42000,0.7779,0.306348,0.002724,0.000334,0.184302
43000,0.7779,0.306348,0.002724,0.000334,0.184396
44000,0.7779,0.306348,0.002724,0.000334,0.184349
45000,0.7779,0.306348,0.002724,0.000334,0.184251
46000,0.7779,0.306348,0.002724,0.000334,0.184231
47000,0.7779,0.306348,0.002724,0.000334,0.184142
48000,0.7779,0.306348,0.002724,0.000334,0.184090
49000,0.7779,0.306348,0.002724,0.000334,0.184072
50000,0.7779,0.306348,0.002724,0.000334,0.184044
51000,0.7779,0.306348,0.002724,0.000334,0.184181
52000,0.7779,0.306348,0.002724,0.000334,0.183926
53000,0.7779,0.306348,0.002724,0.000334,0.184090
54000,0.7779,0.306348,0.002724,0.000334,0.183903
55000,0.7779,0.306348,0.002724,0.000334,0.184020
56000,0.7779,0.306348,0.002724,0.000334,0.183903
57000,0.7779,0.306348,0.002724,0.000334,0.183926
58000,0.7779,0.306348,0.002724,0.000334,0.183903
59000,0.7779,0.306348,0.002724,0.000334,0.183879
60000,0.7779,0.306348,0.002724,0.000334,0.183832
61000,0.7779,0.306348,0.002724,0.000334,0.183879
62000,0.7779,0.306348,0.002724,0.000334,0.183856
63000,0.7779,0.306348,0.002724,0.000334,0.183856
64000,0.7779,0.306348,0.002724,0.000334,0.183832
65000,0.7779,0.306348,0.002724,0.000334,0.183832
66000,0.7779,0.306348,0.002724,0.000334,0.183809
67000,0.7779,0.306348,0.002724,0.000334,0.183832
68000,0.7779,0.306348,0.002724,0.000334,0.183809
69000,0.7779,0.306348,0.002724,0.000334,0.183809
70000,0.7779,0.306348,0.002724,0.000334,0.183856
71000,0.7779,0.306348,0.002724,0.000334,0.183809
72000,0.7779,0.306348,0.002724,0.000334,0.183809
73000,0.7779,0.306348,0.002724,0.000334,0.183809
74000,0.7779,0.306348,0.002724,0.000334,0.183832
75000,0.7779,0.306348,0.002724,0.000334,0.183809
76000,0.7779,0.306348,0.002724,0.000334,0.183809
77000,0.7779,0.306348,0.002724,0.000334,0.183832
78000,0.7779,0.306348,0.002724,0.000334,0.183832
79000,0.7779,0.306348,0.002724,0.000334,0.183809
80000,0.7779,0.306348,0.002724,0.000334,0.183809
81000,0.7779,0.306348,0.002724,0.000334,0.183809
82000,0.7779,0.306348,0.002724,0.000334,0.183832
83000,0.7779,0.306348,0.002724,0.000334,0.183809
84000,0.7779,0.306348,0.002724,0.000334,0.183809
85000,0.7779,0.306348,0.002724,0.000334,0.183832
86000,0.7779,0.306348,0.002724,0.000334,0.183832
87000,0.7779,0.306348,0.002724,0.000334,0.183809
88000,0.7779,0.306348,0.002724,0.000334,0.183809
89000,0.7779,0.306348,0.002724,0.000334,0.183809
90000,0.7779,0.306348,0.002724,0.000334,0.183832
91000,0.7779,0.306348,0.002724,0.000334,0.183809
92000,0.7779,0.306348,0.002724,0.000334,0.183809
93000,0.7779,0.306348,0.002724,0.000334,0.183832
94000,0.7779,0.306348,0.002724,0.000334,0.183832
95000,0.7779,0.306348,0.002724,0.000334,0.183809
96000,0.7779,0.306348,0.002724,0.000334,0.183832
