Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.654113
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,1.393508
7000,15.7031,5.502199,0.052647,0.006391,9.501290
8000,15.7031,5.502199,0.052647,0.006391,4.249390
9000,15.7031,5.502199,0.052647,0.006391,1.495538
10000,15.7031,5.502199,0.052647,0.006391,1.572248
11000,15.7031,5.502199,0.052647,0.006391,1.434255
12000,15.7031,5.502199,0.052647,0.006391,1.476785
13000,15.7031,5.502199,0.052647,0.006391,1.271996
14000,15.7031,5.502199,0.052647,0.006391,1.211689
15000,15.7031,5.502199,0.052647,0.006391,1.099574
16000,15.7031,5.502199,0.052647,0.006391,1.000273
17000,15.7031,5.502199,0.052647,0.006391,0.922326
18000,15.7031,5.502199,0.052647,0.006391,0.924702
19000,15.7031,5.502199,0.052647,0.006391,0.878301
20000,15.7031,5.502199,0.052647,0.006391,0.822624
21000,15.7031,5.502199,0.052647,0.006391,0.806071
22000,15.7031,5.502199,0.052647,0.006391,0.762088
23000,15.7031,5.502199,0.052647,0.006391,0.732179
24000,15.7031,5.502199,0.052647,0.006391,0.731362
25000,15.7031,5.502199,0.052647,0.006391,0.699649
26000,15.7031,5.502199,0.052647,0.006391,0.667783
27000,15.7031,5.502199,0.052647,0.006391,0.696498
28000,15.7031,5.502199,0.052647,0.006391,0.689348
29000,15.7031,5.502199,0.052647,0.006391,0.678753
30000,15.7031,5.502199,0.052647,0.006391,0.684005
31000,15.7031,5.502199,0.052647,0.006391,0.667605
32000,15.7031,5.502199,0.052647,0.006391,0.646686
33000,15.7031,5.502199,0.052647,0.006391,0.654716
34000,15.7031,5.502199,0.052647,0.006391,0.659131
35000,15.7031,5.502199,0.052647,0.006391,0.643445
36000,15.7031,5.502199,0.052647,0.006391,0.628827
37000,15.7031,5.502199,0.052647,0.006391,0.636708
38000,15.7031,5.502199,0.052647,0.006391,0.619433
39000,15.7031,5.502199,0.052647,0.006391,0.612753
40000,15.7031,5.502199,0.052647,0.006391,0.597683
41000,15.7031,5.502199,0.052647,0.006391,0.589652
42000,15.7031,5.502199,0.052647,0.006391,0.595648
43000,15.7031,5.502199,0.052647,0.006391,0.575256
44000,15.7031,5.502199,0.052647,0.006391,0.580258
45000,15.7031,5.502199,0.052647,0.006391,0.582534
46000,15.7031,5.502199,0.052647,0.006391,0.575401
47000,15.7031,5.502199,0.052647,0.006391,0.555488
