Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.413948
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.396812
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.396812
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.396812
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.396812
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.605655
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.372876
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.503470
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.840953
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.630470
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.654852
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.736698
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.270023
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.056066
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.877473
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.760539
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.486656
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.439411
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.449455
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.811890
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.567191
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.454640
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.076566
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.901888
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.813604
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.922912
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.040859
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.047165
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.903572
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.816743
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.733357
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.910058
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.992615
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.294596
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.415614
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.444127
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.630432
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.593787
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.624053
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.729635
41000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.774035
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.875117
43000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.451436
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787577
45000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.936976
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.991991
47000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.051806
