Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.0570,0.187474,0.005507,0.000525,0.258277
1001000,1.0570,0.187474,0.005507,0.000525,0.245270
1002000,1.0570,0.187474,0.005507,0.000525,0.256474
1003000,1.0570,0.187474,0.005507,0.000525,0.207324
1004000,1.0570,0.187474,0.005507,0.000525,0.240006
1005000,1.0570,0.187474,0.005507,0.000525,0.225975
1006000,1.0570,0.187474,0.005507,0.000525,0.238695
1007000,1.0570,0.187474,0.005507,0.000525,0.189831
1008000,1.0570,0.187474,0.005507,0.000525,0.204844
1009000,1.0570,0.187474,0.005507,0.000525,0.185022
1010000,1.0570,0.187474,0.005507,0.000525,0.166949
1011000,1.0570,0.187474,0.005507,0.000525,0.181887
1012000,1.0570,0.187474,0.005507,0.000525,0.181946
1013000,1.0570,0.187474,0.005507,0.000525,0.185098
1014000,1.0570,0.187474,0.005507,0.000525,0.193736
1015000,1.0570,0.187474,0.005507,0.000525,0.204353
1016000,1.0570,0.187474,0.005507,0.000525,0.214893
1017000,1.0570,0.187474,0.005507,0.000525,0.332969
1018000,1.0570,0.187474,0.005507,0.000525,0.282438
1019000,1.0570,0.187474,0.005507,0.000525,0.269471
1020000,1.0570,0.187474,0.005507,0.000525,0.307081
1021000,1.0570,0.187474,0.005507,0.000525,0.277377
1022000,1.0570,0.187474,0.005507,0.000525,0.307127
1023000,1.0570,0.187474,0.005507,0.000525,0.292011
1024000,1.0570,0.187474,0.005507,0.000525,0.387397
1025000,1.0570,0.187474,0.005507,0.000525,0.429003
1026000,1.0570,0.187474,0.005507,0.000525,0.390112
1027000,1.0570,0.187474,0.005507,0.000525,0.341815
1028000,1.0570,0.187474,0.005507,0.000525,0.382534
1029000,1.0570,0.187474,0.005507,0.000525,0.407084
1030000,1.0570,0.187474,0.005507,0.000525,0.428651
1031000,1.0570,0.187474,0.005507,0.000525,0.520478
1032000,1.0570,0.187474,0.005507,0.000525,0.523409
1033000,1.0570,0.187474,0.005507,0.000525,0.484449
1034000,1.0570,0.187474,0.005507,0.000525,0.569929
1035000,1.0570,0.187474,0.005507,0.000525,0.470485
1036000,1.0570,0.187474,0.005507,0.000525,0.521394
1037000,1.0570,0.187474,0.005507,0.000525,0.460242
1038000,1.0570,0.187474,0.005507,0.000525,0.575103
1039000,1.0570,0.187474,0.005507,0.000525,0.412461
1040000,1.0570,0.187474,0.005507,0.000525,0.532634
1041000,1.0570,0.187474,0.005507,0.000525,0.497512
1042000,1.0570,0.187474,0.005507,0.000525,0.402859
1043000,1.0570,0.187474,0.005507,0.000525,0.502336
1044000,1.0570,0.187474,0.005507,0.000525,0.483487
1045000,1.0570,0.187474,0.005507,0.000525,0.518562
1046000,1.0570,0.187474,0.005507,0.000525,0.464797
1047000,1.0570,0.187474,0.005507,0.000525,0.284187
1048000,1.0570,0.187474,0.005507,0.000525,0.359641
1049000,1.0570,0.187474,0.005507,0.000525,0.386910
1050000,1.0570,0.187474,0.005507,0.000525,0.354141
1051000,1.0570,0.187474,0.005507,0.000525,0.319867
1052000,1.0570,0.187474,0.005507,0.000525,0.315359
1053000,1.0570,0.187474,0.005507,0.000525,0.305024
1054000,1.0570,0.187474,0.005507,0.000525,0.345906
1055000,1.0570,0.187474,0.005507,0.000525,0.301145
1056000,1.0570,0.187474,0.005507,0.000525,0.346024
1057000,1.0570,0.187474,0.005507,0.000525,0.345341
1058000,1.0570,0.187474,0.005507,0.000525,0.132292
1059000,1.0570,0.187474,0.005507,0.000525,0.303653
1060000,1.0570,0.187474,0.005507,0.000525,0.259194
1061000,1.0570,0.187474,0.005507,0.000525,0.388346
1062000,1.0570,0.187474,0.005507,0.000525,0.257700
1063000,1.0570,0.187474,0.005507,0.000525,0.191851
1064000,1.0570,0.187474,0.005507,0.000525,0.208327
1065000,1.0570,0.187474,0.005507,0.000525,0.266105
1066000,1.0570,0.187474,0.005507,0.000525,0.230027
1067000,1.0570,0.187474,0.005507,0.000525,0.280451
1068000,1.0570,0.187474,0.005507,0.000525,0.286223
1069000,1.0570,0.187474,0.005507,0.000525,0.280784
1070000,1.0570,0.187474,0.005507,0.000525,0.232628
1071000,1.0570,0.187474,0.005507,0.000525,0.156945
1072000,1.0570,0.187474,0.005507,0.000525,0.204419
1073000,1.0570,0.187474,0.005507,0.000525,0.344096
1074000,1.0570,0.187474,0.005507,0.000525,0.240550
1075000,1.0570,0.187474,0.005507,0.000525,0.200551
1076000,1.0570,0.187474,0.005507,0.000525,0.239371
1077000,1.0570,0.187474,0.005507,0.000525,0.214786
1078000,1.0570,0.187474,0.005507,0.000525,0.281698
1079000,1.0570,0.187474,0.005507,0.000525,0.317820
1080000,1.0570,0.187474,0.005507,0.000525,0.241225
1081000,1.0570,0.187474,0.005507,0.000525,0.206008
1082000,1.0570,0.187474,0.005507,0.000525,0.270940
1083000,1.0570,0.187474,0.005507,0.000525,0.273518
1084000,1.0570,0.187474,0.005507,0.000525,0.283247
1085000,1.0570,0.187474,0.005507,0.000525,0.312915
1086000,1.0570,0.187474,0.005507,0.000525,0.355931
1087000,1.0570,0.187474,0.005507,0.000525,0.331562
1088000,1.0570,0.187474,0.005507,0.000525,0.294864
1089000,1.0570,0.187474,0.005507,0.000525,0.308674
1090000,1.0570,0.187474,0.005507,0.000525,0.340432
1091000,1.0570,0.187474,0.005507,0.000525,0.272492
1092000,1.0570,0.187474,0.005507,0.000525,0.365035
1093000,1.0570,0.187474,0.005507,0.000525,0.270699
1094000,1.0570,0.187474,0.005507,0.000525,0.202123
1095000,1.0570,0.187474,0.005507,0.000525,0.256797
1096000,1.0570,0.187474,0.005507,0.000525,0.255864
1097000,1.0570,0.187474,0.005507,0.000525,0.313304
1098000,1.0570,0.187474,0.005507,0.000525,0.292691
1099000,1.0570,0.187474,0.005507,0.000525,0.384756
1100000,1.0570,0.187474,0.005507,0.000525,0.314145
1101000,1.0570,0.187474,0.005507,0.000525,0.331757
1102000,1.0570,0.187474,0.005507,0.000525,0.344389
1103000,1.0570,0.187474,0.005507,0.000525,0.181210
1104000,1.0570,0.187474,0.005507,0.000525,0.304179
1105000,1.0570,0.187474,0.005507,0.000525,0.170993
1106000,1.0570,0.187474,0.005507,0.000525,0.239795
1107000,1.0570,0.187474,0.005507,0.000525,0.200384
1108000,1.0570,0.187474,0.005507,0.000525,0.223112
1109000,1.0570,0.187474,0.005507,0.000525,0.211022
1110000,1.0570,0.187474,0.005507,0.000525,0.241848
1111000,1.0570,0.187474,0.005507,0.000525,0.242960
1112000,1.0570,0.187474,0.005507,0.000525,0.295094
1113000,1.0570,0.187474,0.005507,0.000525,0.272143
1114000,1.0570,0.187474,0.005507,0.000525,0.287679
1115000,1.0570,0.187474,0.005507,0.000525,0.314577
1116000,1.0570,0.187474,0.005507,0.000525,0.287268
1117000,1.0570,0.187474,0.005507,0.000525,0.288400
1118000,1.0570,0.187474,0.005507,0.000525,0.280538
1119000,1.0570,0.187474,0.005507,0.000525,0.305275
1120000,1.0570,0.187474,0.005507,0.000525,0.355958
1121000,1.0570,0.187474,0.005507,0.000525,0.319631
1122000,1.0570,0.187474,0.005507,0.000525,0.315947
1123000,1.0570,0.187474,0.005507,0.000525,0.483151
1124000,1.0570,0.187474,0.005507,0.000525,0.370197
1125000,1.0570,0.187474,0.005507,0.000525,0.336931
1126000,1.0570,0.187474,0.005507,0.000525,0.411674
1127000,1.0570,0.187474,0.005507,0.000525,0.429280
1128000,1.0570,0.187474,0.005507,0.000525,0.486695
1129000,1.0570,0.187474,0.005507,0.000525,0.529132
1130000,1.0570,0.187474,0.005507,0.000525,0.473942
1131000,1.0570,0.187474,0.005507,0.000525,0.658189
1132000,1.0570,0.187474,0.005507,0.000525,0.665589
1133000,1.0570,0.187474,0.005507,0.000525,0.489339
1134000,1.0570,0.187474,0.005507,0.000525,0.545327
1135000,1.0570,0.187474,0.005507,0.000525,0.507838
1136000,1.0570,0.187474,0.005507,0.000525,0.506560
1137000,1.0570,0.187474,0.005507,0.000525,0.486438
1138000,1.0570,0.187474,0.005507,0.000525,0.428234
1139000,1.0570,0.187474,0.005507,0.000525,0.433700
1140000,1.0570,0.187474,0.005507,0.000525,0.351938
1141000,1.0570,0.187474,0.005507,0.000525,0.511706
1142000,1.0570,0.187474,0.005507,0.000525,0.587650
1143000,1.0570,0.187474,0.005507,0.000525,0.531831
1144000,1.0570,0.187474,0.005507,0.000525,0.672624
1145000,1.0570,0.187474,0.005507,0.000525,0.547166
1146000,1.0570,0.187474,0.005507,0.000525,0.421682
1147000,1.0570,0.187474,0.005507,0.000525,0.427468
1148000,1.0570,0.187474,0.005507,0.000525,0.305335
1149000,1.0570,0.187474,0.005507,0.000525,0.402744
1150000,1.0570,0.187474,0.005507,0.000525,0.249141
1151000,1.0570,0.187474,0.005507,0.000525,0.390660
1152000,1.0570,0.187474,0.005507,0.000525,0.379582
1153000,1.0570,0.187474,0.005507,0.000525,0.279992
1154000,1.0570,0.187474,0.005507,0.000525,0.335072
1155000,1.0570,0.187474,0.005507,0.000525,0.324369
1156000,1.0570,0.187474,0.005507,0.000525,0.432899
1157000,1.0570,0.187474,0.005507,0.000525,0.389926
1158000,1.0570,0.187474,0.005507,0.000525,0.350690
1159000,1.0570,0.187474,0.005507,0.000525,0.295195
1160000,1.0570,0.187474,0.005507,0.000525,0.313233
1161000,1.0570,0.187474,0.005507,0.000525,0.320605
1162000,1.0570,0.187474,0.005507,0.000525,0.244171
1163000,1.0570,0.187474,0.005507,0.000525,0.400328
1164000,1.0570,0.187474,0.005507,0.000525,0.313423
1165000,1.0570,0.187474,0.005507,0.000525,0.384554
1166000,1.0570,0.187474,0.005507,0.000525,0.320470
1167000,1.0570,0.187474,0.005507,0.000525,0.228303
1168000,1.0570,0.187474,0.005507,0.000525,0.240703
