Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
10000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.913148
10001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.836487
10002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.786512
10003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.122511
10004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.735160
10005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.043270
10006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.545538
10007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.658374
10008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.255087
10009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.832359
10010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.927772
10011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.424090
10012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.059266
10013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.397608
10014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.281281
10015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.355869
10016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.210093
10017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.934028
10018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.201531
10019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.210590
10020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.955510
10021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.488099
10022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.542855
10023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.075043
10024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.530719
10025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.156061
