Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,8.362300
2000,23.8212,1.028147,0.538949,0.086720,8.483750
3000,23.8212,1.028147,0.538949,0.086720,8.483750
4000,23.8212,1.028147,0.538949,0.086720,8.483750
5000,23.8212,1.028147,0.538949,0.086720,8.483750
6000,23.8212,1.028147,0.538949,0.086720,21.055563
7000,23.8212,1.028147,0.538949,0.086720,5.228779
8000,23.8212,1.028147,0.538949,0.086720,3.975629
9000,23.8212,1.028147,0.538949,0.086720,2.559456
10000,23.8212,1.028147,0.538949,0.086720,2.228598
11000,23.8212,1.028147,0.538949,0.086720,2.021495
12000,23.8212,1.028147,0.538949,0.086720,2.200545
13000,23.8212,1.028147,0.538949,0.086720,2.604699
14000,23.8212,1.028147,0.538949,0.086720,3.411335
15000,23.8212,1.028147,0.538949,0.086720,7.110283
16000,23.8212,1.028147,0.538949,0.086720,4.077206
17000,23.8212,1.028147,0.538949,0.086720,2.600052
18000,23.8212,1.028147,0.538949,0.086720,2.681416
19000,23.8212,1.028147,0.538949,0.086720,2.383770
20000,23.8212,1.028147,0.538949,0.086720,1.396462
21000,23.8212,1.028147,0.538949,0.086720,1.405890
22000,23.8212,1.028147,0.538949,0.086720,1.400681
23000,23.8212,1.028147,0.538949,0.086720,1.381640
24000,23.8212,1.028147,0.538949,0.086720,1.460564
25000,23.8212,1.028147,0.538949,0.086720,1.628679
26000,23.8212,1.028147,0.538949,0.086720,1.753221
27000,23.8212,1.028147,0.538949,0.086720,2.156710
28000,23.8212,1.028147,0.538949,0.086720,3.459831
29000,23.8212,1.028147,0.538949,0.086720,5.572366
30000,23.8212,1.028147,0.538949,0.086720,3.668048
31000,23.8212,1.028147,0.538949,0.086720,7.327702
32000,23.8212,1.028147,0.538949,0.086720,7.493282
33000,23.8212,1.028147,0.538949,0.086720,7.598930
34000,23.8212,1.028147,0.538949,0.086720,6.733514
35000,23.8212,1.028147,0.538949,0.086720,8.335959
36000,23.8212,1.028147,0.538949,0.086720,6.584154
37000,23.8212,1.028147,0.538949,0.086720,6.378373
38000,23.8212,1.028147,0.538949,0.086720,5.592720
39000,23.8212,1.028147,0.538949,0.086720,4.763329
40000,23.8212,1.028147,0.538949,0.086720,4.838993
41000,23.8212,1.028147,0.538949,0.086720,4.069785
42000,23.8212,1.028147,0.538949,0.086720,4.444247
43000,23.8212,1.028147,0.538949,0.086720,4.130697
44000,23.8212,1.028147,0.538949,0.086720,3.934050
45000,23.8212,1.028147,0.538949,0.086720,3.827983
46000,23.8212,1.028147,0.538949,0.086720,3.532832
47000,23.8212,1.028147,0.538949,0.086720,3.543171
48000,23.8212,1.028147,0.538949,0.086720,3.474718
49000,23.8212,1.028147,0.538949,0.086720,3.167994
50000,23.8212,1.028147,0.538949,0.086720,3.204523
51000,23.8212,1.028147,0.538949,0.086720,3.187858
52000,23.8212,1.028147,0.538949,0.086720,3.105506
53000,23.8212,1.028147,0.538949,0.086720,3.070838
54000,23.8212,1.028147,0.538949,0.086720,3.124729
55000,23.8212,1.028147,0.538949,0.086720,3.092510
56000,23.8212,1.028147,0.538949,0.086720,3.013635
57000,23.8212,1.028147,0.538949,0.086720,3.063108
58000,23.8212,1.028147,0.538949,0.086720,2.967500
59000,23.8212,1.028147,0.538949,0.086720,2.971203
60000,23.8212,1.028147,0.538949,0.086720,2.804148
61000,23.8212,1.028147,0.538949,0.086720,2.715068
62000,23.8212,1.028147,0.538949,0.086720,2.832715
63000,23.8212,1.028147,0.538949,0.086720,2.748806
64000,23.8212,1.028147,0.538949,0.086720,2.797939
65000,23.8212,1.028147,0.538949,0.086720,2.771110
66000,23.8212,1.028147,0.538949,0.086720,2.899042
67000,23.8212,1.028147,0.538949,0.086720,2.829423
68000,23.8212,1.028147,0.538949,0.086720,2.556360
69000,23.8212,1.028147,0.538949,0.086720,2.894847
70000,23.8212,1.028147,0.538949,0.086720,2.746618
71000,23.8212,1.028147,0.538949,0.086720,2.686869
72000,23.8212,1.028147,0.538949,0.086720,2.802311
73000,23.8212,1.028147,0.538949,0.086720,2.802456
74000,23.8212,1.028147,0.538949,0.086720,2.724730
75000,23.8212,1.028147,0.538949,0.086720,2.471432
76000,23.8212,1.028147,0.538949,0.086720,2.830643
77000,23.8212,1.028147,0.538949,0.086720,2.868960
78000,23.8212,1.028147,0.538949,0.086720,2.642292
79000,23.8212,1.028147,0.538949,0.086720,2.849881
80000,23.8212,1.028147,0.538949,0.086720,2.505090
81000,23.8212,1.028147,0.538949,0.086720,2.789017
82000,23.8212,1.028147,0.538949,0.086720,2.650945
83000,23.8212,1.028147,0.538949,0.086720,2.752319
84000,23.8212,1.028147,0.538949,0.086720,2.680094
85000,23.8212,1.028147,0.538949,0.086720,2.438396
86000,23.8212,1.028147,0.538949,0.086720,2.680483
87000,23.8212,1.028147,0.538949,0.086720,2.549815
88000,23.8212,1.028147,0.538949,0.086720,2.565971
89000,23.8212,1.028147,0.538949,0.086720,2.714911
90000,23.8212,1.028147,0.538949,0.086720,2.546222
91000,23.8212,1.028147,0.538949,0.086720,2.429876
92000,23.8212,1.028147,0.538949,0.086720,2.538872
93000,23.8212,1.028147,0.538949,0.086720,2.736451
94000,23.8212,1.028147,0.538949,0.086720,2.781421
95000,23.8212,1.028147,0.538949,0.086720,2.453929
96000,23.8212,1.028147,0.538949,0.086720,2.674177
97000,23.8212,1.028147,0.538949,0.086720,2.624564
98000,23.8212,1.028147,0.538949,0.086720,2.548348
99000,23.8212,1.028147,0.538949,0.086720,2.650470
100000,23.8212,1.028147,0.538949,0.086720,2.445871
101000,23.8212,1.028147,0.538949,0.086720,2.433115
102000,23.8212,1.028147,0.538949,0.086720,2.743844
103000,23.8212,1.028147,0.538949,0.086720,2.326928
104000,23.8212,1.028147,0.538949,0.086720,2.328534
105000,23.8212,1.028147,0.538949,0.086720,2.395632
106000,23.8212,1.028147,0.538949,0.086720,2.428918
107000,23.8212,1.028147,0.538949,0.086720,2.114358
108000,23.8212,1.028147,0.538949,0.086720,2.524263
109000,23.8212,1.028147,0.538949,0.086720,2.489058
110000,23.8212,1.028147,0.538949,0.086720,2.404354
111000,23.8212,1.028147,0.538949,0.086720,2.335892
112000,23.8212,1.028147,0.538949,0.086720,2.538607
113000,23.8212,1.028147,0.538949,0.086720,2.676522
114000,23.8212,1.028147,0.538949,0.086720,2.495548
115000,23.8212,1.028147,0.538949,0.086720,2.650019
116000,23.8212,1.028147,0.538949,0.086720,2.521605
117000,23.8212,1.028147,0.538949,0.086720,2.450437
118000,23.8212,1.028147,0.538949,0.086720,2.622902
119000,23.8212,1.028147,0.538949,0.086720,2.262872
120000,23.8212,1.028147,0.538949,0.086720,2.554533
121000,23.8212,1.028147,0.538949,0.086720,2.280112
122000,23.8212,1.028147,0.538949,0.086720,2.390174
123000,23.8212,1.028147,0.538949,0.086720,2.417063
124000,23.8212,1.028147,0.538949,0.086720,2.440649
125000,23.8212,1.028147,0.538949,0.086720,2.471875
126000,23.8212,1.028147,0.538949,0.086720,2.158761
127000,23.8212,1.028147,0.538949,0.086720,2.546945
128000,23.8212,1.028147,0.538949,0.086720,2.549205
129000,23.8212,1.028147,0.538949,0.086720,2.368335
130000,23.8212,1.028147,0.538949,0.086720,2.319336
131000,23.8212,1.028147,0.538949,0.086720,2.462372
132000,23.8212,1.028147,0.538949,0.086720,2.633301
