Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.842580
4001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.913036
4002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.859205
4003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.844260
4004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.015526
4005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.032023
4006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.995993
4007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.193073
4008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.960432
4009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.766529
4010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.924639
4011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.863267
4012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.785251
4013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.947072
4014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.994609
4015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.044361
4016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.094917
4017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.993872
4018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.852901
4019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.627284
4020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.594270
4021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.807735
4022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.922182
4023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.895091
4024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.147274
4025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.875807
4026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.670435
4027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.876161
4028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.760272
4029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.682304
4030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.702655
4031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.681058
4032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.639889
4033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.557982
4034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.566578
4035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.586268
4036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.699351
4037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.897613
4038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.005704
4039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.873333
4040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.748756
4041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.903732
4042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.690256
4043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.829876
4044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.064649
4045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.831510
4046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.697674
4047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.854488
4048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.807542
4049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.925188
