Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.6202,0.544831,0.005673,0.000697,0.471058
4001000,1.6202,0.544831,0.005673,0.000697,0.469226
4002000,1.6202,0.544831,0.005673,0.000697,0.466069
4003000,1.6202,0.544831,0.005673,0.000697,0.472947
4004000,1.6202,0.544831,0.005673,0.000697,0.469175
4005000,1.6202,0.544831,0.005673,0.000697,0.471077
4006000,1.6202,0.544831,0.005673,0.000697,0.468939
4007000,1.6202,0.544831,0.005673,0.000697,0.469468
4008000,1.6202,0.544831,0.005673,0.000697,0.472556
4009000,1.6202,0.544831,0.005673,0.000697,0.476445
4010000,1.6202,0.544831,0.005673,0.000697,0.472254
4011000,1.6202,0.544831,0.005673,0.000697,0.472646
4012000,1.6202,0.544831,0.005673,0.000697,0.472681
4013000,1.6202,0.544831,0.005673,0.000697,0.471992
4014000,1.6202,0.544831,0.005673,0.000697,0.473599
4015000,1.6202,0.544831,0.005673,0.000697,0.476229
4016000,1.6202,0.544831,0.005673,0.000697,0.472039
4017000,1.6202,0.544831,0.005673,0.000697,0.475669
4018000,1.6202,0.544831,0.005673,0.000697,0.477766
4019000,1.6202,0.544831,0.005673,0.000697,0.475208
4020000,1.6202,0.544831,0.005673,0.000697,0.470550
4021000,1.6202,0.544831,0.005673,0.000697,0.474808
4022000,1.6202,0.544831,0.005673,0.000697,0.473246
4023000,1.6202,0.544831,0.005673,0.000697,0.473175
4024000,1.6202,0.544831,0.005673,0.000697,0.471138
4025000,1.6202,0.544831,0.005673,0.000697,0.474552
4026000,1.6202,0.544831,0.005673,0.000697,0.473416
4027000,1.6202,0.544831,0.005673,0.000697,0.471703
4028000,1.6202,0.544831,0.005673,0.000697,0.472069
4029000,1.6202,0.544831,0.005673,0.000697,0.475481
4030000,1.6202,0.544831,0.005673,0.000697,0.471460
4031000,1.6202,0.544831,0.005673,0.000697,0.474881
4032000,1.6202,0.544831,0.005673,0.000697,0.473175
4033000,1.6202,0.544831,0.005673,0.000697,0.472352
4034000,1.6202,0.544831,0.005673,0.000697,0.470708
4035000,1.6202,0.544831,0.005673,0.000697,0.466452
4036000,1.6202,0.544831,0.005673,0.000697,0.465549
4037000,1.6202,0.544831,0.005673,0.000697,0.467082
4038000,1.6202,0.544831,0.005673,0.000697,0.465508
4039000,1.6202,0.544831,0.005673,0.000697,0.464510
4040000,1.6202,0.544831,0.005673,0.000697,0.468671
4041000,1.6202,0.544831,0.005673,0.000697,0.470573
4042000,1.6202,0.544831,0.005673,0.000697,0.471995
4043000,1.6202,0.544831,0.005673,0.000697,0.470620
4044000,1.6202,0.544831,0.005673,0.000697,0.467667
4045000,1.6202,0.544831,0.005673,0.000697,0.470980
4046000,1.6202,0.544831,0.005673,0.000697,0.471006
4047000,1.6202,0.544831,0.005673,0.000697,0.471286
4048000,1.6202,0.544831,0.005673,0.000697,0.473770
4049000,1.6202,0.544831,0.005673,0.000697,0.473410
4050000,1.6202,0.544831,0.005673,0.000697,0.470402
4051000,1.6202,0.544831,0.005673,0.000697,0.472364
4052000,1.6202,0.544831,0.005673,0.000697,0.471497
4053000,1.6202,0.544831,0.005673,0.000697,0.464958
4054000,1.6202,0.544831,0.005673,0.000697,0.468930
4055000,1.6202,0.544831,0.005673,0.000697,0.465236
4056000,1.6202,0.544831,0.005673,0.000697,0.469498
4057000,1.6202,0.544831,0.005673,0.000697,0.471252
4058000,1.6202,0.544831,0.005673,0.000697,0.467326
4059000,1.6202,0.544831,0.005673,0.000697,0.467126
4060000,1.6202,0.544831,0.005673,0.000697,0.470513
4061000,1.6202,0.544831,0.005673,0.000697,0.473857
4062000,1.6202,0.544831,0.005673,0.000697,0.473670
4063000,1.6202,0.544831,0.005673,0.000697,0.470581
4064000,1.6202,0.544831,0.005673,0.000697,0.476835
4065000,1.6202,0.544831,0.005673,0.000697,0.474898
4066000,1.6202,0.544831,0.005673,0.000697,0.475209
4067000,1.6202,0.544831,0.005673,0.000697,0.475645
4068000,1.6202,0.544831,0.005673,0.000697,0.474772
4069000,1.6202,0.544831,0.005673,0.000697,0.478116
4070000,1.6202,0.544831,0.005673,0.000697,0.469884
4071000,1.6202,0.544831,0.005673,0.000697,0.475635
4072000,1.6202,0.544831,0.005673,0.000697,0.471024
4073000,1.6202,0.544831,0.005673,0.000697,0.473834
4074000,1.6202,0.544831,0.005673,0.000697,0.471467
4075000,1.6202,0.544831,0.005673,0.000697,0.470634
4076000,1.6202,0.544831,0.005673,0.000697,0.473695
4077000,1.6202,0.544831,0.005673,0.000697,0.472332
4078000,1.6202,0.544831,0.005673,0.000697,0.472089
4079000,1.6202,0.544831,0.005673,0.000697,0.478286
4080000,1.6202,0.544831,0.005673,0.000697,0.473485
4081000,1.6202,0.544831,0.005673,0.000697,0.474153
4082000,1.6202,0.544831,0.005673,0.000697,0.475849
4083000,1.6202,0.544831,0.005673,0.000697,0.475135
4084000,1.6202,0.544831,0.005673,0.000697,0.476707
4085000,1.6202,0.544831,0.005673,0.000697,0.474108
4086000,1.6202,0.544831,0.005673,0.000697,0.470895
4087000,1.6202,0.544831,0.005673,0.000697,0.468154
4088000,1.6202,0.544831,0.005673,0.000697,0.464893
4089000,1.6202,0.544831,0.005673,0.000697,0.466860
4090000,1.6202,0.544831,0.005673,0.000697,0.461973
4091000,1.6202,0.544831,0.005673,0.000697,0.471373
4092000,1.6202,0.544831,0.005673,0.000697,0.466614
4093000,1.6202,0.544831,0.005673,0.000697,0.467007
4094000,1.6202,0.544831,0.005673,0.000697,0.472902
4095000,1.6202,0.544831,0.005673,0.000697,0.466657
4096000,1.6202,0.544831,0.005673,0.000697,0.469047
4097000,1.6202,0.544831,0.005673,0.000697,0.469155
4098000,1.6202,0.544831,0.005673,0.000697,0.471818
4099000,1.6202,0.544831,0.005673,0.000697,0.471611
4100000,1.6202,0.544831,0.005673,0.000697,0.471850
4101000,1.6202,0.544831,0.005673,0.000697,0.469706
4102000,1.6202,0.544831,0.005673,0.000697,0.470010
4103000,1.6202,0.544831,0.005673,0.000697,0.469277
4104000,1.6202,0.544831,0.005673,0.000697,0.468087
4105000,1.6202,0.544831,0.005673,0.000697,0.471891
4106000,1.6202,0.544831,0.005673,0.000697,0.473645
4107000,1.6202,0.544831,0.005673,0.000697,0.473944
4108000,1.6202,0.544831,0.005673,0.000697,0.473736
4109000,1.6202,0.544831,0.005673,0.000697,0.469808
4110000,1.6202,0.544831,0.005673,0.000697,0.472906
4111000,1.6202,0.544831,0.005673,0.000697,0.473293
4112000,1.6202,0.544831,0.005673,0.000697,0.470702
4113000,1.6202,0.544831,0.005673,0.000697,0.466645
4114000,1.6202,0.544831,0.005673,0.000697,0.469915
4115000,1.6202,0.544831,0.005673,0.000697,0.468409
4116000,1.6202,0.544831,0.005673,0.000697,0.472379
4117000,1.6202,0.544831,0.005673,0.000697,0.463287
4118000,1.6202,0.544831,0.005673,0.000697,0.465710
4119000,1.6202,0.544831,0.005673,0.000697,0.465972
4120000,1.6202,0.544831,0.005673,0.000697,0.470628
4121000,1.6202,0.544831,0.005673,0.000697,0.476327
4122000,1.6202,0.544831,0.005673,0.000697,0.472144
4123000,1.6202,0.544831,0.005673,0.000697,0.470388
4124000,1.6202,0.544831,0.005673,0.000697,0.472116
4125000,1.6202,0.544831,0.005673,0.000697,0.466007
4126000,1.6202,0.544831,0.005673,0.000697,0.472083
4127000,1.6202,0.544831,0.005673,0.000697,0.466598
4128000,1.6202,0.544831,0.005673,0.000697,0.466232
4129000,1.6202,0.544831,0.005673,0.000697,0.470413
4130000,1.6202,0.544831,0.005673,0.000697,0.470233
4131000,1.6202,0.544831,0.005673,0.000697,0.462941
4132000,1.6202,0.544831,0.005673,0.000697,0.466000
4133000,1.6202,0.544831,0.005673,0.000697,0.467862
4134000,1.6202,0.544831,0.005673,0.000697,0.467961
4135000,1.6202,0.544831,0.005673,0.000697,0.469430
4136000,1.6202,0.544831,0.005673,0.000697,0.470781
4137000,1.6202,0.544831,0.005673,0.000697,0.473340
4138000,1.6202,0.544831,0.005673,0.000697,0.470954
4139000,1.6202,0.544831,0.005673,0.000697,0.473811
4140000,1.6202,0.544831,0.005673,0.000697,0.474155
4141000,1.6202,0.544831,0.005673,0.000697,0.472604
4142000,1.6202,0.544831,0.005673,0.000697,0.472220
4143000,1.6202,0.544831,0.005673,0.000697,0.473182
4144000,1.6202,0.544831,0.005673,0.000697,0.473685
4145000,1.6202,0.544831,0.005673,0.000697,0.475114
4146000,1.6202,0.544831,0.005673,0.000697,0.475403
4147000,1.6202,0.544831,0.005673,0.000697,0.472539
4148000,1.6202,0.544831,0.005673,0.000697,0.471585
4149000,1.6202,0.544831,0.005673,0.000697,0.473824
4150000,1.6202,0.544831,0.005673,0.000697,0.468847
4151000,1.6202,0.544831,0.005673,0.000697,0.470277
4152000,1.6202,0.544831,0.005673,0.000697,0.465680
4153000,1.6202,0.544831,0.005673,0.000697,0.469484
4154000,1.6202,0.544831,0.005673,0.000697,0.470933
4155000,1.6202,0.544831,0.005673,0.000697,0.468692
4156000,1.6202,0.544831,0.005673,0.000697,0.467617
4157000,1.6202,0.544831,0.005673,0.000697,0.473508
4158000,1.6202,0.544831,0.005673,0.000697,0.467136
4159000,1.6202,0.544831,0.005673,0.000697,0.470692
4160000,1.6202,0.544831,0.005673,0.000697,0.469267
4161000,1.6202,0.544831,0.005673,0.000697,0.466827
4162000,1.6202,0.544831,0.005673,0.000697,0.473372
4163000,1.6202,0.544831,0.005673,0.000697,0.471379
4164000,1.6202,0.544831,0.005673,0.000697,0.471229
4165000,1.6202,0.544831,0.005673,0.000697,0.469955
4166000,1.6202,0.544831,0.005673,0.000697,0.469689
4167000,1.6202,0.544831,0.005673,0.000697,0.469161
4168000,1.6202,0.544831,0.005673,0.000697,0.469260
4169000,1.6202,0.544831,0.005673,0.000697,0.468045
4170000,1.6202,0.544831,0.005673,0.000697,0.463229
4171000,1.6202,0.544831,0.005673,0.000697,0.464184
4172000,1.6202,0.544831,0.005673,0.000697,0.468718
4173000,1.6202,0.544831,0.005673,0.000697,0.471161
4174000,1.6202,0.544831,0.005673,0.000697,0.470588
4175000,1.6202,0.544831,0.005673,0.000697,0.472199
4176000,1.6202,0.544831,0.005673,0.000697,0.468295
4177000,1.6202,0.544831,0.005673,0.000697,0.472478
4178000,1.6202,0.544831,0.005673,0.000697,0.469971
4179000,1.6202,0.544831,0.005673,0.000697,0.472193
4180000,1.6202,0.544831,0.005673,0.000697,0.473155
4181000,1.6202,0.544831,0.005673,0.000697,0.471548
4182000,1.6202,0.544831,0.005673,0.000697,0.465392
4183000,1.6202,0.544831,0.005673,0.000697,0.463089
4184000,1.6202,0.544831,0.005673,0.000697,0.470764
4185000,1.6202,0.544831,0.005673,0.000697,0.473030
4186000,1.6202,0.544831,0.005673,0.000697,0.467179
4187000,1.6202,0.544831,0.005673,0.000697,0.461334
4188000,1.6202,0.544831,0.005673,0.000697,0.465982
4189000,1.6202,0.544831,0.005673,0.000697,0.469162
4190000,1.6202,0.544831,0.005673,0.000697,0.458067
4191000,1.6202,0.544831,0.005673,0.000697,0.461207
4192000,1.6202,0.544831,0.005673,0.000697,0.461969
4193000,1.6202,0.544831,0.005673,0.000697,0.463304
4194000,1.6202,0.544831,0.005673,0.000697,0.466069
4195000,1.6202,0.544831,0.005673,0.000697,0.461781
4196000,1.6202,0.544831,0.005673,0.000697,0.463731
4197000,1.6202,0.544831,0.005673,0.000697,0.464044
4198000,1.6202,0.544831,0.005673,0.000697,0.463680
4199000,1.6202,0.544831,0.005673,0.000697,0.464658
4200000,1.6202,0.544831,0.005673,0.000697,0.469679
4201000,1.6202,0.544831,0.005673,0.000697,0.461414
4202000,1.6202,0.544831,0.005673,0.000697,0.468443
4203000,1.6202,0.544831,0.005673,0.000697,0.468721
4204000,1.6202,0.544831,0.005673,0.000697,0.466998
4205000,1.6202,0.544831,0.005673,0.000697,0.475531
4206000,1.6202,0.544831,0.005673,0.000697,0.467472
4207000,1.6202,0.544831,0.005673,0.000697,0.462614
4208000,1.6202,0.544831,0.005673,0.000697,0.463294
4209000,1.6202,0.544831,0.005673,0.000697,0.465069
4210000,1.6202,0.544831,0.005673,0.000697,0.464911
4211000,1.6202,0.544831,0.005673,0.000697,0.471222
4212000,1.6202,0.544831,0.005673,0.000697,0.461436
4213000,1.6202,0.544831,0.005673,0.000697,0.461193
4214000,1.6202,0.544831,0.005673,0.000697,0.458151
4215000,1.6202,0.544831,0.005673,0.000697,0.460246
4216000,1.6202,0.544831,0.005673,0.000697,0.466499
4217000,1.6202,0.544831,0.005673,0.000697,0.463596
4218000,1.6202,0.544831,0.005673,0.000697,0.462282
4219000,1.6202,0.544831,0.005673,0.000697,0.464147
4220000,1.6202,0.544831,0.005673,0.000697,0.468904
4221000,1.6202,0.544831,0.005673,0.000697,0.469999
4222000,1.6202,0.544831,0.005673,0.000697,0.463510
4223000,1.6202,0.544831,0.005673,0.000697,0.456942
4224000,1.6202,0.544831,0.005673,0.000697,0.463320
4225000,1.6202,0.544831,0.005673,0.000697,0.466211
4226000,1.6202,0.544831,0.005673,0.000697,0.462786
4227000,1.6202,0.544831,0.005673,0.000697,0.469793
4228000,1.6202,0.544831,0.005673,0.000697,0.470564
4229000,1.6202,0.544831,0.005673,0.000697,0.468413
4230000,1.6202,0.544831,0.005673,0.000697,0.469300
4231000,1.6202,0.544831,0.005673,0.000697,0.469203
4232000,1.6202,0.544831,0.005673,0.000697,0.466709
4233000,1.6202,0.544831,0.005673,0.000697,0.466990
4234000,1.6202,0.544831,0.005673,0.000697,0.464637
4235000,1.6202,0.544831,0.005673,0.000697,0.462541
4236000,1.6202,0.544831,0.005673,0.000697,0.468052
4237000,1.6202,0.544831,0.005673,0.000697,0.468967
4238000,1.6202,0.544831,0.005673,0.000697,0.469401
4239000,1.6202,0.544831,0.005673,0.000697,0.469845
4240000,1.6202,0.544831,0.005673,0.000697,0.466220
4241000,1.6202,0.544831,0.005673,0.000697,0.472039
4242000,1.6202,0.544831,0.005673,0.000697,0.468537
4243000,1.6202,0.544831,0.005673,0.000697,0.468762
4244000,1.6202,0.544831,0.005673,0.000697,0.464565
4245000,1.6202,0.544831,0.005673,0.000697,0.465969
4246000,1.6202,0.544831,0.005673,0.000697,0.465160
4247000,1.6202,0.544831,0.005673,0.000697,0.465804
4248000,1.6202,0.544831,0.005673,0.000697,0.466614
4249000,1.6202,0.544831,0.005673,0.000697,0.470235
4250000,1.6202,0.544831,0.005673,0.000697,0.473352
4251000,1.6202,0.544831,0.005673,0.000697,0.465189
4252000,1.6202,0.544831,0.005673,0.000697,0.470778
4253000,1.6202,0.544831,0.005673,0.000697,0.474821
4254000,1.6202,0.544831,0.005673,0.000697,0.471579
4255000,1.6202,0.544831,0.005673,0.000697,0.471619
4256000,1.6202,0.544831,0.005673,0.000697,0.470988
4257000,1.6202,0.544831,0.005673,0.000697,0.469300
4258000,1.6202,0.544831,0.005673,0.000697,0.471262
4259000,1.6202,0.544831,0.005673,0.000697,0.473320
4260000,1.6202,0.544831,0.005673,0.000697,0.470117
4261000,1.6202,0.544831,0.005673,0.000697,0.471447
4262000,1.6202,0.544831,0.005673,0.000697,0.470365
4263000,1.6202,0.544831,0.005673,0.000697,0.469548
4264000,1.6202,0.544831,0.005673,0.000697,0.469828
4265000,1.6202,0.544831,0.005673,0.000697,0.463791
4266000,1.6202,0.544831,0.005673,0.000697,0.473280
4267000,1.6202,0.544831,0.005673,0.000697,0.472102
4268000,1.6202,0.544831,0.005673,0.000697,0.465950
4269000,1.6202,0.544831,0.005673,0.000697,0.472290
4270000,1.6202,0.544831,0.005673,0.000697,0.471441
4271000,1.6202,0.544831,0.005673,0.000697,0.468531
4272000,1.6202,0.544831,0.005673,0.000697,0.468490
4273000,1.6202,0.544831,0.005673,0.000697,0.466097
4274000,1.6202,0.544831,0.005673,0.000697,0.467529
4275000,1.6202,0.544831,0.005673,0.000697,0.465118
4276000,1.6202,0.544831,0.005673,0.000697,0.464514
4277000,1.6202,0.544831,0.005673,0.000697,0.463377
4278000,1.6202,0.544831,0.005673,0.000697,0.471317
4279000,1.6202,0.544831,0.005673,0.000697,0.472238
4280000,1.6202,0.544831,0.005673,0.000697,0.473383
4281000,1.6202,0.544831,0.005673,0.000697,0.473495
4282000,1.6202,0.544831,0.005673,0.000697,0.474072
4283000,1.6202,0.544831,0.005673,0.000697,0.469581
4284000,1.6202,0.544831,0.005673,0.000697,0.473434
4285000,1.6202,0.544831,0.005673,0.000697,0.473107
4286000,1.6202,0.544831,0.005673,0.000697,0.472946
4287000,1.6202,0.544831,0.005673,0.000697,0.471949
4288000,1.6202,0.544831,0.005673,0.000697,0.470688
4289000,1.6202,0.544831,0.005673,0.000697,0.474882
4290000,1.6202,0.544831,0.005673,0.000697,0.468361
4291000,1.6202,0.544831,0.005673,0.000697,0.473026
4292000,1.6202,0.544831,0.005673,0.000697,0.474570
4293000,1.6202,0.544831,0.005673,0.000697,0.472369
4294000,1.6202,0.544831,0.005673,0.000697,0.473147
4295000,1.6202,0.544831,0.005673,0.000697,0.475272
4296000,1.6202,0.544831,0.005673,0.000697,0.475263
4297000,1.6202,0.544831,0.005673,0.000697,0.471360
4298000,1.6202,0.544831,0.005673,0.000697,0.468738
4299000,1.6202,0.544831,0.005673,0.000697,0.473305
4300000,1.6202,0.544831,0.005673,0.000697,0.474546
4301000,1.6202,0.544831,0.005673,0.000697,0.474582
4302000,1.6202,0.544831,0.005673,0.000697,0.471033
4303000,1.6202,0.544831,0.005673,0.000697,0.474414
4304000,1.6202,0.544831,0.005673,0.000697,0.473736
4305000,1.6202,0.544831,0.005673,0.000697,0.469417
4306000,1.6202,0.544831,0.005673,0.000697,0.471460
4307000,1.6202,0.544831,0.005673,0.000697,0.472164
4308000,1.6202,0.544831,0.005673,0.000697,0.472567
4309000,1.6202,0.544831,0.005673,0.000697,0.475698
4310000,1.6202,0.544831,0.005673,0.000697,0.475040
4311000,1.6202,0.544831,0.005673,0.000697,0.474126
4312000,1.6202,0.544831,0.005673,0.000697,0.473757
4313000,1.6202,0.544831,0.005673,0.000697,0.474281
4314000,1.6202,0.544831,0.005673,0.000697,0.471826
4315000,1.6202,0.544831,0.005673,0.000697,0.474361
4316000,1.6202,0.544831,0.005673,0.000697,0.473907
4317000,1.6202,0.544831,0.005673,0.000697,0.469485
4318000,1.6202,0.544831,0.005673,0.000697,0.470758
4319000,1.6202,0.544831,0.005673,0.000697,0.466957
4320000,1.6202,0.544831,0.005673,0.000697,0.473692
4321000,1.6202,0.544831,0.005673,0.000697,0.469102
4322000,1.6202,0.544831,0.005673,0.000697,0.472277
4323000,1.6202,0.544831,0.005673,0.000697,0.469894
4324000,1.6202,0.544831,0.005673,0.000697,0.471878
4325000,1.6202,0.544831,0.005673,0.000697,0.474498
4326000,1.6202,0.544831,0.005673,0.000697,0.473537
