Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,23.8212,1.028147,0.538949,0.086720,8.732363
200,23.8212,1.028147,0.538949,0.086720,8.995993
300,23.8212,1.028147,0.538949,0.086720,8.995993
400,23.8212,1.028147,0.538949,0.086720,8.995993
500,23.8212,1.028147,0.538949,0.086720,8.995993
600,23.8212,1.028147,0.538949,0.086720,8.995993
700,23.8212,1.028147,0.538949,0.086720,8.995993
800,23.8212,1.028147,0.538949,0.086720,8.995993
900,23.8212,1.028147,0.538949,0.086720,8.995993
1000,23.8212,1.028147,0.538949,0.086720,8.995993
1100,23.8212,1.028147,0.538949,0.086720,8.995993
1200,23.8212,1.028147,0.538949,0.086720,8.995993
1300,23.8212,1.028147,0.538949,0.086720,8.995993
1400,23.8212,1.028147,0.538949,0.086720,8.995993
1500,23.8212,1.028147,0.538949,0.086720,8.995993
1600,23.8212,1.028147,0.538949,0.086720,8.995993
1700,23.8212,1.028147,0.538949,0.086720,8.995993
1800,23.8212,1.028147,0.538949,0.086720,8.995993
1900,23.8212,1.028147,0.538949,0.086720,8.995993
2000,23.8212,1.028147,0.538949,0.086720,8.995993
2100,23.8212,1.028147,0.538949,0.086720,8.995993
2200,23.8212,1.028147,0.538949,0.086720,8.995993
2300,23.8212,1.028147,0.538949,0.086720,8.995993
2400,23.8212,1.028147,0.538949,0.086720,8.995993
2500,23.8212,1.028147,0.538949,0.086720,8.995993
2600,23.8212,1.028147,0.538949,0.086720,8.995993
2700,23.8212,1.028147,0.538949,0.086720,8.995993
2800,23.8212,1.028147,0.538949,0.086720,8.995993
2900,23.8212,1.028147,0.538949,0.086720,8.995993
3000,23.8212,1.028147,0.538949,0.086720,8.995993
3100,23.8212,1.028147,0.538949,0.086720,8.995993
3200,23.8212,1.028147,0.538949,0.086720,8.995993
3300,23.8212,1.028147,0.538949,0.086720,8.995993
3400,23.8212,1.028147,0.538949,0.086720,8.995993
3500,23.8212,1.028147,0.538949,0.086720,8.995993
3600,23.8212,1.028147,0.538949,0.086720,8.995993
3700,23.8212,1.028147,0.538949,0.086720,8.995993
3800,23.8212,1.028147,0.538949,0.086720,8.995993
3900,23.8212,1.028147,0.538949,0.086720,8.995993
4000,23.8212,1.028147,0.538949,0.086720,8.995993
4100,23.8212,1.028147,0.538949,0.086720,8.995993
4200,23.8212,1.028147,0.538949,0.086720,8.995993
4300,23.8212,1.028147,0.538949,0.086720,8.995993
4400,23.8212,1.028147,0.538949,0.086720,8.995993
4500,23.8212,1.028147,0.538949,0.086720,8.995993
4600,23.8212,1.028147,0.538949,0.086720,8.995993
4700,23.8212,1.028147,0.538949,0.086720,8.995993
4800,23.8212,1.028147,0.538949,0.086720,8.995993
4900,23.8212,1.028147,0.538949,0.086720,8.995993
5000,23.8212,1.028147,0.538949,0.086720,8.995993
5100,23.8212,1.028147,0.538949,0.086720,13.624411
5200,23.8212,1.028147,0.538949,0.086720,7.628251
5300,23.8212,1.028147,0.538949,0.086720,7.171182
5400,23.8212,1.028147,0.538949,0.086720,11.242857
5500,23.8212,1.028147,0.538949,0.086720,7.289551
5600,23.8212,1.028147,0.538949,0.086720,7.389394
5700,23.8212,1.028147,0.538949,0.086720,11.002776
5800,23.8212,1.028147,0.538949,0.086720,10.850103
5900,23.8212,1.028147,0.538949,0.086720,10.335028
6000,23.8212,1.028147,0.538949,0.086720,7.543739
6100,23.8212,1.028147,0.538949,0.086720,7.731179
6200,23.8212,1.028147,0.538949,0.086720,7.773161
6300,23.8212,1.028147,0.538949,0.086720,8.248690
6400,23.8212,1.028147,0.538949,0.086720,9.176913
6500,23.8212,1.028147,0.538949,0.086720,11.816171
6600,23.8212,1.028147,0.538949,0.086720,9.828611
6700,23.8212,1.028147,0.538949,0.086720,7.941430
6800,23.8212,1.028147,0.538949,0.086720,8.458352
6900,23.8212,1.028147,0.538949,0.086720,9.125700
7000,23.8212,1.028147,0.538949,0.086720,9.559385
7100,23.8212,1.028147,0.538949,0.086720,10.029574
7200,23.8212,1.028147,0.538949,0.086720,9.034999
7300,23.8212,1.028147,0.538949,0.086720,10.220895
7400,23.8212,1.028147,0.538949,0.086720,13.253282
7500,23.8212,1.028147,0.538949,0.086720,9.946574
7600,23.8212,1.028147,0.538949,0.086720,7.740791
7700,23.8212,1.028147,0.538949,0.086720,7.859494
7800,23.8212,1.028147,0.538949,0.086720,8.898819
7900,23.8212,1.028147,0.538949,0.086720,8.219574
8000,23.8212,1.028147,0.538949,0.086720,7.760281
8100,23.8212,1.028147,0.538949,0.086720,7.512446
8200,23.8212,1.028147,0.538949,0.086720,8.012931
8300,23.8212,1.028147,0.538949,0.086720,8.901643
8400,23.8212,1.028147,0.538949,0.086720,8.281102
8500,23.8212,1.028147,0.538949,0.086720,8.384107
8600,23.8212,1.028147,0.538949,0.086720,7.622729
8700,23.8212,1.028147,0.538949,0.086720,7.681575
8800,23.8212,1.028147,0.538949,0.086720,7.851239
8900,23.8212,1.028147,0.538949,0.086720,8.672861
9000,23.8212,1.028147,0.538949,0.086720,8.261063
9100,23.8212,1.028147,0.538949,0.086720,7.684137
9200,23.8212,1.028147,0.538949,0.086720,7.933252
9300,23.8212,1.028147,0.538949,0.086720,7.828843
9400,23.8212,1.028147,0.538949,0.086720,7.832030
9500,23.8212,1.028147,0.538949,0.086720,7.852582
9600,23.8212,1.028147,0.538949,0.086720,7.649542
9700,23.8212,1.028147,0.538949,0.086720,7.782006
9800,23.8212,1.028147,0.538949,0.086720,7.854885
9900,23.8212,1.028147,0.538949,0.086720,7.709548
10000,23.8212,1.028147,0.538949,0.086720,7.638906
10100,23.8212,1.028147,0.538949,0.086720,7.598684
10200,23.8212,1.028147,0.538949,0.086720,7.719079
10300,23.8212,1.028147,0.538949,0.086720,7.910739
10400,23.8212,1.028147,0.538949,0.086720,7.846297
10500,23.8212,1.028147,0.538949,0.086720,7.783177
10600,23.8212,1.028147,0.538949,0.086720,7.779163
10700,23.8212,1.028147,0.538949,0.086720,7.803749
10800,23.8212,1.028147,0.538949,0.086720,7.720344
10900,23.8212,1.028147,0.538949,0.086720,7.809883
11000,23.8212,1.028147,0.538949,0.086720,7.679301
11100,23.8212,1.028147,0.538949,0.086720,7.677786
11200,23.8212,1.028147,0.538949,0.086720,7.835862
11300,23.8212,1.028147,0.538949,0.086720,7.808030
11400,23.8212,1.028147,0.538949,0.086720,7.709665
11500,23.8212,1.028147,0.538949,0.086720,7.727925
11600,23.8212,1.028147,0.538949,0.086720,7.649337
11700,23.8212,1.028147,0.538949,0.086720,7.684069
11800,23.8212,1.028147,0.538949,0.086720,7.863276
11900,23.8212,1.028147,0.538949,0.086720,7.675715
12000,23.8212,1.028147,0.538949,0.086720,7.582709
12100,23.8212,1.028147,0.538949,0.086720,7.821151
12200,23.8212,1.028147,0.538949,0.086720,7.930099
12300,23.8212,1.028147,0.538949,0.086720,7.921562
12400,23.8212,1.028147,0.538949,0.086720,7.858432
12500,23.8212,1.028147,0.538949,0.086720,8.069174
12600,23.8212,1.028147,0.538949,0.086720,8.211406
12700,23.8212,1.028147,0.538949,0.086720,8.359737
12800,23.8212,1.028147,0.538949,0.086720,8.436460
12900,23.8212,1.028147,0.538949,0.086720,8.704547
13000,23.8212,1.028147,0.538949,0.086720,8.710290
13100,23.8212,1.028147,0.538949,0.086720,8.670514
13200,23.8212,1.028147,0.538949,0.086720,8.686480
13300,23.8212,1.028147,0.538949,0.086720,8.724538
13400,23.8212,1.028147,0.538949,0.086720,8.674333
13500,23.8212,1.028147,0.538949,0.086720,8.670514
13600,23.8212,1.028147,0.538949,0.086720,8.694477
13700,23.8212,1.028147,0.538949,0.086720,8.670514
13800,23.8212,1.028147,0.538949,0.086720,8.689006
13900,23.8212,1.028147,0.538949,0.086720,8.670514
14000,23.8212,1.028147,0.538949,0.086720,8.694858
14100,23.8212,1.028147,0.538949,0.086720,8.729604
14200,23.8212,1.028147,0.538949,0.086720,8.674333
14300,23.8212,1.028147,0.538949,0.086720,8.670514
14400,23.8212,1.028147,0.538949,0.086720,8.677637
14500,23.8212,1.028147,0.538949,0.086720,8.670514
