Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,0.7779,0.306348,0.002724,0.000334,0.183809
200,0.7779,0.306348,0.002724,0.000334,0.183809
300,0.7779,0.306348,0.002724,0.000334,0.183809
400,0.7779,0.306348,0.002724,0.000334,0.183809
500,0.7779,0.306348,0.002724,0.000334,0.183809
600,0.7779,0.306348,0.002724,0.000334,0.183809
700,0.7779,0.306348,0.002724,0.000334,0.183809
800,0.7779,0.306348,0.002724,0.000334,0.183809
900,0.7779,0.306348,0.002724,0.000334,0.183809
1000,0.7779,0.306348,0.002724,0.000334,0.183809
1100,0.7779,0.306348,0.002724,0.000334,0.183809
1200,0.7779,0.306348,0.002724,0.000334,0.183809
1300,0.7779,0.306348,0.002724,0.000334,0.183809
1400,0.7779,0.306348,0.002724,0.000334,0.183809
1500,0.7779,0.306348,0.002724,0.000334,0.183809
1600,0.7779,0.306348,0.002724,0.000334,0.183809
1700,0.7779,0.306348,0.002724,0.000334,0.183809
1800,0.7779,0.306348,0.002724,0.000334,0.183809
1900,0.7779,0.306348,0.002724,0.000334,0.183809
2000,0.7779,0.306348,0.002724,0.000334,0.183809
2100,0.7779,0.306348,0.002724,0.000334,0.183809
2200,0.7779,0.306348,0.002724,0.000334,0.183809
2300,0.7779,0.306348,0.002724,0.000334,0.183809
2400,0.7779,0.306348,0.002724,0.000334,0.183809
2500,0.7779,0.306348,0.002724,0.000334,0.183809
2600,0.7779,0.306348,0.002724,0.000334,0.183809
2700,0.7779,0.306348,0.002724,0.000334,0.183809
2800,0.7779,0.306348,0.002724,0.000334,0.183809
2900,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
3100,0.7779,0.306348,0.002724,0.000334,0.183809
3200,0.7779,0.306348,0.002724,0.000334,0.183809
3300,0.7779,0.306348,0.002724,0.000334,0.183809
3400,0.7779,0.306348,0.002724,0.000334,0.183809
3500,0.7779,0.306348,0.002724,0.000334,0.183809
3600,0.7779,0.306348,0.002724,0.000334,0.183809
3700,0.7779,0.306348,0.002724,0.000334,0.183809
3800,0.7779,0.306348,0.002724,0.000334,0.183809
3900,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
4100,0.7779,0.306348,0.002724,0.000334,0.183809
4200,0.7779,0.306348,0.002724,0.000334,0.183809
4300,0.7779,0.306348,0.002724,0.000334,0.183809
4400,0.7779,0.306348,0.002724,0.000334,0.183809
4500,0.7779,0.306348,0.002724,0.000334,0.183809
4600,0.7779,0.306348,0.002724,0.000334,0.183809
4700,0.7779,0.306348,0.002724,0.000334,0.183809
4800,0.7779,0.306348,0.002724,0.000334,0.183809
4900,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
5100,0.7779,0.306348,0.002724,0.000334,0.183809
5200,0.7779,0.306348,0.002724,0.000334,0.183809
5300,0.7779,0.306348,0.002724,0.000334,0.183809
5400,0.7779,0.306348,0.002724,0.000334,0.183809
5500,0.7779,0.306348,0.002724,0.000334,0.183809
5600,0.7779,0.306348,0.002724,0.000334,0.183809
5700,0.7779,0.306348,0.002724,0.000334,0.183809
5800,0.7779,0.306348,0.002724,0.000334,0.274796
5900,0.7779,0.306348,0.002724,0.000334,0.363898
6000,0.7779,0.306348,0.002724,0.000334,0.365307
6100,0.7779,0.306348,0.002724,0.000334,0.361999
6200,0.7779,0.306348,0.002724,0.000334,0.358434
6300,0.7779,0.306348,0.002724,0.000334,0.350401
6400,0.7779,0.306348,0.002724,0.000334,0.262302
6500,0.7779,0.306348,0.002724,0.000334,0.210270
6600,0.7779,0.306348,0.002724,0.000334,0.203461
6700,0.7779,0.306348,0.002724,0.000334,0.203496
6800,0.7779,0.306348,0.002724,0.000334,0.197427
6900,0.7779,0.306348,0.002724,0.000334,0.197662
7000,0.7779,0.306348,0.002724,0.000334,0.194609
7100,0.7779,0.306348,0.002724,0.000334,0.190853
7200,0.7779,0.306348,0.002724,0.000334,0.189913
7300,0.7779,0.306348,0.002724,0.000334,0.189913
7400,0.7779,0.306348,0.002724,0.000334,0.189878
7500,0.7779,0.306348,0.002724,0.000334,0.191521
7600,0.7779,0.306348,0.002724,0.000334,0.188505
7700,0.7779,0.306348,0.002724,0.000334,0.187096
7800,0.7779,0.306348,0.002724,0.000334,0.186861
7900,0.7779,0.306348,0.002724,0.000334,0.186157
8000,0.7779,0.306348,0.002724,0.000334,0.188704
8100,0.7779,0.306348,0.002724,0.000334,0.190582
8200,0.7779,0.306348,0.002724,0.000334,0.211038
8300,0.7779,0.306348,0.002724,0.000334,0.254988
8400,0.7779,0.306348,0.002724,0.000334,0.280915
8500,0.7779,0.306348,0.002724,0.000334,0.280759
8600,0.7779,0.306348,0.002724,0.000334,0.283583
8700,0.7779,0.306348,0.002724,0.000334,0.274021
8800,0.7779,0.306348,0.002724,0.000334,0.278233
8900,0.7779,0.306348,0.002724,0.000334,0.280752
9000,0.7779,0.306348,0.002724,0.000334,0.271630
9100,0.7779,0.306348,0.002724,0.000334,0.283213
9200,0.7779,0.306348,0.002724,0.000334,0.264045
9300,0.7779,0.306348,0.002724,0.000334,0.248478
9400,0.7779,0.306348,0.002724,0.000334,0.241227
9500,0.7779,0.306348,0.002724,0.000334,0.225645
9600,0.7779,0.306348,0.002724,0.000334,0.223297
9700,0.7779,0.306348,0.002724,0.000334,0.201006
9800,0.7779,0.306348,0.002724,0.000334,0.202778
9900,0.7779,0.306348,0.002724,0.000334,0.192859
10000,0.7779,0.306348,0.002724,0.000334,0.189173
10100,0.7779,0.306348,0.002724,0.000334,0.187331
10200,0.7779,0.306348,0.002724,0.000334,0.186861
10300,0.7779,0.306348,0.002724,0.000334,0.189842
10400,0.7779,0.306348,0.002724,0.000334,0.185922
10500,0.7779,0.306348,0.002724,0.000334,0.189138
10600,0.7779,0.306348,0.002724,0.000334,0.189608
10700,0.7779,0.306348,0.002724,0.000334,0.192389
10800,0.7779,0.306348,0.002724,0.000334,0.191016
10900,0.7779,0.306348,0.002724,0.000334,0.193599
11000,0.7779,0.306348,0.002724,0.000334,0.192425
11100,0.7779,0.306348,0.002724,0.000334,0.188704
11200,0.7779,0.306348,0.002724,0.000334,0.192895
11300,0.7779,0.306348,0.002724,0.000334,0.189842
11400,0.7779,0.306348,0.002724,0.000334,0.188199
11500,0.7779,0.306348,0.002724,0.000334,0.187060
