Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,15.7031,5.502199,0.052647,0.006391,0.550220
200,15.7031,5.502199,0.052647,0.006391,0.550220
300,15.7031,5.502199,0.052647,0.006391,0.550220
400,15.7031,5.502199,0.052647,0.006391,0.550220
500,15.7031,5.502199,0.052647,0.006391,0.550220
600,15.7031,5.502199,0.052647,0.006391,0.550220
700,15.7031,5.502199,0.052647,0.006391,0.550220
800,15.7031,5.502199,0.052647,0.006391,0.550220
900,15.7031,5.502199,0.052647,0.006391,0.550220
1000,15.7031,5.502199,0.052647,0.006391,0.550220
1100,15.7031,5.502199,0.052647,0.006391,0.550220
1200,15.7031,5.502199,0.052647,0.006391,0.550220
1300,15.7031,5.502199,0.052647,0.006391,0.550220
1400,15.7031,5.502199,0.052647,0.006391,0.550220
1500,15.7031,5.502199,0.052647,0.006391,0.550220
1600,15.7031,5.502199,0.052647,0.006391,0.550220
1700,15.7031,5.502199,0.052647,0.006391,0.550220
1800,15.7031,5.502199,0.052647,0.006391,0.550220
1900,15.7031,5.502199,0.052647,0.006391,0.550220
2000,15.7031,5.502199,0.052647,0.006391,0.550220
2100,15.7031,5.502199,0.052647,0.006391,0.550220
2200,15.7031,5.502199,0.052647,0.006391,0.550220
2300,15.7031,5.502199,0.052647,0.006391,0.550220
2400,15.7031,5.502199,0.052647,0.006391,0.550220
2500,15.7031,5.502199,0.052647,0.006391,0.550220
2600,15.7031,5.502199,0.052647,0.006391,0.550220
2700,15.7031,5.502199,0.052647,0.006391,0.550220
2800,15.7031,5.502199,0.052647,0.006391,0.550220
2900,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
3100,15.7031,5.502199,0.052647,0.006391,0.550220
3200,15.7031,5.502199,0.052647,0.006391,0.550220
3300,15.7031,5.502199,0.052647,0.006391,0.550220
3400,15.7031,5.502199,0.052647,0.006391,0.550220
3500,15.7031,5.502199,0.052647,0.006391,0.550220
3600,15.7031,5.502199,0.052647,0.006391,0.550220
3700,15.7031,5.502199,0.052647,0.006391,0.550220
3800,15.7031,5.502199,0.052647,0.006391,0.550220
3900,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
4100,15.7031,5.502199,0.052647,0.006391,0.550220
4200,15.7031,5.502199,0.052647,0.006391,0.550220
4300,15.7031,5.502199,0.052647,0.006391,0.550220
4400,15.7031,5.502199,0.052647,0.006391,0.550220
4500,15.7031,5.502199,0.052647,0.006391,0.550220
4600,15.7031,5.502199,0.052647,0.006391,0.550220
4700,15.7031,5.502199,0.052647,0.006391,0.550220
4800,15.7031,5.502199,0.052647,0.006391,0.550220
4900,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
5100,15.7031,5.502199,0.052647,0.006391,0.550220
5200,15.7031,5.502199,0.052647,0.006391,1.011908
5300,15.7031,5.502199,0.052647,0.006391,1.158590
5400,15.7031,5.502199,0.052647,0.006391,0.551823
5500,15.7031,5.502199,0.052647,0.006391,6.060938
5600,15.7031,5.502199,0.052647,0.006391,21.244883
5700,15.7031,5.502199,0.052647,0.006391,15.445502
5800,15.7031,5.502199,0.052647,0.006391,6.642142
5900,15.7031,5.502199,0.052647,0.006391,7.828409
6000,15.7031,5.502199,0.052647,0.006391,22.047633
6100,15.7031,5.502199,0.052647,0.006391,22.355453
6200,15.7031,5.502199,0.052647,0.006391,14.779757
6300,15.7031,5.502199,0.052647,0.006391,12.980382
6400,15.7031,5.502199,0.052647,0.006391,8.341447
6500,15.7031,5.502199,0.052647,0.006391,2.337832
6600,15.7031,5.502199,0.052647,0.006391,6.454785
6700,15.7031,5.502199,0.052647,0.006391,12.252165
6800,15.7031,5.502199,0.052647,0.006391,18.211825
6900,15.7031,5.502199,0.052647,0.006391,16.970593
7000,15.7031,5.502199,0.052647,0.006391,17.372494
7100,15.7031,5.502199,0.052647,0.006391,17.273246
7200,15.7031,5.502199,0.052647,0.006391,18.559297
7300,15.7031,5.502199,0.052647,0.006391,18.718904
7400,15.7031,5.502199,0.052647,0.006391,17.797213
7500,15.7031,5.502199,0.052647,0.006391,18.785046
7600,15.7031,5.502199,0.052647,0.006391,19.783133
7700,15.7031,5.502199,0.052647,0.006391,17.784166
7800,15.7031,5.502199,0.052647,0.006391,20.215265
7900,15.7031,5.502199,0.052647,0.006391,17.216743
8000,15.7031,5.502199,0.052647,0.006391,10.146061
8100,15.7031,5.502199,0.052647,0.006391,5.067533
8200,15.7031,5.502199,0.052647,0.006391,3.130532
8300,15.7031,5.502199,0.052647,0.006391,2.568907
8400,15.7031,5.502199,0.052647,0.006391,2.600545
8500,15.7031,5.502199,0.052647,0.006391,3.709290
8600,15.7031,5.502199,0.052647,0.006391,4.179930
8700,15.7031,5.502199,0.052647,0.006391,5.045134
8800,15.7031,5.502199,0.052647,0.006391,3.943632
8900,15.7031,5.502199,0.052647,0.006391,2.519392
9000,15.7031,5.502199,0.052647,0.006391,3.649649
9100,15.7031,5.502199,0.052647,0.006391,4.302744
9200,15.7031,5.502199,0.052647,0.006391,3.748541
