cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,9,19,23,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,48,65,103,32,48
5600,0,113,38,15,53,113
5700,4,98,14,0,25,98
5800,0,0,0,0,0,0
5900,0,0,21,1,5,0
6000,0,2,21,0,5,2
6100,3,10,19,0,33,10
6200,9,9,11,0,19,9
6300,9,21,64,21,18,21
6400,0,0,80,32,15,0
6500,0,1,26,7,2,1
6600,8,2,47,30,11,2
6700,8,0,6,0,1,0
6800,3,0,4,0,0,0
6900,6,0,41,17,11,0
7000,0,0,16,18,3,0
7100,3,3,31,62,24,3
7200,1,0,4,0,1,0
7300,1,0,1,0,1,0
7400,28,0,2,0,3,0
7500,25,0,2,1,0,0
7600,7,0,0,6,0,0
7700,0,0,0,0,2,0
7800,19,0,15,29,25,0
7900,5,0,12,22,29,0
8000,21,7,14,35,35,7
8100,5,0,0,0,0,0
8200,33,0,0,2,0,0
8300,27,0,2,0,0,0
8400,33,0,1,1,0,0
8500,0,0,0,0,0,0
8600,1,0,2,0,0,0
8700,1,0,1,0,0,0
8800,1,0,0,0,0,0
8900,1,0,2,0,0,0
9000,0,0,1,0,0,0
9100,1,0,0,0,0,0
9200,0,0,1,0,2,0
9300,0,0,0,0,0,0
9400,0,0,1,0,0,0
9500,0,0,2,0,0,0
9600,0,0,0,0,0,0
9700,2,0,1,0,0,0
9800,2,0,1,0,0,0
9900,2,0,0,0,1,0
10000,4,0,0,0,0,0
10100,2,0,0,0,1,0
10200,24,0,10,17,15,0
10300,5,0,4,7,3,0
10400,12,0,1,0,2,0
10500,23,0,14,8,12,0
10600,29,0,0,1,0,0
10700,0,0,1,0,0,0
10800,12,0,0,0,0,0
10900,20,0,0,3,0,0
11000,0,0,1,0,0,0
11100,0,0,0,0,0,0
11200,1,0,0,0,0,0
11300,0,0,1,0,0,0
11400,0,0,0,0,0,0
11500,1,0,0,0,0,0
11600,0,0,0,0,1,0
11700,0,0,0,0,0,0
11800,0,0,0,0,1,0
11900,0,0,0,0,0,0
12000,0,0,0,0,0,0
12100,0,0,0,0,1,0
12200,0,0,0,0,0,0
12300,0,0,0,0,1,0
12400,0,0,0,0,0,0
12500,0,0,0,0,0,0
12600,40,0,8,4,12,0
12700,0,0,0,0,0,0
12800,0,0,0,0,0,0
12900,0,0,0,0,0,0
13000,30,0,0,2,0,0
13100,0,0,0,0,0,0
