cycle,row_hit,row_miss
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,34,4
5900,68,2
6000,64,0
6100,55,5
6200,39,2
6300,14,4
6400,33,3
6500,6,2
6600,4,1
6700,5,0
6800,8,1
6900,4,0
7000,4,0
7100,2,0
7200,2,1
7300,3,0
7400,3,2
7500,7,2
7600,1,0
7700,3,0
7800,2,0
7900,2,0
8000,0,0
8100,1,1
8200,1,7
8300,2,12
8400,10,13
8500,12,20
8600,10,15
8700,5,14
8800,10,12
8900,4,13
9000,6,12
9100,6,12
9200,8,7
9300,2,18
9400,2,7
9500,3,5
9600,1,6
9700,0,2
9800,0,4
9900,1,3
10000,0,2
10100,0,0
10200,0,1
10300,1,1
10400,0,2
10500,1,1
10600,1,1
10700,1,2
10800,0,4
10900,0,1
11000,0,4
11100,0,0
11200,0,2
11300,0,2
11400,0,0
11500,0,0
11600,0,0
11700,0,0
11800,2,4
11900,3,4
12000,3,2
12100,2,0
12200,3,1
12300,3,2
12400,2,3
12500,2,7
12600,1,12
12700,3,4
12800,2,6
12900,1,5
13000,0,3
13100,0,3
13200,0,4
13300,0,1
13400,0,1
13500,0,6
13600,1,2
13700,2,4
13800,1,9
13900,2,1
14000,0,2
14100,2,5
14200,1,1
14300,1,5
14400,0,0
14500,1,0
14600,0,1
14700,0,0
14800,0,0
14900,0,4
15000,0,2
15100,2,3
15200,0,4
15300,2,0
15400,1,2
15500,0,5
15600,0,2
15700,0,1
15800,0,0
15900,0,1
16000,0,0
16100,0,3
16200,1,3
16300,0,1
16400,0,1
16500,0,0
16600,0,2
16700,0,3
16800,2,2
16900,0,3
17000,1,4
17100,1,2
17200,1,4
17300,0,3
17400,0,1
17500,0,0
17600,2,2
17700,1,2
17800,0,2
17900,2,1
18000,2,1
18100,1,4
18200,0,2
18300,1,3
18400,0,3
18500,0,2
18600,2,1
18700,1,3
18800,0,7
18900,4,14
19000,0,2
19100,2,2
19200,0,1
19300,0,2
19400,1,5
19500,1,3
19600,2,2
19700,1,0
19800,0,2
19900,1,5
20000,3,6
20100,0,2
20200,1,4
20300,0,3
20400,0,5
20500,3,6
20600,2,4
20700,2,3
20800,0,3
20900,3,2
21000,0,2
21100,5,6
21200,0,3
21300,3,0
21400,0,2
21500,0,2
21600,1,2
21700,3,6
21800,2,3
21900,3,2
22000,4,7
22100,2,4
22200,3,1
22300,6,3
22400,2,4
22500,4,2
22600,2,8
22700,1,5
22800,0,4
22900,3,7
23000,0,3
23100,0,3
23200,3,5
23300,1,2
23400,0,2
23500,4,7
23600,4,6
23700,2,3
23800,11,4
23900,4,5
24000,3,3
24100,8,8
24200,5,3
24300,2,2
24400,4,5
24500,3,2
24600,3,8
24700,2,1
24800,6,3
24900,3,3
25000,5,1
25100,0,1
25200,2,3
25300,7,3
25400,6,7
25500,0,1
25600,2,3
25700,8,6
25800,1,4
25900,1,4
26000,4,2
26100,0,5
26200,4,1
26300,0,1
26400,2,1
26500,6,2
26600,5,2
26700,1,1
26800,2,6
26900,3,2
27000,3,7
27100,0,4
27200,2,5
27300,0,3
27400,4,2
27500,3,0
27600,1,0
27700,2,2
27800,1,3
27900,6,4
28000,2,6
28100,1,6
28200,0,1
28300,4,9
28400,0,1
28500,2,3
28600,0,4
28700,2,4
28800,1,2
28900,2,2
29000,1,4
29100,2,2
29200,1,5
29300,1,2
29400,0,2
29500,1,1
29600,1,2
29700,0,1
29800,2,4
29900,2,1
30000,2,4
30100,7,9
30200,2,2
30300,2,3
30400,1,0
30500,0,5
30600,2,2
30700,0,2
30800,0,2
30900,6,1
31000,5,4
31100,1,2
31200,1,2
31300,1,0
31400,0,4
31500,2,2
31600,3,4
31700,2,4
31800,3,2
31900,2,1
32000,3,2
32100,0,1
32200,1,1
32300,0,3
32400,2,8
32500,7,5
32600,1,2
32700,2,5
32800,5,2
32900,1,1
33000,0,2
33100,0,3
33200,8,5
33300,1,4
33400,0,2
33500,0,2
33600,0,5
33700,0,0
33800,2,2
33900,1,0
34000,0,2
34100,1,5
34200,0,2
34300,1,3
34400,1,2
34500,1,4
34600,0,2
34700,1,2
34800,1,5
34900,6,3
35000,0,0
35100,3,3
35200,2,2
35300,0,3
35400,0,2
35500,0,3
35600,2,2
35700,1,1
35800,1,1
35900,5,1
36000,2,2
36100,1,1
36200,0,3
36300,0,1
36400,6,2
36500,0,0
36600,1,1
36700,1,6
36800,0,2
36900,0,1
37000,0,2
37100,0,3
37200,0,3
37300,0,0
37400,2,1
37500,1,0
37600,0,0
37700,1,2
37800,0,1
37900,2,2
38000,1,1
38100,1,3
38200,0,0
38300,0,3
38400,1,1
38500,0,2
38600,4,0
38700,3,4
38800,3,3
38900,1,0
39000,1,3
39100,1,1
39200,1,0
39300,0,3
39400,0,0
39500,2,3
39600,1,1
39700,1,0
39800,0,0
39900,1,2
40000,1,3
40100,7,4
40200,1,0
40300,1,0
40400,4,1
40500,0,2
40600,0,2
40700,0,0
40800,0,1
40900,0,0
41000,2,1
