cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,36,0,0,0,0,0
5800,17,0,0,0,0,0
5900,0,0,15,0,11,0
6000,0,25,12,0,33,25
6100,9,27,4,0,25,27
6200,26,22,2,0,14,22
6300,19,6,1,0,8,6
6400,21,0,0,0,2,0
6500,16,0,0,0,2,0
6600,4,0,0,0,0,0
6700,21,0,3,0,0,0
6800,46,0,6,0,0,0
6900,53,0,11,0,1,0
7000,31,0,9,0,1,0
7100,30,0,5,0,0,0
7200,25,0,7,0,2,0
7300,32,1,10,0,2,1
7400,8,0,1,0,0,0
7500,3,0,0,0,0,0
7600,10,0,0,0,0,0
7700,9,0,0,0,0,0
7800,20,0,0,0,0,0
7900,17,0,0,0,0,0
8000,20,0,0,0,1,0
8100,29,0,1,0,0,0
8200,34,0,0,0,1,0
8300,8,0,0,0,0,0
8400,11,0,1,0,0,0
8500,6,0,1,0,0,0
8600,6,0,0,0,0,0
8700,5,0,2,0,0,0
8800,11,0,1,0,1,0
8900,5,0,6,0,0,0
9000,17,0,1,0,1,0
9100,11,0,1,0,1,0
9200,17,0,0,0,0,0
9300,8,0,2,0,2,0
9400,19,1,1,0,0,1
9500,6,0,0,0,0,0
9600,13,0,0,0,0,0
9700,6,0,0,0,0,0
9800,11,0,0,0,0,0
9900,3,0,0,0,0,0
10000,7,0,1,0,3,0
10100,15,0,4,0,3,0
10200,19,0,1,0,3,0
10300,6,1,2,0,2,1
10400,12,0,0,0,0,0
10500,16,0,2,0,1,0
10600,9,0,3,0,1,0
10700,12,0,1,0,1,0
10800,22,0,0,0,2,0
10900,20,0,0,0,0,0
11000,31,0,2,0,1,0
11100,19,0,0,0,1,0
11200,13,0,0,0,0,0
11300,12,0,1,0,0,0
11400,21,0,0,0,3,0
11500,23,0,1,0,0,0
11600,14,0,3,0,0,0
11700,18,0,1,0,0,0
11800,12,0,0,0,1,0
11900,23,0,3,0,1,0
12000,20,0,1,0,0,0
12100,15,0,1,0,0,0
12200,10,0,1,0,0,0
12300,34,0,1,0,0,0
12400,13,0,0,0,1,0
12500,22,0,0,0,1,0
12600,17,0,0,0,1,0
12700,27,0,0,0,0,0
12800,26,0,0,0,1,0
12900,6,0,1,0,1,0
13000,29,0,1,0,2,0
13100,34,0,0,0,3,0
13200,17,0,0,0,1,0
13300,24,0,0,0,1,0
13400,17,0,3,0,1,0
13500,11,0,2,0,0,0
13600,19,0,0,0,2,0
13700,25,0,0,0,2,0
13800,34,0,0,0,2,0
13900,18,0,0,0,0,0
14000,21,0,0,0,3,0
14100,20,0,0,0,0,0
14200,22,0,1,0,0,0
14300,18,0,0,0,0,0
14400,34,0,1,0,0,0
14500,20,0,0,0,1,0
14600,19,0,1,0,1,0
14700,26,0,0,0,0,0
14800,35,0,0,0,1,0
14900,36,0,4,0,3,0
15000,34,0,0,0,3,0
15100,16,0,0,0,1,0
15200,31,0,1,0,1,0
15300,27,0,0,0,2,0
15400,25,0,3,0,0,0
15500,28,0,0,0,2,0
15600,23,0,2,0,1,0
15700,21,0,1,0,0,0
15800,31,0,2,0,0,0
15900,14,0,1,0,1,0
16000,19,0,0,0,0,0
16100,14,0,0,0,3,0
16200,32,0,0,0,0,0
16300,17,0,0,0,1,0
16400,25,0,2,0,4,0
16500,43,0,2,0,1,0
16600,36,0,1,0,4,0
16700,20,0,0,0,1,0
16800,19,0,0,0,4,0
16900,18,0,1,0,3,0
17000,32,0,1,0,1,0
17100,44,0,0,0,2,0
17200,21,0,1,0,1,0
17300,32,0,1,0,1,0
17400,30,0,0,0,1,0
17500,19,0,0,0,1,0
17600,35,0,1,0,0,0
17700,27,0,0,0,1,0
17800,22,0,1,0,0,0
17900,25,0,1,0,0,0
18000,34,0,1,0,3,0
18100,29,0,0,0,1,0
18200,14,0,1,0,0,0
18300,31,0,0,0,2,0
18400,25,0,0,0,1,0
18500,15,0,0,0,2,0
18600,28,0,0,0,0,0
18700,19,0,1,0,0,0
18800,28,0,0,0,1,0
18900,27,1,0,0,1,1
19000,32,0,0,0,1,0
19100,22,0,0,0,0,0
