Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.6202,0.544831,0.005673,0.000697,0.327753
2000,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
6000,1.6202,0.544831,0.005673,0.000697,0.334969
7000,1.6202,0.544831,0.005673,0.000697,0.575062
8000,1.6202,0.544831,0.005673,0.000697,0.556085
9000,1.6202,0.544831,0.005673,0.000697,0.538343
10000,1.6202,0.544831,0.005673,0.000697,0.526902
11000,1.6202,0.544831,0.005673,0.000697,0.508579
12000,1.6202,0.544831,0.005673,0.000697,0.507265
13000,1.6202,0.544831,0.005673,0.000697,0.521659
14000,1.6202,0.544831,0.005673,0.000697,0.478580
15000,1.6202,0.544831,0.005673,0.000697,0.341476
16000,1.6202,0.544831,0.005673,0.000697,0.469149
17000,1.6202,0.544831,0.005673,0.000697,0.498347
18000,1.6202,0.544831,0.005673,0.000697,0.422412
19000,1.6202,0.544831,0.005673,0.000697,0.445655
20000,1.6202,0.544831,0.005673,0.000697,0.425706
21000,1.6202,0.544831,0.005673,0.000697,0.490675
22000,1.6202,0.544831,0.005673,0.000697,0.484928
23000,1.6202,0.544831,0.005673,0.000697,0.454996
24000,1.6202,0.544831,0.005673,0.000697,0.462760
25000,1.6202,0.544831,0.005673,0.000697,0.450809
26000,1.6202,0.544831,0.005673,0.000697,0.443306
27000,1.6202,0.544831,0.005673,0.000697,0.453913
28000,1.6202,0.544831,0.005673,0.000697,0.445481
29000,1.6202,0.544831,0.005673,0.000697,0.441529
30000,1.6202,0.544831,0.005673,0.000697,0.441918
31000,1.6202,0.544831,0.005673,0.000697,0.434853
32000,1.6202,0.544831,0.005673,0.000697,0.435176
33000,1.6202,0.544831,0.005673,0.000697,0.422425
34000,1.6202,0.544831,0.005673,0.000697,0.434070
35000,1.6202,0.544831,0.005673,0.000697,0.426668
36000,1.6202,0.544831,0.005673,0.000697,0.433028
37000,1.6202,0.544831,0.005673,0.000697,0.431570
38000,1.6202,0.544831,0.005673,0.000697,0.428223
39000,1.6202,0.544831,0.005673,0.000697,0.422369
40000,1.6202,0.544831,0.005673,0.000697,0.410105
41000,1.6202,0.544831,0.005673,0.000697,0.405420
42000,1.6202,0.544831,0.005673,0.000697,0.405662
43000,1.6202,0.544831,0.005673,0.000697,0.407191
44000,1.6202,0.544831,0.005673,0.000697,0.407684
45000,1.6202,0.544831,0.005673,0.000697,0.400023
46000,1.6202,0.544831,0.005673,0.000697,0.392296
47000,1.6202,0.544831,0.005673,0.000697,0.387227
48000,1.6202,0.544831,0.005673,0.000697,0.383685
49000,1.6202,0.544831,0.005673,0.000697,0.378453
50000,1.6202,0.544831,0.005673,0.000697,0.374309
51000,1.6202,0.544831,0.005673,0.000697,0.372205
52000,1.6202,0.544831,0.005673,0.000697,0.371874
53000,1.6202,0.544831,0.005673,0.000697,0.365834
54000,1.6202,0.544831,0.005673,0.000697,0.361225
55000,1.6202,0.544831,0.005673,0.000697,0.356160
56000,1.6202,0.544831,0.005673,0.000697,0.356132
57000,1.6202,0.544831,0.005673,0.000697,0.353245
58000,1.6202,0.544831,0.005673,0.000697,0.350401
59000,1.6202,0.544831,0.005673,0.000697,0.351078
60000,1.6202,0.544831,0.005673,0.000697,0.345447
61000,1.6202,0.544831,0.005673,0.000697,0.345086
62000,1.6202,0.544831,0.005673,0.000697,0.344756
63000,1.6202,0.544831,0.005673,0.000697,0.343540
64000,1.6202,0.544831,0.005673,0.000697,0.341261
65000,1.6202,0.544831,0.005673,0.000697,0.340473
66000,1.6202,0.544831,0.005673,0.000697,0.342329
67000,1.6202,0.544831,0.005673,0.000697,0.339349
68000,1.6202,0.544831,0.005673,0.000697,0.339169
69000,1.6202,0.544831,0.005673,0.000697,0.336996
