Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.087529
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.479157
7000,0.2191,0.065854,0.000377,0.000034,0.618068
8000,0.2191,0.065854,0.000377,0.000034,0.225789
9000,0.2191,0.065854,0.000377,0.000034,0.225329
10000,0.2191,0.065854,0.000377,0.000034,0.220872
11000,0.2191,0.065854,0.000377,0.000034,0.220024
12000,0.2191,0.065854,0.000377,0.000034,0.221457
13000,0.2191,0.065854,0.000377,0.000034,0.220999
14000,0.2191,0.065854,0.000377,0.000034,0.230962
15000,0.2191,0.065854,0.000377,0.000034,0.237524
16000,0.2191,0.065854,0.000377,0.000034,0.259701
17000,0.2191,0.065854,0.000377,0.000034,0.281369
18000,0.2191,0.065854,0.000377,0.000034,0.312426
19000,0.2191,0.065854,0.000377,0.000034,0.325173
20000,0.2191,0.065854,0.000377,0.000034,0.368032
21000,0.2191,0.065854,0.000377,0.000034,0.344617
22000,0.2191,0.065854,0.000377,0.000034,0.284102
23000,0.2191,0.065854,0.000377,0.000034,0.259561
24000,0.2191,0.065854,0.000377,0.000034,0.262775
25000,0.2191,0.065854,0.000377,0.000034,0.265609
26000,0.2191,0.065854,0.000377,0.000034,0.264803
27000,0.2191,0.065854,0.000377,0.000034,0.266468
28000,0.2191,0.065854,0.000377,0.000034,0.284601
29000,0.2191,0.065854,0.000377,0.000034,0.345961
30000,0.2191,0.065854,0.000377,0.000034,0.491318
31000,0.2191,0.065854,0.000377,0.000034,0.485482
32000,0.2191,0.065854,0.000377,0.000034,0.173350
33000,0.2191,0.065854,0.000377,0.000034,0.290699
34000,0.2191,0.065854,0.000377,0.000034,0.821788
35000,0.2191,0.065854,0.000377,0.000034,0.684324
36000,0.2191,0.065854,0.000377,0.000034,0.812831
37000,0.2191,0.065854,0.000377,0.000034,0.552962
38000,0.2191,0.065854,0.000377,0.000034,0.414632
39000,0.2191,0.065854,0.000377,0.000034,0.428878
40000,0.2191,0.065854,0.000377,0.000034,0.359875
41000,0.2191,0.065854,0.000377,0.000034,0.310448
42000,0.2191,0.065854,0.000377,0.000034,0.389986
43000,0.2191,0.065854,0.000377,0.000034,0.656519
44000,0.2191,0.065854,0.000377,0.000034,0.806027
45000,0.2191,0.065854,0.000377,0.000034,0.749702
46000,0.2191,0.065854,0.000377,0.000034,0.474481
47000,0.2191,0.065854,0.000377,0.000034,0.521127
48000,0.2191,0.065854,0.000377,0.000034,0.541996
49000,0.2191,0.065854,0.000377,0.000034,0.443896
50000,0.2191,0.065854,0.000377,0.000034,0.469395
51000,0.2191,0.065854,0.000377,0.000034,0.477155
52000,0.2191,0.065854,0.000377,0.000034,0.428734
53000,0.2191,0.065854,0.000377,0.000034,0.517479
54000,0.2191,0.065854,0.000377,0.000034,0.597190
55000,0.2191,0.065854,0.000377,0.000034,0.480325
56000,0.2191,0.065854,0.000377,0.000034,0.512250
57000,0.2191,0.065854,0.000377,0.000034,0.501019
