Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.910506
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.055313
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.055313
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.055313
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.055313
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.966755
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.826376
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806556
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.815020
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.788417
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.832540
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790651
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.822035
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.828766
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805154
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.820131
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.823567
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.831411
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796067
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.842410
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.830807
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.817343
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789215
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806847
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.815935
