Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.184479
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.183809
7000,0.7779,0.306348,0.002724,0.000334,0.183809
8000,0.7779,0.306348,0.002724,0.000334,0.183856
9000,0.7779,0.306348,0.002724,0.000334,0.183832
10000,0.7779,0.306348,0.002724,0.000334,0.183832
11000,0.7779,0.306348,0.002724,0.000334,0.183832
12000,0.7779,0.306348,0.002724,0.000334,0.183809
13000,0.7779,0.306348,0.002724,0.000334,0.183879
14000,0.7779,0.306348,0.002724,0.000334,0.183832
15000,0.7779,0.306348,0.002724,0.000334,0.183832
16000,0.7779,0.306348,0.002724,0.000334,0.183832
17000,0.7779,0.306348,0.002724,0.000334,0.183832
18000,0.7779,0.306348,0.002724,0.000334,0.183832
19000,0.7779,0.306348,0.002724,0.000334,0.184186
