Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.3415,0.039994,0.023482,0.002970,0.000089
2000,1.3415,0.039994,0.023482,0.002970,0.000000
3000,1.3415,0.039994,0.023482,0.002970,0.000000
4000,1.3415,0.039994,0.023482,0.002970,0.000000
5000,1.3415,0.039994,0.023482,0.002970,0.000000
6000,1.3415,0.039994,0.023482,0.002970,0.366438
7000,1.3415,0.039994,0.023482,0.002970,0.020718
8000,1.3415,0.039994,0.023482,0.002970,0.006340
9000,1.3415,0.039994,0.023482,0.002970,0.005506
10000,1.3415,0.039994,0.023482,0.002970,0.002287
11000,1.3415,0.039994,0.023482,0.002970,0.004164
12000,1.3415,0.039994,0.023482,0.002970,0.002278
13000,1.3415,0.039994,0.023482,0.002970,0.003769
14000,1.3415,0.039994,0.023482,0.002970,0.004781
15000,1.3415,0.039994,0.023482,0.002970,0.004763
16000,1.3415,0.039994,0.023482,0.002970,0.002198
17000,1.3415,0.039994,0.023482,0.002970,0.003076
18000,1.3415,0.039994,0.023482,0.002970,0.001783
19000,1.3415,0.039994,0.023482,0.002970,0.004383
20000,1.3415,0.039994,0.023482,0.002970,0.019370
21000,1.3415,0.039994,0.023482,0.002970,0.047246
22000,1.3415,0.039994,0.023482,0.002970,0.036360
23000,1.3415,0.039994,0.023482,0.002970,0.027143
24000,1.3415,0.039994,0.023482,0.002970,0.012700
25000,1.3415,0.039994,0.023482,0.002970,0.042233
26000,1.3415,0.039994,0.023482,0.002970,0.015774
27000,1.3415,0.039994,0.023482,0.002970,0.011946
28000,1.3415,0.039994,0.023482,0.002970,0.006758
29000,1.3415,0.039994,0.023482,0.002970,0.009516
30000,1.3415,0.039994,0.023482,0.002970,0.005773
31000,1.3415,0.039994,0.023482,0.002970,0.006093
32000,1.3415,0.039994,0.023482,0.002970,0.009186
33000,1.3415,0.039994,0.023482,0.002970,0.016334
34000,1.3415,0.039994,0.023482,0.002970,0.044797
35000,1.3415,0.039994,0.023482,0.002970,0.075165
36000,1.3415,0.039994,0.023482,0.002970,0.075176
37000,1.3415,0.039994,0.023482,0.002970,0.061540
38000,1.3415,0.039994,0.023482,0.002970,0.045790
39000,1.3415,0.039994,0.023482,0.002970,0.048974
40000,1.3415,0.039994,0.023482,0.002970,0.062385
41000,1.3415,0.039994,0.023482,0.002970,0.086629
42000,1.3415,0.039994,0.023482,0.002970,0.092714
43000,1.3415,0.039994,0.023482,0.002970,0.083349
