Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.698863
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,6.168459
7000,15.7031,5.502199,0.052647,0.006391,13.760069
8000,15.7031,5.502199,0.052647,0.006391,9.911245
9000,15.7031,5.502199,0.052647,0.006391,9.799072
10000,15.7031,5.502199,0.052647,0.006391,9.776272
11000,15.7031,5.502199,0.052647,0.006391,9.574291
12000,15.7031,5.502199,0.052647,0.006391,9.730493
13000,15.7031,5.502199,0.052647,0.006391,9.488813
14000,15.7031,5.502199,0.052647,0.006391,9.438978
15000,15.7031,5.502199,0.052647,0.006391,9.460615
16000,15.7031,5.502199,0.052647,0.006391,9.448760
17000,15.7031,5.502199,0.052647,0.006391,9.429057
18000,15.7031,5.502199,0.052647,0.006391,9.454631
19000,15.7031,5.502199,0.052647,0.006391,9.461583
20000,15.7031,5.502199,0.052647,0.006391,9.701554
21000,15.7031,5.502199,0.052647,0.006391,10.120496
22000,15.7031,5.502199,0.052647,0.006391,10.100898
23000,15.7031,5.502199,0.052647,0.006391,9.636144
24000,15.7031,5.502199,0.052647,0.006391,9.313110
25000,15.7031,5.502199,0.052647,0.006391,9.453192
26000,15.7031,5.502199,0.052647,0.006391,9.498686
27000,15.7031,5.502199,0.052647,0.006391,9.671217
28000,15.7031,5.502199,0.052647,0.006391,9.665830
29000,15.7031,5.502199,0.052647,0.006391,9.774675
30000,15.7031,5.502199,0.052647,0.006391,10.344456
31000,15.7031,5.502199,0.052647,0.006391,11.210282
32000,15.7031,5.502199,0.052647,0.006391,11.622000
33000,15.7031,5.502199,0.052647,0.006391,10.604313
34000,15.7031,5.502199,0.052647,0.006391,10.798411
35000,15.7031,5.502199,0.052647,0.006391,10.395788
36000,15.7031,5.502199,0.052647,0.006391,9.932676
37000,15.7031,5.502199,0.052647,0.006391,9.820869
38000,15.7031,5.502199,0.052647,0.006391,9.766941
39000,15.7031,5.502199,0.052647,0.006391,10.066328
40000,15.7031,5.502199,0.052647,0.006391,9.893883
41000,15.7031,5.502199,0.052647,0.006391,9.828755
42000,15.7031,5.502199,0.052647,0.006391,9.861417
43000,15.7031,5.502199,0.052647,0.006391,10.028018
44000,15.7031,5.502199,0.052647,0.006391,9.844810
45000,15.7031,5.502199,0.052647,0.006391,10.008224
46000,15.7031,5.502199,0.052647,0.006391,9.880283
47000,15.7031,5.502199,0.052647,0.006391,10.041255
48000,15.7031,5.502199,0.052647,0.006391,10.033984
49000,15.7031,5.502199,0.052647,0.006391,10.060305
50000,15.7031,5.502199,0.052647,0.006391,10.008740
51000,15.7031,5.502199,0.052647,0.006391,10.078144
52000,15.7031,5.502199,0.052647,0.006391,9.937866
53000,15.7031,5.502199,0.052647,0.006391,9.938405
54000,15.7031,5.502199,0.052647,0.006391,10.017145
55000,15.7031,5.502199,0.052647,0.006391,9.981763
56000,15.7031,5.502199,0.052647,0.006391,9.892929
57000,15.7031,5.502199,0.052647,0.006391,9.868213
58000,15.7031,5.502199,0.052647,0.006391,9.866680
59000,15.7031,5.502199,0.052647,0.006391,9.847019
60000,15.7031,5.502199,0.052647,0.006391,9.767040
61000,15.7031,5.502199,0.052647,0.006391,9.737302
62000,15.7031,5.502199,0.052647,0.006391,9.795502
63000,15.7031,5.502199,0.052647,0.006391,9.861317
64000,15.7031,5.502199,0.052647,0.006391,9.982522
65000,15.7031,5.502199,0.052647,0.006391,9.858515
66000,15.7031,5.502199,0.052647,0.006391,9.767026
67000,15.7031,5.502199,0.052647,0.006391,9.805339
68000,15.7031,5.502199,0.052647,0.006391,9.703554
69000,15.7031,5.502199,0.052647,0.006391,9.746277
70000,15.7031,5.502199,0.052647,0.006391,9.640595
71000,15.7031,5.502199,0.052647,0.006391,9.745221
72000,15.7031,5.502199,0.052647,0.006391,9.645345
73000,15.7031,5.502199,0.052647,0.006391,9.646084
