Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.3415,0.039994,0.023482,0.002970,0.260564
2000,1.3415,0.039994,0.023482,0.002970,0.142290
3000,1.3415,0.039994,0.023482,0.002970,0.142290
4000,1.3415,0.039994,0.023482,0.002970,0.142290
5000,1.3415,0.039994,0.023482,0.002970,0.142290
6000,1.3415,0.039994,0.023482,0.002970,0.262423
7000,1.3415,0.039994,0.023482,0.002970,0.333119
8000,1.3415,0.039994,0.023482,0.002970,0.363479
9000,1.3415,0.039994,0.023482,0.002970,0.380645
10000,1.3415,0.039994,0.023482,0.002970,0.391242
11000,1.3415,0.039994,0.023482,0.002970,0.381346
12000,1.3415,0.039994,0.023482,0.002970,0.367585
13000,1.3415,0.039994,0.023482,0.002970,0.365185
14000,1.3415,0.039994,0.023482,0.002970,0.372914
15000,1.3415,0.039994,0.023482,0.002970,0.369018
16000,1.3415,0.039994,0.023482,0.002970,0.376221
17000,1.3415,0.039994,0.023482,0.002970,0.389369
18000,1.3415,0.039994,0.023482,0.002970,0.389537
19000,1.3415,0.039994,0.023482,0.002970,0.385790
20000,1.3415,0.039994,0.023482,0.002970,0.371973
21000,1.3415,0.039994,0.023482,0.002970,0.376230
22000,1.3415,0.039994,0.023482,0.002970,0.358989
23000,1.3415,0.039994,0.023482,0.002970,0.350804
24000,1.3415,0.039994,0.023482,0.002970,0.366323
25000,1.3415,0.039994,0.023482,0.002970,0.381997
26000,1.3415,0.039994,0.023482,0.002970,0.383405
27000,1.3415,0.039994,0.023482,0.002970,0.369555
28000,1.3415,0.039994,0.023482,0.002970,0.391691
29000,1.3415,0.039994,0.023482,0.002970,0.378827
30000,1.3415,0.039994,0.023482,0.002970,0.372161
31000,1.3415,0.039994,0.023482,0.002970,0.373989
32000,1.3415,0.039994,0.023482,0.002970,0.383113
33000,1.3415,0.039994,0.023482,0.002970,0.392253
34000,1.3415,0.039994,0.023482,0.002970,0.388965
35000,1.3415,0.039994,0.023482,0.002970,0.374229
36000,1.3415,0.039994,0.023482,0.002970,0.372811
37000,1.3415,0.039994,0.023482,0.002970,0.366082
38000,1.3415,0.039994,0.023482,0.002970,0.367837
39000,1.3415,0.039994,0.023482,0.002970,0.382874
40000,1.3415,0.039994,0.023482,0.002970,0.384766
41000,1.3415,0.039994,0.023482,0.002970,0.390147
42000,1.3415,0.039994,0.023482,0.002970,0.376958
43000,1.3415,0.039994,0.023482,0.002970,0.380070
44000,1.3415,0.039994,0.023482,0.002970,0.371546
45000,1.3415,0.039994,0.023482,0.002970,0.375430
46000,1.3415,0.039994,0.023482,0.002970,0.363836
47000,1.3415,0.039994,0.023482,0.002970,0.377433
48000,1.3415,0.039994,0.023482,0.002970,0.393350
49000,1.3415,0.039994,0.023482,0.002970,0.391845
50000,1.3415,0.039994,0.023482,0.002970,0.371591
51000,1.3415,0.039994,0.023482,0.002970,0.372584
52000,1.3415,0.039994,0.023482,0.002970,0.384049
53000,1.3415,0.039994,0.023482,0.002970,0.370775
54000,1.3415,0.039994,0.023482,0.002970,0.375788
55000,1.3415,0.039994,0.023482,0.002970,0.389829
56000,1.3415,0.039994,0.023482,0.002970,0.384574
57000,1.3415,0.039994,0.023482,0.002970,0.374596
58000,1.3415,0.039994,0.023482,0.002970,0.372911
59000,1.3415,0.039994,0.023482,0.002970,0.377056
60000,1.3415,0.039994,0.023482,0.002970,0.378439
61000,1.3415,0.039994,0.023482,0.002970,0.377875
62000,1.3415,0.039994,0.023482,0.002970,0.378326
63000,1.3415,0.039994,0.023482,0.002970,0.392275
64000,1.3415,0.039994,0.023482,0.002970,0.381214
65000,1.3415,0.039994,0.023482,0.002970,0.358945
66000,1.3415,0.039994,0.023482,0.002970,0.383246
67000,1.3415,0.039994,0.023482,0.002970,0.372609
68000,1.3415,0.039994,0.023482,0.002970,0.376745
69000,1.3415,0.039994,0.023482,0.002970,0.375622
70000,1.3415,0.039994,0.023482,0.002970,0.375358
71000,1.3415,0.039994,0.023482,0.002970,0.393884
72000,1.3415,0.039994,0.023482,0.002970,0.372392
73000,1.3415,0.039994,0.023482,0.002970,0.355256
74000,1.3415,0.039994,0.023482,0.002970,0.370631
75000,1.3415,0.039994,0.023482,0.002970,0.370586
76000,1.3415,0.039994,0.023482,0.002970,0.381424
77000,1.3415,0.039994,0.023482,0.002970,0.385993
78000,1.3415,0.039994,0.023482,0.002970,0.389439
79000,1.3415,0.039994,0.023482,0.002970,0.383978
80000,1.3415,0.039994,0.023482,0.002970,0.358538
81000,1.3415,0.039994,0.023482,0.002970,0.369303
82000,1.3415,0.039994,0.023482,0.002970,0.376044
83000,1.3415,0.039994,0.023482,0.002970,0.381611
84000,1.3415,0.039994,0.023482,0.002970,0.383387
85000,1.3415,0.039994,0.023482,0.002970,0.386339
86000,1.3415,0.039994,0.023482,0.002970,0.369427
87000,1.3415,0.039994,0.023482,0.002970,0.380246
88000,1.3415,0.039994,0.023482,0.002970,0.363289
89000,1.3415,0.039994,0.023482,0.002970,0.378120
90000,1.3415,0.039994,0.023482,0.002970,0.376489
91000,1.3415,0.039994,0.023482,0.002970,0.373281
92000,1.3415,0.039994,0.023482,0.002970,0.378187
93000,1.3415,0.039994,0.023482,0.002970,0.387418
94000,1.3415,0.039994,0.023482,0.002970,0.382656
95000,1.3415,0.039994,0.023482,0.002970,0.366233
96000,1.3415,0.039994,0.023482,0.002970,0.364679
97000,1.3415,0.039994,0.023482,0.002970,0.380901
98000,1.3415,0.039994,0.023482,0.002970,0.381620
99000,1.3415,0.039994,0.023482,0.002970,0.379643
100000,1.3415,0.039994,0.023482,0.002970,0.386638
101000,1.3415,0.039994,0.023482,0.002970,0.391273
102000,1.3415,0.039994,0.023482,0.002970,0.380488
103000,1.3415,0.039994,0.023482,0.002970,0.348655
104000,1.3415,0.039994,0.023482,0.002970,0.380088
105000,1.3415,0.039994,0.023482,0.002970,0.380344
106000,1.3415,0.039994,0.023482,0.002970,0.377436
107000,1.3415,0.039994,0.023482,0.002970,0.375126
108000,1.3415,0.039994,0.023482,0.002970,0.389336
109000,1.3415,0.039994,0.023482,0.002970,0.382768
110000,1.3415,0.039994,0.023482,0.002970,0.371686
111000,1.3415,0.039994,0.023482,0.002970,0.370634
112000,1.3415,0.039994,0.023482,0.002970,0.382004
113000,1.3415,0.039994,0.023482,0.002970,0.379675
114000,1.3415,0.039994,0.023482,0.002970,0.370048
115000,1.3415,0.039994,0.023482,0.002970,0.378432
116000,1.3415,0.039994,0.023482,0.002970,0.377395
117000,1.3415,0.039994,0.023482,0.002970,0.373072
118000,1.3415,0.039994,0.023482,0.002970,0.378865
119000,1.3415,0.039994,0.023482,0.002970,0.381704
120000,1.3415,0.039994,0.023482,0.002970,0.388145
121000,1.3415,0.039994,0.023482,0.002970,0.377451
122000,1.3415,0.039994,0.023482,0.002970,0.372335
123000,1.3415,0.039994,0.023482,0.002970,0.377242
124000,1.3415,0.039994,0.023482,0.002970,0.388235
125000,1.3415,0.039994,0.023482,0.002970,0.380432
126000,1.3415,0.039994,0.023482,0.002970,0.378076
127000,1.3415,0.039994,0.023482,0.002970,0.372899
128000,1.3415,0.039994,0.023482,0.002970,0.377214
129000,1.3415,0.039994,0.023482,0.002970,0.370178
130000,1.3415,0.039994,0.023482,0.002970,0.376278
131000,1.3415,0.039994,0.023482,0.002970,0.375992
132000,1.3415,0.039994,0.023482,0.002970,0.389278
133000,1.3415,0.039994,0.023482,0.002970,0.372516
134000,1.3415,0.039994,0.023482,0.002970,0.384669
135000,1.3415,0.039994,0.023482,0.002970,0.382452
136000,1.3415,0.039994,0.023482,0.002970,0.376631
137000,1.3415,0.039994,0.023482,0.002970,0.351475
138000,1.3415,0.039994,0.023482,0.002970,0.380016
139000,1.3415,0.039994,0.023482,0.002970,0.382434
140000,1.3415,0.039994,0.023482,0.002970,0.378013
141000,1.3415,0.039994,0.023482,0.002970,0.369579
142000,1.3415,0.039994,0.023482,0.002970,0.381239
143000,1.3415,0.039994,0.023482,0.002970,0.389718
144000,1.3415,0.039994,0.023482,0.002970,0.378635
145000,1.3415,0.039994,0.023482,0.002970,0.366399
146000,1.3415,0.039994,0.023482,0.002970,0.212689
