Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,9.037004
2000,23.8212,1.028147,0.538949,0.086720,8.910620
3000,23.8212,1.028147,0.538949,0.086720,8.910620
4000,23.8212,1.028147,0.538949,0.086720,8.910620
5000,23.8212,1.028147,0.538949,0.086720,8.910620
6000,23.8212,1.028147,0.538949,0.086720,15.337147
7000,23.8212,1.028147,0.538949,0.086720,17.250173
8000,23.8212,1.028147,0.538949,0.086720,18.418829
9000,23.8212,1.028147,0.538949,0.086720,19.578298
10000,23.8212,1.028147,0.538949,0.086720,20.301316
11000,23.8212,1.028147,0.538949,0.086720,19.880016
12000,23.8212,1.028147,0.538949,0.086720,19.179207
13000,23.8212,1.028147,0.538949,0.086720,18.942504
14000,23.8212,1.028147,0.538949,0.086720,19.225418
15000,23.8212,1.028147,0.538949,0.086720,18.996276
16000,23.8212,1.028147,0.538949,0.086720,19.304833
17000,23.8212,1.028147,0.538949,0.086720,20.119943
18000,23.8212,1.028147,0.538949,0.086720,20.223742
19000,23.8212,1.028147,0.538949,0.086720,19.999878
20000,23.8212,1.028147,0.538949,0.086720,19.129914
21000,23.8212,1.028147,0.538949,0.086720,19.486023
22000,23.8212,1.028147,0.538949,0.086720,18.782486
23000,23.8212,1.028147,0.538949,0.086720,17.863449
24000,23.8212,1.028147,0.538949,0.086720,18.877718
25000,23.8212,1.028147,0.538949,0.086720,19.806303
26000,23.8212,1.028147,0.538949,0.086720,19.809808
27000,23.8212,1.028147,0.538949,0.086720,19.098389
28000,23.8212,1.028147,0.538949,0.086720,20.191959
29000,23.8212,1.028147,0.538949,0.086720,19.722308
30000,23.8212,1.028147,0.538949,0.086720,19.070654
31000,23.8212,1.028147,0.538949,0.086720,19.278209
32000,23.8212,1.028147,0.538949,0.086720,19.775122
33000,23.8212,1.028147,0.538949,0.086720,20.312168
34000,23.8212,1.028147,0.538949,0.086720,20.216034
35000,23.8212,1.028147,0.538949,0.086720,19.246859
36000,23.8212,1.028147,0.538949,0.086720,19.435364
37000,23.8212,1.028147,0.538949,0.086720,18.907088
38000,23.8212,1.028147,0.538949,0.086720,18.701568
39000,23.8212,1.028147,0.538949,0.086720,19.821903
40000,23.8212,1.028147,0.538949,0.086720,19.761146
41000,23.8212,1.028147,0.538949,0.086720,20.136114
42000,23.8212,1.028147,0.538949,0.086720,19.681441
43000,23.8212,1.028147,0.538949,0.086720,19.695429
44000,23.8212,1.028147,0.538949,0.086720,19.204874
45000,23.8212,1.028147,0.538949,0.086720,19.317042
46000,23.8212,1.028147,0.538949,0.086720,18.651084
47000,23.8212,1.028147,0.538949,0.086720,19.451654
48000,23.8212,1.028147,0.538949,0.086720,20.289323
49000,23.8212,1.028147,0.538949,0.086720,20.329363
50000,23.8212,1.028147,0.538949,0.086720,19.240690
51000,23.8212,1.028147,0.538949,0.086720,19.227860
52000,23.8212,1.028147,0.538949,0.086720,19.803923
53000,23.8212,1.028147,0.538949,0.086720,18.992995
54000,23.8212,1.028147,0.538949,0.086720,19.510892
55000,23.8212,1.028147,0.538949,0.086720,20.036651
56000,23.8212,1.028147,0.538949,0.086720,19.910383
57000,23.8212,1.028147,0.538949,0.086720,19.299252
58000,23.8212,1.028147,0.538949,0.086720,19.212631
59000,23.8212,1.028147,0.538949,0.086720,19.507481
60000,23.8212,1.028147,0.538949,0.086720,19.434990
61000,23.8212,1.028147,0.538949,0.086720,19.281312
62000,23.8212,1.028147,0.538949,0.086720,19.481119
63000,23.8212,1.028147,0.538949,0.086720,20.266894
64000,23.8212,1.028147,0.538949,0.086720,19.966309
65000,23.8212,1.028147,0.538949,0.086720,18.520496
66000,23.8212,1.028147,0.538949,0.086720,19.745821
67000,23.8212,1.028147,0.538949,0.086720,19.127778
68000,23.8212,1.028147,0.538949,0.086720,19.383020
69000,23.8212,1.028147,0.538949,0.086720,19.319261
70000,23.8212,1.028147,0.538949,0.086720,19.398550
71000,23.8212,1.028147,0.538949,0.086720,20.416736
72000,23.8212,1.028147,0.538949,0.086720,19.360936
73000,23.8212,1.028147,0.538949,0.086720,18.137200
74000,23.8212,1.028147,0.538949,0.086720,19.117517
75000,23.8212,1.028147,0.538949,0.086720,18.958497
76000,23.8212,1.028147,0.538949,0.086720,19.597492
77000,23.8212,1.028147,0.538949,0.086720,19.913942
78000,23.8212,1.028147,0.538949,0.086720,20.212217
79000,23.8212,1.028147,0.538949,0.086720,19.931355
80000,23.8212,1.028147,0.538949,0.086720,18.447941
81000,23.8212,1.028147,0.538949,0.086720,19.087726
82000,23.8212,1.028147,0.538949,0.086720,19.185923
83000,23.8212,1.028147,0.538949,0.086720,19.557594
84000,23.8212,1.028147,0.538949,0.086720,19.822504
85000,23.8212,1.028147,0.538949,0.086720,19.879859
86000,23.8212,1.028147,0.538949,0.086720,19.240789
87000,23.8212,1.028147,0.538949,0.086720,19.576654
88000,23.8212,1.028147,0.538949,0.086720,18.706281
89000,23.8212,1.028147,0.538949,0.086720,19.388008
90000,23.8212,1.028147,0.538949,0.086720,19.392437
91000,23.8212,1.028147,0.538949,0.086720,19.007663
92000,23.8212,1.028147,0.538949,0.086720,19.581124
93000,23.8212,1.028147,0.538949,0.086720,20.105188
94000,23.8212,1.028147,0.538949,0.086720,19.732797
95000,23.8212,1.028147,0.538949,0.086720,18.897686
96000,23.8212,1.028147,0.538949,0.086720,18.912707
97000,23.8212,1.028147,0.538949,0.086720,19.386908
98000,23.8212,1.028147,0.538949,0.086720,19.630943
99000,23.8212,1.028147,0.538949,0.086720,19.429110
100000,23.8212,1.028147,0.538949,0.086720,20.090321
101000,23.8212,1.028147,0.538949,0.086720,20.065917
102000,23.8212,1.028147,0.538949,0.086720,19.827137
