Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.6202,0.544831,0.005673,0.000697,0.326899
2000,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
6000,1.6202,0.544831,0.005673,0.000697,0.371998
7000,1.6202,0.544831,0.005673,0.000697,0.372289
8000,1.6202,0.544831,0.005673,0.000697,0.416861
9000,1.6202,0.544831,0.005673,0.000697,0.417096
10000,1.6202,0.544831,0.005673,0.000697,0.413526
11000,1.6202,0.544831,0.005673,0.000697,0.375944
12000,1.6202,0.544831,0.005673,0.000697,0.399527
13000,1.6202,0.544831,0.005673,0.000697,0.389191
14000,1.6202,0.544831,0.005673,0.000697,0.417096
15000,1.6202,0.544831,0.005673,0.000697,0.417096
16000,1.6202,0.544831,0.005673,0.000697,0.389145
17000,1.6202,0.544831,0.005673,0.000697,0.397084
18000,1.6202,0.544831,0.005673,0.000697,0.382849
19000,1.6202,0.544831,0.005673,0.000697,0.409110
20000,1.6202,0.544831,0.005673,0.000697,0.417096
21000,1.6202,0.544831,0.005673,0.000697,0.408264
22000,1.6202,0.544831,0.005673,0.000697,0.385621
23000,1.6202,0.544831,0.005673,0.000697,0.394030
24000,1.6202,0.544831,0.005673,0.000697,0.392292
25000,1.6202,0.544831,0.005673,0.000697,0.415076
26000,1.6202,0.544831,0.005673,0.000697,0.416016
27000,1.6202,0.544831,0.005673,0.000697,0.393983
28000,1.6202,0.544831,0.005673,0.000697,0.392198
29000,1.6202,0.544831,0.005673,0.000697,0.390272
30000,1.6202,0.544831,0.005673,0.000697,0.402815
31000,1.6202,0.544831,0.005673,0.000697,0.417096
32000,1.6202,0.544831,0.005673,0.000697,0.410097
33000,1.6202,0.544831,0.005673,0.000697,0.391024
34000,1.6202,0.544831,0.005673,0.000697,0.390084
35000,1.6202,0.544831,0.005673,0.000697,0.393373
36000,1.6202,0.544831,0.005673,0.000697,0.410707
37000,1.6202,0.544831,0.005673,0.000697,0.415969
38000,1.6202,0.544831,0.005673,0.000697,0.398211
39000,1.6202,0.544831,0.005673,0.000697,0.394500
40000,1.6202,0.544831,0.005673,0.000697,0.385856
41000,1.6202,0.544831,0.005673,0.000697,0.402298
42000,1.6202,0.544831,0.005673,0.000697,0.415546
