Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.934086
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.627177
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.430654
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.264390
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.830333
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.914436
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.176546
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.996414
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.062199
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.749589
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.924545
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.975574
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.713037
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.182727
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.704288
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.868035
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.170428
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.327428
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.956415
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.057160
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.121808
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.289705
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.507188
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.376621
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.250567
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.397270
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.093876
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.293734
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.194196
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.283234
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.356300
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.374550
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.333854
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.626405
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806381
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.777898
41000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801389
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784597
43000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.780161
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.779153
45000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807443
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.832787
