Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,0.012576
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,1.028372
7000,0.0324,0.013523,0.002678,0.000431,1.378606
8000,0.0324,0.013523,0.002678,0.000431,0.686952
9000,0.0324,0.013523,0.002678,0.000431,0.696825
10000,0.0324,0.013523,0.002678,0.000431,0.681546
11000,0.0324,0.013523,0.002678,0.000431,0.652634
12000,0.0324,0.013523,0.002678,0.000431,0.630891
13000,0.0324,0.013523,0.002678,0.000431,0.633359
14000,0.0324,0.013523,0.002678,0.000431,0.641586
15000,0.0324,0.013523,0.002678,0.000431,0.653692
16000,0.0324,0.013523,0.002678,0.000431,0.577886
17000,0.0324,0.013523,0.002678,0.000431,0.487742
18000,0.0324,0.013523,0.002678,0.000431,0.429330
19000,0.0324,0.013523,0.002678,0.000431,0.425099
20000,0.0324,0.013523,0.002678,0.000431,0.465882
21000,0.0324,0.013523,0.002678,0.000431,0.510307
22000,0.0324,0.013523,0.002678,0.000431,0.564488
23000,0.0324,0.013523,0.002678,0.000431,0.619138
24000,0.0324,0.013523,0.002678,0.000431,0.641351
25000,0.0324,0.013523,0.002678,0.000431,0.719390
26000,0.0324,0.013523,0.002678,0.000431,0.790730
27000,0.0324,0.013523,0.002678,0.000431,0.828104
28000,0.0324,0.013523,0.002678,0.000431,0.830572
29000,0.0324,0.013523,0.002678,0.000431,0.926357
30000,0.0324,0.013523,0.002678,0.000431,0.982771
31000,0.0324,0.013523,0.002678,0.000431,0.886750
32000,0.0324,0.013523,0.002678,0.000431,0.912606
33000,0.0324,0.013523,0.002678,0.000431,0.954211
34000,0.0324,0.013523,0.002678,0.000431,0.997932
35000,0.0324,0.013523,0.002678,0.000431,1.015914
36000,0.0324,0.013523,0.002678,0.000431,0.989587
37000,0.0324,0.013523,0.002678,0.000431,0.996757
38000,0.0324,0.013523,0.002678,0.000431,1.058576
39000,0.0324,0.013523,0.002678,0.000431,1.179865
40000,0.0324,0.013523,0.002678,0.000431,1.162471
41000,0.0324,0.013523,0.002678,0.000431,1.230755
42000,0.0324,0.013523,0.002678,0.000431,1.240627
43000,0.0324,0.013523,0.002678,0.000431,1.230755
44000,0.0324,0.013523,0.002678,0.000431,1.222528
