Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,0.7779,0.306348,0.002724,0.000334,0.202932
7001000,0.7779,0.306348,0.002724,0.000334,0.204446
7002000,0.7779,0.306348,0.002724,0.000334,0.204348
7003000,0.7779,0.306348,0.002724,0.000334,0.202787
7004000,0.7779,0.306348,0.002724,0.000334,0.204684
7005000,0.7779,0.306348,0.002724,0.000334,0.203993
7006000,0.7779,0.306348,0.002724,0.000334,0.203039
7007000,0.7779,0.306348,0.002724,0.000334,0.202361
7008000,0.7779,0.306348,0.002724,0.000334,0.202311
7009000,0.7779,0.306348,0.002724,0.000334,0.202477
7010000,0.7779,0.306348,0.002724,0.000334,0.202887
7011000,0.7779,0.306348,0.002724,0.000334,0.202021
7012000,0.7779,0.306348,0.002724,0.000334,0.204400
7013000,0.7779,0.306348,0.002724,0.000334,0.202766
7014000,0.7779,0.306348,0.002724,0.000334,0.204648
7015000,0.7779,0.306348,0.002724,0.000334,0.200428
7016000,0.7779,0.306348,0.002724,0.000334,0.202002
7017000,0.7779,0.306348,0.002724,0.000334,0.200937
7018000,0.7779,0.306348,0.002724,0.000334,0.200420
7019000,0.7779,0.306348,0.002724,0.000334,0.199856
7020000,0.7779,0.306348,0.002724,0.000334,0.200615
7021000,0.7779,0.306348,0.002724,0.000334,0.200267
7022000,0.7779,0.306348,0.002724,0.000334,0.201040
7023000,0.7779,0.306348,0.002724,0.000334,0.199620
7024000,0.7779,0.306348,0.002724,0.000334,0.200690
7025000,0.7779,0.306348,0.002724,0.000334,0.199781
7026000,0.7779,0.306348,0.002724,0.000334,0.198814
7027000,0.7779,0.306348,0.002724,0.000334,0.199428
7028000,0.7779,0.306348,0.002724,0.000334,0.200138
7029000,0.7779,0.306348,0.002724,0.000334,0.199687
7030000,0.7779,0.306348,0.002724,0.000334,0.200230
7031000,0.7779,0.306348,0.002724,0.000334,0.199748
7032000,0.7779,0.306348,0.002724,0.000334,0.199319
7033000,0.7779,0.306348,0.002724,0.000334,0.197255
7034000,0.7779,0.306348,0.002724,0.000334,0.197777
7035000,0.7779,0.306348,0.002724,0.000334,0.199537
7036000,0.7779,0.306348,0.002724,0.000334,0.199849
7037000,0.7779,0.306348,0.002724,0.000334,0.200272
7038000,0.7779,0.306348,0.002724,0.000334,0.199476
7039000,0.7779,0.306348,0.002724,0.000334,0.198951
7040000,0.7779,0.306348,0.002724,0.000334,0.200925
7041000,0.7779,0.306348,0.002724,0.000334,0.201545
