Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,23.8212,1.028147,0.538949,0.086720,3.934209
7001000,23.8212,1.028147,0.538949,0.086720,4.025164
7002000,23.8212,1.028147,0.538949,0.086720,3.491683
7003000,23.8212,1.028147,0.538949,0.086720,4.438343
7004000,23.8212,1.028147,0.538949,0.086720,3.999134
7005000,23.8212,1.028147,0.538949,0.086720,3.733910
7006000,23.8212,1.028147,0.538949,0.086720,3.772373
7007000,23.8212,1.028147,0.538949,0.086720,3.539302
7008000,23.8212,1.028147,0.538949,0.086720,4.164198
7009000,23.8212,1.028147,0.538949,0.086720,4.007595
7010000,23.8212,1.028147,0.538949,0.086720,4.407851
7011000,23.8212,1.028147,0.538949,0.086720,4.678638
7012000,23.8212,1.028147,0.538949,0.086720,5.406743
7013000,23.8212,1.028147,0.538949,0.086720,6.000006
7014000,23.8212,1.028147,0.538949,0.086720,4.499908
7015000,23.8212,1.028147,0.538949,0.086720,3.580278
7016000,23.8212,1.028147,0.538949,0.086720,3.290094
7017000,23.8212,1.028147,0.538949,0.086720,3.095982
7018000,23.8212,1.028147,0.538949,0.086720,3.149580
7019000,23.8212,1.028147,0.538949,0.086720,3.535260
7020000,23.8212,1.028147,0.538949,0.086720,2.935607
7021000,23.8212,1.028147,0.538949,0.086720,2.935937
7022000,23.8212,1.028147,0.538949,0.086720,3.530712
7023000,23.8212,1.028147,0.538949,0.086720,3.155394
7024000,23.8212,1.028147,0.538949,0.086720,3.002853
7025000,23.8212,1.028147,0.538949,0.086720,3.179451
7026000,23.8212,1.028147,0.538949,0.086720,3.326238
7027000,23.8212,1.028147,0.538949,0.086720,3.252721
7028000,23.8212,1.028147,0.538949,0.086720,3.313510
7029000,23.8212,1.028147,0.538949,0.086720,3.096263
7030000,23.8212,1.028147,0.538949,0.086720,3.581643
7031000,23.8212,1.028147,0.538949,0.086720,3.235679
7032000,23.8212,1.028147,0.538949,0.086720,3.436396
7033000,23.8212,1.028147,0.538949,0.086720,2.904391
7034000,23.8212,1.028147,0.538949,0.086720,3.141724
7035000,23.8212,1.028147,0.538949,0.086720,3.443957
7036000,23.8212,1.028147,0.538949,0.086720,3.410614
7037000,23.8212,1.028147,0.538949,0.086720,3.373434
7038000,23.8212,1.028147,0.538949,0.086720,3.885871
7039000,23.8212,1.028147,0.538949,0.086720,4.601589
7040000,23.8212,1.028147,0.538949,0.086720,4.564564
7041000,23.8212,1.028147,0.538949,0.086720,5.746807
7042000,23.8212,1.028147,0.538949,0.086720,3.814539
