Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
9000000,0.0324,0.013523,0.002678,0.000431,0.000588
9001000,0.0324,0.013523,0.002678,0.000431,0.000588
9002000,0.0324,0.013523,0.002678,0.000431,0.000823
9003000,0.0324,0.013523,0.002678,0.000431,0.001175
9004000,0.0324,0.013523,0.002678,0.000431,0.001175
9005000,0.0324,0.013523,0.002678,0.000431,0.001293
9006000,0.0324,0.013523,0.002678,0.000431,0.001293
9007000,0.0324,0.013523,0.002678,0.000431,0.000588
9008000,0.0324,0.013523,0.002678,0.000431,0.001058
9009000,0.0324,0.013523,0.002678,0.000431,0.000823
9010000,0.0324,0.013523,0.002678,0.000431,0.001293
9011000,0.0324,0.013523,0.002678,0.000431,0.000470
9012000,0.0324,0.013523,0.002678,0.000431,0.000705
9013000,0.0324,0.013523,0.002678,0.000431,0.000705
9014000,0.0324,0.013523,0.002678,0.000431,0.001175
9015000,0.0324,0.013523,0.002678,0.000431,0.000470
9016000,0.0324,0.013523,0.002678,0.000431,0.000705
9017000,0.0324,0.013523,0.002678,0.000431,0.001410
9018000,0.0324,0.013523,0.002678,0.000431,0.000940
9019000,0.0324,0.013523,0.002678,0.000431,0.000705
9020000,0.0324,0.013523,0.002678,0.000431,0.001175
9021000,0.0324,0.013523,0.002678,0.000431,0.000705
9022000,0.0324,0.013523,0.002678,0.000431,0.001175
9023000,0.0324,0.013523,0.002678,0.000431,0.001293
9024000,0.0324,0.013523,0.002678,0.000431,0.001058
9025000,0.0324,0.013523,0.002678,0.000431,0.000705
9026000,0.0324,0.013523,0.002678,0.000431,0.001058
9027000,0.0324,0.013523,0.002678,0.000431,0.000823
9028000,0.0324,0.013523,0.002678,0.000431,0.000588
9029000,0.0324,0.013523,0.002678,0.000431,0.001058
9030000,0.0324,0.013523,0.002678,0.000431,0.000705
9031000,0.0324,0.013523,0.002678,0.000431,0.000705
9032000,0.0324,0.013523,0.002678,0.000431,0.001175
9033000,0.0324,0.013523,0.002678,0.000431,0.001293
9034000,0.0324,0.013523,0.002678,0.000431,0.001058
9035000,0.0324,0.013523,0.002678,0.000431,0.000823
9036000,0.0324,0.013523,0.002678,0.000431,0.001293
9037000,0.0324,0.013523,0.002678,0.000431,0.001175
9038000,0.0324,0.013523,0.002678,0.000431,0.000823
9039000,0.0324,0.013523,0.002678,0.000431,0.001175
9040000,0.0324,0.013523,0.002678,0.000431,0.001175
9041000,0.0324,0.013523,0.002678,0.000431,0.001058
9042000,0.0324,0.013523,0.002678,0.000431,0.000940
9043000,0.0324,0.013523,0.002678,0.000431,0.001175
9044000,0.0324,0.013523,0.002678,0.000431,0.000705
9045000,0.0324,0.013523,0.002678,0.000431,0.001175
9046000,0.0324,0.013523,0.002678,0.000431,0.001293
9047000,0.0324,0.013523,0.002678,0.000431,0.000588
9048000,0.0324,0.013523,0.002678,0.000431,0.000705
9049000,0.0324,0.013523,0.002678,0.000431,0.000470
9050000,0.0324,0.013523,0.002678,0.000431,0.000705
9051000,0.0324,0.013523,0.002678,0.000431,0.001175
9052000,0.0324,0.013523,0.002678,0.000431,0.000705
9053000,0.0324,0.013523,0.002678,0.000431,0.001175
