Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.262847
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.213435
3000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.213435
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.213435
5000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.213435
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.860251
7000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.273058
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,11.433322
9000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,10.793745
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.592019
11000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.799811
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.713862
13000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,14.123558
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,11.999916
15000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,11.954929
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.424712
17000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.736155
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.468008
19000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,14.110201
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.702524
21000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.529043
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.516473
23000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.674018
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.757405
25000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.754777
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.910220
27000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.916316
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.249567
29000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.620774
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.914329
31000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.304514
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.702619
33000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.742522
34000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.781006
35000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.274774
36000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,14.068753
37000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.320660
38000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.385196
39000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.092327
40000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.816018
