Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,0.000235
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,0.925064
7000,0.0324,0.013523,0.002678,0.000431,0.864772
8000,0.0324,0.013523,0.002678,0.000431,0.913429
9000,0.0324,0.013523,0.002678,0.000431,0.990763
10000,0.0324,0.013523,0.002678,0.000431,1.111229
11000,0.0324,0.013523,0.002678,0.000431,1.110406
12000,0.0324,0.013523,0.002678,0.000431,1.044943
13000,0.0324,0.013523,0.002678,0.000431,1.034366
14000,0.0324,0.013523,0.002678,0.000431,0.924829
15000,0.0324,0.013523,0.002678,0.000431,1.047294
16000,0.0324,0.013523,0.002678,0.000431,1.088311
17000,0.0324,0.013523,0.002678,0.000431,1.132854
18000,0.0324,0.013523,0.002678,0.000431,1.063395
19000,0.0324,0.013523,0.002678,0.000431,1.095715
20000,0.0324,0.013523,0.002678,0.000431,1.036951
21000,0.0324,0.013523,0.002678,0.000431,1.075030
22000,0.0324,0.013523,0.002678,0.000431,1.030605
23000,0.0324,0.013523,0.002678,0.000431,1.081847
24000,0.0324,0.013523,0.002678,0.000431,1.072797
25000,0.0324,0.013523,0.002678,0.000431,1.089369
26000,0.0324,0.013523,0.002678,0.000431,1.089369
27000,0.0324,0.013523,0.002678,0.000431,1.080789
28000,0.0324,0.013523,0.002678,0.000431,1.031427
29000,0.0324,0.013523,0.002678,0.000431,1.046001
30000,0.0324,0.013523,0.002678,0.000431,1.069742
31000,0.0324,0.013523,0.002678,0.000431,1.124627
32000,0.0324,0.013523,0.002678,0.000431,1.098536
33000,0.0324,0.013523,0.002678,0.000431,1.104177
34000,0.0324,0.013523,0.002678,0.000431,1.086078
35000,0.0324,0.013523,0.002678,0.000431,1.063630
36000,0.0324,0.013523,0.002678,0.000431,1.123804
37000,0.0324,0.013523,0.002678,0.000431,1.073737
38000,0.0324,0.013523,0.002678,0.000431,1.092072
39000,0.0324,0.013523,0.002678,0.000431,1.075618
40000,0.0324,0.013523,0.002678,0.000431,0.597278
