Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,4.773866
2000,23.8212,1.028147,0.538949,0.086720,8.483750
3000,23.8212,1.028147,0.538949,0.086720,8.483750
4000,23.8212,1.028147,0.538949,0.086720,8.483750
5000,23.8212,1.028147,0.538949,0.086720,8.483750
6000,23.8212,1.028147,0.538949,0.086720,18.511581
7000,23.8212,1.028147,0.538949,0.086720,9.292564
8000,23.8212,1.028147,0.538949,0.086720,6.065957
9000,23.8212,1.028147,0.538949,0.086720,5.676966
10000,23.8212,1.028147,0.538949,0.086720,6.399314
11000,23.8212,1.028147,0.538949,0.086720,6.868334
12000,23.8212,1.028147,0.538949,0.086720,6.585415
13000,23.8212,1.028147,0.538949,0.086720,6.592102
14000,23.8212,1.028147,0.538949,0.086720,7.158967
15000,23.8212,1.028147,0.538949,0.086720,7.231364
16000,23.8212,1.028147,0.538949,0.086720,5.966786
17000,23.8212,1.028147,0.538949,0.086720,5.986948
18000,23.8212,1.028147,0.538949,0.086720,6.227939
19000,23.8212,1.028147,0.538949,0.086720,6.279434
20000,23.8212,1.028147,0.538949,0.086720,5.426293
21000,23.8212,1.028147,0.538949,0.086720,6.641587
22000,23.8212,1.028147,0.538949,0.086720,7.010609
23000,23.8212,1.028147,0.538949,0.086720,6.699185
24000,23.8212,1.028147,0.538949,0.086720,6.584382
25000,23.8212,1.028147,0.538949,0.086720,6.178127
26000,23.8212,1.028147,0.538949,0.086720,6.763852
27000,23.8212,1.028147,0.538949,0.086720,6.925501
28000,23.8212,1.028147,0.538949,0.086720,6.743242
29000,23.8212,1.028147,0.538949,0.086720,5.859022
30000,23.8212,1.028147,0.538949,0.086720,6.905572
31000,23.8212,1.028147,0.538949,0.086720,7.382354
32000,23.8212,1.028147,0.538949,0.086720,8.300353
33000,23.8212,1.028147,0.538949,0.086720,6.553061
34000,23.8212,1.028147,0.538949,0.086720,7.068293
35000,23.8212,1.028147,0.538949,0.086720,6.474876
36000,23.8212,1.028147,0.538949,0.086720,6.422775
37000,23.8212,1.028147,0.538949,0.086720,5.610596
38000,23.8212,1.028147,0.538949,0.086720,7.080740
39000,23.8212,1.028147,0.538949,0.086720,6.882151
40000,23.8212,1.028147,0.538949,0.086720,6.953891
41000,23.8212,1.028147,0.538949,0.086720,6.319812
42000,23.8212,1.028147,0.538949,0.086720,6.078704
43000,23.8212,1.028147,0.538949,0.086720,5.771709
44000,23.8212,1.028147,0.538949,0.086720,6.673796
45000,23.8212,1.028147,0.538949,0.086720,7.331887
46000,23.8212,1.028147,0.538949,0.086720,7.631782
47000,23.8212,1.028147,0.538949,0.086720,7.306182
48000,23.8212,1.028147,0.538949,0.086720,8.280240
49000,23.8212,1.028147,0.538949,0.086720,5.855382
50000,23.8212,1.028147,0.538949,0.086720,7.583973
51000,23.8212,1.028147,0.538949,0.086720,6.648732
52000,23.8212,1.028147,0.538949,0.086720,5.995132
53000,23.8212,1.028147,0.538949,0.086720,7.108954
54000,23.8212,1.028147,0.538949,0.086720,7.479121
55000,23.8212,1.028147,0.538949,0.086720,6.198652
56000,23.8212,1.028147,0.538949,0.086720,6.967894
57000,23.8212,1.028147,0.538949,0.086720,6.921134
58000,23.8212,1.028147,0.538949,0.086720,7.193242
59000,23.8212,1.028147,0.538949,0.086720,6.427809
60000,23.8212,1.028147,0.538949,0.086720,6.499490
61000,23.8212,1.028147,0.538949,0.086720,6.180629
62000,23.8212,1.028147,0.538949,0.086720,6.302379
63000,23.8212,1.028147,0.538949,0.086720,7.060633
64000,23.8212,1.028147,0.538949,0.086720,6.994535
65000,23.8212,1.028147,0.538949,0.086720,6.507829
