Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.6202,0.544831,0.005673,0.000697,0.326899
2000,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
6000,1.6202,0.544831,0.005673,0.000697,0.497663
7000,1.6202,0.544831,0.005673,0.000697,0.514323
8000,1.6202,0.544831,0.005673,0.000697,0.517229
9000,1.6202,0.544831,0.005673,0.000697,0.552277
10000,1.6202,0.544831,0.005673,0.000697,0.565447
11000,1.6202,0.544831,0.005673,0.000697,0.554949
12000,1.6202,0.544831,0.005673,0.000697,0.562870
13000,1.6202,0.544831,0.005673,0.000697,0.548775
14000,1.6202,0.544831,0.005673,0.000697,0.552188
15000,1.6202,0.544831,0.005673,0.000697,0.553188
16000,1.6202,0.544831,0.005673,0.000697,0.559878
17000,1.6202,0.544831,0.005673,0.000697,0.553684
18000,1.6202,0.544831,0.005673,0.000697,0.570838
19000,1.6202,0.544831,0.005673,0.000697,0.577012
20000,1.6202,0.544831,0.005673,0.000697,0.578387
21000,1.6202,0.544831,0.005673,0.000697,0.571252
22000,1.6202,0.544831,0.005673,0.000697,0.575188
23000,1.6202,0.544831,0.005673,0.000697,0.568070
24000,1.6202,0.544831,0.005673,0.000697,0.583314
25000,1.6202,0.544831,0.005673,0.000697,0.584115
26000,1.6202,0.544831,0.005673,0.000697,0.579684
27000,1.6202,0.544831,0.005673,0.000697,0.575353
28000,1.6202,0.544831,0.005673,0.000697,0.579569
29000,1.6202,0.544831,0.005673,0.000697,0.576299
30000,1.6202,0.544831,0.005673,0.000697,0.565340
31000,1.6202,0.544831,0.005673,0.000697,0.565092
32000,1.6202,0.544831,0.005673,0.000697,0.499043
