Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.647135
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,3.371829
7000,15.7031,5.502199,0.052647,0.006391,11.258099
8000,15.7031,5.502199,0.052647,0.006391,8.896263
9000,15.7031,5.502199,0.052647,0.006391,5.235196
10000,15.7031,5.502199,0.052647,0.006391,2.833527
11000,15.7031,5.502199,0.052647,0.006391,2.745858
12000,15.7031,5.502199,0.052647,0.006391,2.452371
13000,15.7031,5.502199,0.052647,0.006391,3.073455
14000,15.7031,5.502199,0.052647,0.006391,2.955265
15000,15.7031,5.502199,0.052647,0.006391,2.667070
16000,15.7031,5.502199,0.052647,0.006391,2.433405
17000,15.7031,5.502199,0.052647,0.006391,2.549349
18000,15.7031,5.502199,0.052647,0.006391,2.329773
19000,15.7031,5.502199,0.052647,0.006391,2.138503
20000,15.7031,5.502199,0.052647,0.006391,2.697239
21000,15.7031,5.502199,0.052647,0.006391,2.268281
22000,15.7031,5.502199,0.052647,0.006391,3.016729
23000,15.7031,5.502199,0.052647,0.006391,2.122136
24000,15.7031,5.502199,0.052647,0.006391,2.455123
25000,15.7031,5.502199,0.052647,0.006391,2.522478
26000,15.7031,5.502199,0.052647,0.006391,2.198662
27000,15.7031,5.502199,0.052647,0.006391,1.957410
28000,15.7031,5.502199,0.052647,0.006391,1.199149
29000,15.7031,5.502199,0.052647,0.006391,1.477919
30000,15.7031,5.502199,0.052647,0.006391,1.970367
31000,15.7031,5.502199,0.052647,0.006391,1.533354
32000,15.7031,5.502199,0.052647,0.006391,1.441258
33000,15.7031,5.502199,0.052647,0.006391,1.190033
34000,15.7031,5.502199,0.052647,0.006391,1.068666
35000,15.7031,5.502199,0.052647,0.006391,0.759402
36000,15.7031,5.502199,0.052647,0.006391,0.893181
37000,15.7031,5.502199,0.052647,0.006391,0.872647
38000,15.7031,5.502199,0.052647,0.006391,0.826783
39000,15.7031,5.502199,0.052647,0.006391,0.714974
40000,15.7031,5.502199,0.052647,0.006391,0.596532
41000,15.7031,5.502199,0.052647,0.006391,0.766676
42000,15.7031,5.502199,0.052647,0.006391,0.557474
43000,15.7031,5.502199,0.052647,0.006391,0.550604
44000,15.7031,5.502199,0.052647,0.006391,0.550756
45000,15.7031,5.502199,0.052647,0.006391,0.553873
46000,15.7031,5.502199,0.052647,0.006391,0.556990
47000,15.7031,5.502199,0.052647,0.006391,0.554025
48000,15.7031,5.502199,0.052647,0.006391,0.553347
49000,15.7031,5.502199,0.052647,0.006391,0.559053
50000,15.7031,5.502199,0.052647,0.006391,0.553945
51000,15.7031,5.502199,0.052647,0.006391,0.550684
52000,15.7031,5.502199,0.052647,0.006391,0.557142
53000,15.7031,5.502199,0.052647,0.006391,0.558671
54000,15.7031,5.502199,0.052647,0.006391,0.553347
55000,15.7031,5.502199,0.052647,0.006391,0.556009
56000,15.7031,5.502199,0.052647,0.006391,0.553873
57000,15.7031,5.502199,0.052647,0.006391,0.560815
58000,15.7031,5.502199,0.052647,0.006391,0.559508
59000,15.7031,5.502199,0.052647,0.006391,0.556688
60000,15.7031,5.502199,0.052647,0.006391,0.553347
61000,15.7031,5.502199,0.052647,0.006391,0.557214
62000,15.7031,5.502199,0.052647,0.006391,0.557062
63000,15.7031,5.502199,0.052647,0.006391,0.550684
64000,15.7031,5.502199,0.052647,0.006391,0.557142
65000,15.7031,5.502199,0.052647,0.006391,0.559053
66000,15.7031,5.502199,0.052647,0.006391,0.557070
67000,15.7031,5.502199,0.052647,0.006391,0.553873
68000,15.7031,5.502199,0.052647,0.006391,0.553873
69000,15.7031,5.502199,0.052647,0.006391,0.553873
70000,15.7031,5.502199,0.052647,0.006391,0.553873
71000,15.7031,5.502199,0.052647,0.006391,0.556688
72000,15.7031,5.502199,0.052647,0.006391,0.558751
73000,15.7031,5.502199,0.052647,0.006391,0.559053
