Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,8.6440,0.261844,0.058609,0.079322,0.001451
2000,8.6440,0.261844,0.058609,0.079322,0.000000
3000,8.6440,0.261844,0.058609,0.079322,0.000000
4000,8.6440,0.261844,0.058609,0.079322,0.000000
5000,8.6440,0.261844,0.058609,0.079322,0.000000
6000,8.6440,0.261844,0.058609,0.079322,3.481992
7000,8.6440,0.261844,0.058609,0.079322,2.942474
8000,8.6440,0.261844,0.058609,0.079322,1.061751
9000,8.6440,0.261844,0.058609,0.079322,1.039447
10000,8.6440,0.261844,0.058609,0.079322,1.037568
11000,8.6440,0.261844,0.058609,0.079322,1.000126
12000,8.6440,0.261844,0.058609,0.079322,1.039549
13000,8.6440,0.261844,0.058609,0.079322,0.952442
14000,8.6440,0.261844,0.058609,0.079322,1.023125
15000,8.6440,0.261844,0.058609,0.079322,1.012386
16000,8.6440,0.261844,0.058609,0.079322,1.216018
17000,8.6440,0.261844,0.058609,0.079322,1.427756
18000,8.6440,0.261844,0.058609,0.079322,1.448089
19000,8.6440,0.261844,0.058609,0.079322,1.602200
20000,8.6440,0.261844,0.058609,0.079322,1.726452
21000,8.6440,0.261844,0.058609,0.079322,1.565774
22000,8.6440,0.261844,0.058609,0.079322,1.472568
23000,8.6440,0.261844,0.058609,0.079322,1.216391
24000,8.6440,0.261844,0.058609,0.079322,1.018944
25000,8.6440,0.261844,0.058609,0.079322,0.999019
26000,8.6440,0.261844,0.058609,0.079322,1.006313
27000,8.6440,0.261844,0.058609,0.079322,1.075451
28000,8.6440,0.261844,0.058609,0.079322,1.124344
29000,8.6440,0.261844,0.058609,0.079322,1.234064
30000,8.6440,0.261844,0.058609,0.079322,1.679770
31000,8.6440,0.261844,0.058609,0.079322,2.334857
32000,8.6440,0.261844,0.058609,0.079322,1.834574
33000,8.6440,0.261844,0.058609,0.079322,0.968655
34000,8.6440,0.261844,0.058609,0.079322,1.891769
35000,8.6440,0.261844,0.058609,0.079322,2.388660
36000,8.6440,0.261844,0.058609,0.079322,2.235746
37000,8.6440,0.261844,0.058609,0.079322,1.797886
38000,8.6440,0.261844,0.058609,0.079322,1.640060
39000,8.6440,0.261844,0.058609,0.079322,1.503473
40000,8.6440,0.261844,0.058609,0.079322,2.071244
41000,8.6440,0.261844,0.058609,0.079322,2.302095
42000,8.6440,0.261844,0.058609,0.079322,2.360715
43000,8.6440,0.261844,0.058609,0.079322,2.299787
44000,8.6440,0.261844,0.058609,0.079322,2.328801
