Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.185713
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.219698
7000,0.7779,0.306348,0.002724,0.000334,0.301191
8000,0.7779,0.306348,0.002724,0.000334,0.264107
9000,0.7779,0.306348,0.002724,0.000334,0.263377
10000,0.7779,0.306348,0.002724,0.000334,0.263907
11000,0.7779,0.306348,0.002724,0.000334,0.262632
12000,0.7779,0.306348,0.002724,0.000334,0.264291
13000,0.7779,0.306348,0.002724,0.000334,0.264330
14000,0.7779,0.306348,0.002724,0.000334,0.263835
15000,0.7779,0.306348,0.002724,0.000334,0.263827
16000,0.7779,0.306348,0.002724,0.000334,0.263253
17000,0.7779,0.306348,0.002724,0.000334,0.263150
18000,0.7779,0.306348,0.002724,0.000334,0.265030
19000,0.7779,0.306348,0.002724,0.000334,0.261730
20000,0.7779,0.306348,0.002724,0.000334,0.261918
21000,0.7779,0.306348,0.002724,0.000334,0.260070
22000,0.7779,0.306348,0.002724,0.000334,0.261103
23000,0.7779,0.306348,0.002724,0.000334,0.258561
24000,0.7779,0.306348,0.002724,0.000334,0.251373
25000,0.7779,0.306348,0.002724,0.000334,0.250162
26000,0.7779,0.306348,0.002724,0.000334,0.249620
27000,0.7779,0.306348,0.002724,0.000334,0.249325
28000,0.7779,0.306348,0.002724,0.000334,0.249442
29000,0.7779,0.306348,0.002724,0.000334,0.248926
30000,0.7779,0.306348,0.002724,0.000334,0.251751
31000,0.7779,0.306348,0.002724,0.000334,0.265518
32000,0.7779,0.306348,0.002724,0.000334,0.268740
33000,0.7779,0.306348,0.002724,0.000334,0.259423
34000,0.7779,0.306348,0.002724,0.000334,0.249411
35000,0.7779,0.306348,0.002724,0.000334,0.251290
36000,0.7779,0.306348,0.002724,0.000334,0.249082
37000,0.7779,0.306348,0.002724,0.000334,0.250233
38000,0.7779,0.306348,0.002724,0.000334,0.248073
39000,0.7779,0.306348,0.002724,0.000334,0.249388
40000,0.7779,0.306348,0.002724,0.000334,0.249035
41000,0.7779,0.306348,0.002724,0.000334,0.248566
42000,0.7779,0.306348,0.002724,0.000334,0.248988
43000,0.7779,0.306348,0.002724,0.000334,0.247721
44000,0.7779,0.306348,0.002724,0.000334,0.248589
45000,0.7779,0.306348,0.002724,0.000334,0.248448
46000,0.7779,0.306348,0.002724,0.000334,0.249270
47000,0.7779,0.306348,0.002724,0.000334,0.248730
48000,0.7779,0.306348,0.002724,0.000334,0.249035
49000,0.7779,0.306348,0.002724,0.000334,0.248636
50000,0.7779,0.306348,0.002724,0.000334,0.248730
51000,0.7779,0.306348,0.002724,0.000334,0.249012
52000,0.7779,0.306348,0.002724,0.000334,0.249153
53000,0.7779,0.306348,0.002724,0.000334,0.248824
54000,0.7779,0.306348,0.002724,0.000334,0.247721
55000,0.7779,0.306348,0.002724,0.000334,0.248355
56000,0.7779,0.306348,0.002724,0.000334,0.248589
57000,0.7779,0.306348,0.002724,0.000334,0.248355
58000,0.7779,0.306348,0.002724,0.000334,0.249223
59000,0.7779,0.306348,0.002724,0.000334,0.248965
60000,0.7779,0.306348,0.002724,0.000334,0.248378
61000,0.7779,0.306348,0.002724,0.000334,0.247768
62000,0.7779,0.306348,0.002724,0.000334,0.248519
63000,0.7779,0.306348,0.002724,0.000334,0.248824
64000,0.7779,0.306348,0.002724,0.000334,0.249529
65000,0.7779,0.306348,0.002724,0.000334,0.249247
66000,0.7779,0.306348,0.002724,0.000334,0.248895
67000,0.7779,0.306348,0.002724,0.000334,0.248965
68000,0.7779,0.306348,0.002724,0.000334,0.248824
69000,0.7779,0.306348,0.002724,0.000334,0.248120
70000,0.7779,0.306348,0.002724,0.000334,0.247885
71000,0.7779,0.306348,0.002724,0.000334,0.248355
72000,0.7779,0.306348,0.002724,0.000334,0.248613
73000,0.7779,0.306348,0.002724,0.000334,0.248261
74000,0.7779,0.306348,0.002724,0.000334,0.247791
75000,0.7779,0.306348,0.002724,0.000334,0.247580
76000,0.7779,0.306348,0.002724,0.000334,0.247181
77000,0.7779,0.306348,0.002724,0.000334,0.248120
78000,0.7779,0.306348,0.002724,0.000334,0.248002
79000,0.7779,0.306348,0.002724,0.000334,0.246875
80000,0.7779,0.306348,0.002724,0.000334,0.246335
81000,0.7779,0.306348,0.002724,0.000334,0.246063
82000,0.7779,0.306348,0.002724,0.000334,0.246182
83000,0.7779,0.306348,0.002724,0.000334,0.247992
84000,0.7779,0.306348,0.002724,0.000334,0.247622
85000,0.7779,0.306348,0.002724,0.000334,0.246553
86000,0.7779,0.306348,0.002724,0.000334,0.246895
87000,0.7779,0.306348,0.002724,0.000334,0.248858
88000,0.7779,0.306348,0.002724,0.000334,0.249192
89000,0.7779,0.306348,0.002724,0.000334,0.248491
90000,0.7779,0.306348,0.002724,0.000334,0.249640
91000,0.7779,0.306348,0.002724,0.000334,0.248577
92000,0.7779,0.306348,0.002724,0.000334,0.248970
93000,0.7779,0.306348,0.002724,0.000334,0.248926
94000,0.7779,0.306348,0.002724,0.000334,0.250601
95000,0.7779,0.306348,0.002724,0.000334,0.253518
96000,0.7779,0.306348,0.002724,0.000334,0.251331
97000,0.7779,0.306348,0.002724,0.000334,0.252401
98000,0.7779,0.306348,0.002724,0.000334,0.251393
99000,0.7779,0.306348,0.002724,0.000334,0.253021
100000,0.7779,0.306348,0.002724,0.000334,0.253845
101000,0.7779,0.306348,0.002724,0.000334,0.251532
102000,0.7779,0.306348,0.002724,0.000334,0.254234
103000,0.7779,0.306348,0.002724,0.000334,0.257609
104000,0.7779,0.306348,0.002724,0.000334,0.255582
105000,0.7779,0.306348,0.002724,0.000334,0.259288
106000,0.7779,0.306348,0.002724,0.000334,0.257044
107000,0.7779,0.306348,0.002724,0.000334,0.256925
108000,0.7779,0.306348,0.002724,0.000334,0.254192
109000,0.7779,0.306348,0.002724,0.000334,0.249221
110000,0.7779,0.306348,0.002724,0.000334,0.250817
111000,0.7779,0.306348,0.002724,0.000334,0.258750
112000,0.7779,0.306348,0.002724,0.000334,0.257152
113000,0.7779,0.306348,0.002724,0.000334,0.259367
114000,0.7779,0.306348,0.002724,0.000334,0.259678
115000,0.7779,0.306348,0.002724,0.000334,0.264304
116000,0.7779,0.306348,0.002724,0.000334,0.264316
117000,0.7779,0.306348,0.002724,0.000334,0.263430
118000,0.7779,0.306348,0.002724,0.000334,0.262926
119000,0.7779,0.306348,0.002724,0.000334,0.263316
120000,0.7779,0.306348,0.002724,0.000334,0.264114
121000,0.7779,0.306348,0.002724,0.000334,0.263300
122000,0.7779,0.306348,0.002724,0.000334,0.264166
123000,0.7779,0.306348,0.002724,0.000334,0.264199
124000,0.7779,0.306348,0.002724,0.000334,0.262215
125000,0.7779,0.306348,0.002724,0.000334,0.262750
126000,0.7779,0.306348,0.002724,0.000334,0.263124
127000,0.7779,0.306348,0.002724,0.000334,0.261433
128000,0.7779,0.306348,0.002724,0.000334,0.261007
129000,0.7779,0.306348,0.002724,0.000334,0.257874
130000,0.7779,0.306348,0.002724,0.000334,0.258568
131000,0.7779,0.306348,0.002724,0.000334,0.260417
132000,0.7779,0.306348,0.002724,0.000334,0.258669
133000,0.7779,0.306348,0.002724,0.000334,0.258351
134000,0.7779,0.306348,0.002724,0.000334,0.258363
135000,0.7779,0.306348,0.002724,0.000334,0.257312
136000,0.7779,0.306348,0.002724,0.000334,0.255838
137000,0.7779,0.306348,0.002724,0.000334,0.255305
138000,0.7779,0.306348,0.002724,0.000334,0.255794
139000,0.7779,0.306348,0.002724,0.000334,0.254958
140000,0.7779,0.306348,0.002724,0.000334,0.256706
141000,0.7779,0.306348,0.002724,0.000334,0.255250
142000,0.7779,0.306348,0.002724,0.000334,0.252451
143000,0.7779,0.306348,0.002724,0.000334,0.253839
144000,0.7779,0.306348,0.002724,0.000334,0.252578
145000,0.7779,0.306348,0.002724,0.000334,0.254072
146000,0.7779,0.306348,0.002724,0.000334,0.251183
147000,0.7779,0.306348,0.002724,0.000334,0.251538
148000,0.7779,0.306348,0.002724,0.000334,0.253163
149000,0.7779,0.306348,0.002724,0.000334,0.250867
150000,0.7779,0.306348,0.002724,0.000334,0.249763
151000,0.7779,0.306348,0.002724,0.000334,0.249704
152000,0.7779,0.306348,0.002724,0.000334,0.249596
153000,0.7779,0.306348,0.002724,0.000334,0.249191
154000,0.7779,0.306348,0.002724,0.000334,0.247497
155000,0.7779,0.306348,0.002724,0.000334,0.251126
156000,0.7779,0.306348,0.002724,0.000334,0.250355
157000,0.7779,0.306348,0.002724,0.000334,0.250351
158000,0.7779,0.306348,0.002724,0.000334,0.248793
159000,0.7779,0.306348,0.002724,0.000334,0.247968
160000,0.7779,0.306348,0.002724,0.000334,0.248479
161000,0.7779,0.306348,0.002724,0.000334,0.246877
162000,0.7779,0.306348,0.002724,0.000334,0.247790
163000,0.7779,0.306348,0.002724,0.000334,0.248765
164000,0.7779,0.306348,0.002724,0.000334,0.249060
165000,0.7779,0.306348,0.002724,0.000334,0.249641
166000,0.7779,0.306348,0.002724,0.000334,0.251801
167000,0.7779,0.306348,0.002724,0.000334,0.252641
168000,0.7779,0.306348,0.002724,0.000334,0.250515
169000,0.7779,0.306348,0.002724,0.000334,0.249517
170000,0.7779,0.306348,0.002724,0.000334,0.249400
171000,0.7779,0.306348,0.002724,0.000334,0.249837
172000,0.7779,0.306348,0.002724,0.000334,0.248549
173000,0.7779,0.306348,0.002724,0.000334,0.248690
174000,0.7779,0.306348,0.002724,0.000334,0.248107
175000,0.7779,0.306348,0.002724,0.000334,0.247763
176000,0.7779,0.306348,0.002724,0.000334,0.249804
177000,0.7779,0.306348,0.002724,0.000334,0.248693
178000,0.7779,0.306348,0.002724,0.000334,0.248438
179000,0.7779,0.306348,0.002724,0.000334,0.247662
180000,0.7779,0.306348,0.002724,0.000334,0.248530
181000,0.7779,0.306348,0.002724,0.000334,0.249809
182000,0.7779,0.306348,0.002724,0.000334,0.250063
183000,0.7779,0.306348,0.002724,0.000334,0.249940
184000,0.7779,0.306348,0.002724,0.000334,0.247728
185000,0.7779,0.306348,0.002724,0.000334,0.248583
186000,0.7779,0.306348,0.002724,0.000334,0.248375
187000,0.7779,0.306348,0.002724,0.000334,0.250878
188000,0.7779,0.306348,0.002724,0.000334,0.248626
189000,0.7779,0.306348,0.002724,0.000334,0.246929
190000,0.7779,0.306348,0.002724,0.000334,0.247873
191000,0.7779,0.306348,0.002724,0.000334,0.247439
192000,0.7779,0.306348,0.002724,0.000334,0.247755
193000,0.7779,0.306348,0.002724,0.000334,0.244449
194000,0.7779,0.306348,0.002724,0.000334,0.247910
195000,0.7779,0.306348,0.002724,0.000334,0.250303
196000,0.7779,0.306348,0.002724,0.000334,0.250762
197000,0.7779,0.306348,0.002724,0.000334,0.249471
198000,0.7779,0.306348,0.002724,0.000334,0.247546
199000,0.7779,0.306348,0.002724,0.000334,0.248633
200000,0.7779,0.306348,0.002724,0.000334,0.248335
201000,0.7779,0.306348,0.002724,0.000334,0.250729
202000,0.7779,0.306348,0.002724,0.000334,0.250012
203000,0.7779,0.306348,0.002724,0.000334,0.252380
204000,0.7779,0.306348,0.002724,0.000334,0.251044
205000,0.7779,0.306348,0.002724,0.000334,0.251966
206000,0.7779,0.306348,0.002724,0.000334,0.253216
207000,0.7779,0.306348,0.002724,0.000334,0.253510
208000,0.7779,0.306348,0.002724,0.000334,0.252224
209000,0.7779,0.306348,0.002724,0.000334,0.253541
210000,0.7779,0.306348,0.002724,0.000334,0.256111
211000,0.7779,0.306348,0.002724,0.000334,0.253247
212000,0.7779,0.306348,0.002724,0.000334,0.249985
213000,0.7779,0.306348,0.002724,0.000334,0.253063
214000,0.7779,0.306348,0.002724,0.000334,0.253953
215000,0.7779,0.306348,0.002724,0.000334,0.255355
216000,0.7779,0.306348,0.002724,0.000334,0.253484
217000,0.7779,0.306348,0.002724,0.000334,0.251302
218000,0.7779,0.306348,0.002724,0.000334,0.254326
219000,0.7779,0.306348,0.002724,0.000334,0.256395
220000,0.7779,0.306348,0.002724,0.000334,0.257156
221000,0.7779,0.306348,0.002724,0.000334,0.256802
222000,0.7779,0.306348,0.002724,0.000334,0.254204
223000,0.7779,0.306348,0.002724,0.000334,0.253185
224000,0.7779,0.306348,0.002724,0.000334,0.258812
225000,0.7779,0.306348,0.002724,0.000334,0.257979
226000,0.7779,0.306348,0.002724,0.000334,0.256009
227000,0.7779,0.306348,0.002724,0.000334,0.255392
228000,0.7779,0.306348,0.002724,0.000334,0.254418
229000,0.7779,0.306348,0.002724,0.000334,0.255433
230000,0.7779,0.306348,0.002724,0.000334,0.256735
231000,0.7779,0.306348,0.002724,0.000334,0.257573
232000,0.7779,0.306348,0.002724,0.000334,0.257142
233000,0.7779,0.306348,0.002724,0.000334,0.255235
234000,0.7779,0.306348,0.002724,0.000334,0.254587
235000,0.7779,0.306348,0.002724,0.000334,0.254845
236000,0.7779,0.306348,0.002724,0.000334,0.254480
237000,0.7779,0.306348,0.002724,0.000334,0.253827
238000,0.7779,0.306348,0.002724,0.000334,0.254106
239000,0.7779,0.306348,0.002724,0.000334,0.255355
240000,0.7779,0.306348,0.002724,0.000334,0.254022
241000,0.7779,0.306348,0.002724,0.000334,0.252686
242000,0.7779,0.306348,0.002724,0.000334,0.252323
243000,0.7779,0.306348,0.002724,0.000334,0.254301
244000,0.7779,0.306348,0.002724,0.000334,0.254266
245000,0.7779,0.306348,0.002724,0.000334,0.254247
246000,0.7779,0.306348,0.002724,0.000334,0.252069
247000,0.7779,0.306348,0.002724,0.000334,0.252274
248000,0.7779,0.306348,0.002724,0.000334,0.247959
