Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.276384
7000,0.2191,0.065854,0.000377,0.000034,0.133257
8000,0.2191,0.065854,0.000377,0.000034,0.181693
9000,0.2191,0.065854,0.000377,0.000034,0.159668
10000,0.2191,0.065854,0.000377,0.000034,0.187322
11000,0.2191,0.065854,0.000377,0.000034,0.159832
12000,0.2191,0.065854,0.000377,0.000034,0.142318
13000,0.2191,0.065854,0.000377,0.000034,0.138838
14000,0.2191,0.065854,0.000377,0.000034,0.250003
15000,0.2191,0.065854,0.000377,0.000034,0.195042
16000,0.2191,0.065854,0.000377,0.000034,0.262809
17000,0.2191,0.065854,0.000377,0.000034,0.217171
18000,0.2191,0.065854,0.000377,0.000034,0.255138
19000,0.2191,0.065854,0.000377,0.000034,0.212025
20000,0.2191,0.065854,0.000377,0.000034,0.264441
21000,0.2191,0.065854,0.000377,0.000034,0.197792
22000,0.2191,0.065854,0.000377,0.000034,0.201569
23000,0.2191,0.065854,0.000377,0.000034,0.184844
24000,0.2191,0.065854,0.000377,0.000034,0.190020
25000,0.2191,0.065854,0.000377,0.000034,0.185302
26000,0.2191,0.065854,0.000377,0.000034,0.201457
27000,0.2191,0.065854,0.000377,0.000034,0.182845
28000,0.2191,0.065854,0.000377,0.000034,0.181639
29000,0.2191,0.065854,0.000377,0.000034,0.154364
30000,0.2191,0.065854,0.000377,0.000034,0.162898
31000,0.2191,0.065854,0.000377,0.000034,0.151153
32000,0.2191,0.065854,0.000377,0.000034,0.144585
33000,0.2191,0.065854,0.000377,0.000034,0.165750
34000,0.2191,0.065854,0.000377,0.000034,0.138103
35000,0.2191,0.065854,0.000377,0.000034,0.136992
36000,0.2191,0.065854,0.000377,0.000034,0.124018
37000,0.2191,0.065854,0.000377,0.000034,0.128102
38000,0.2191,0.065854,0.000377,0.000034,0.129716
39000,0.2191,0.065854,0.000377,0.000034,0.113901
40000,0.2191,0.065854,0.000377,0.000034,0.132645
41000,0.2191,0.065854,0.000377,0.000034,0.116978
42000,0.2191,0.065854,0.000377,0.000034,0.113206
43000,0.2191,0.065854,0.000377,0.000034,0.087502
44000,0.2191,0.065854,0.000377,0.000034,0.109471
45000,0.2191,0.065854,0.000377,0.000034,0.116590
46000,0.2191,0.065854,0.000377,0.000034,0.092371
47000,0.2191,0.065854,0.000377,0.000034,0.099598
48000,0.2191,0.065854,0.000377,0.000034,0.092158
49000,0.2191,0.065854,0.000377,0.000034,0.083989
50000,0.2191,0.065854,0.000377,0.000034,0.084412
51000,0.2191,0.065854,0.000377,0.000034,0.067038
52000,0.2191,0.065854,0.000377,0.000034,0.083081
53000,0.2191,0.065854,0.000377,0.000034,0.088097
54000,0.2191,0.065854,0.000377,0.000034,0.067352
55000,0.2191,0.065854,0.000377,0.000034,0.068577
56000,0.2191,0.065854,0.000377,0.000034,0.065968
57000,0.2191,0.065854,0.000377,0.000034,0.074787
58000,0.2191,0.065854,0.000377,0.000034,0.065227
59000,0.2191,0.065854,0.000377,0.000034,0.057530
60000,0.2191,0.065854,0.000377,0.000034,0.080306
61000,0.2191,0.065854,0.000377,0.000034,0.056493
62000,0.2191,0.065854,0.000377,0.000034,0.076066
63000,0.2191,0.065854,0.000377,0.000034,0.085972
64000,0.2191,0.065854,0.000377,0.000034,0.055271
65000,0.2191,0.065854,0.000377,0.000034,0.052771
66000,0.2191,0.065854,0.000377,0.000034,0.051830
67000,0.2191,0.065854,0.000377,0.000034,0.050802
68000,0.2191,0.065854,0.000377,0.000034,0.050034
69000,0.2191,0.065854,0.000377,0.000034,0.058822
70000,0.2191,0.065854,0.000377,0.000034,0.071159
71000,0.2191,0.065854,0.000377,0.000034,0.060299
72000,0.2191,0.065854,0.000377,0.000034,0.056020
73000,0.2191,0.065854,0.000377,0.000034,0.049905
74000,0.2191,0.065854,0.000377,0.000034,0.047797
75000,0.2191,0.065854,0.000377,0.000034,0.056288
76000,0.2191,0.065854,0.000377,0.000034,0.047457
77000,0.2191,0.065854,0.000377,0.000034,0.063218
78000,0.2191,0.065854,0.000377,0.000034,0.055606
79000,0.2191,0.065854,0.000377,0.000034,0.046307
80000,0.2191,0.065854,0.000377,0.000034,0.053512
81000,0.2191,0.065854,0.000377,0.000034,0.046196
82000,0.2191,0.065854,0.000377,0.000034,0.045368
83000,0.2191,0.065854,0.000377,0.000034,0.046540
84000,0.2191,0.065854,0.000377,0.000034,0.045764
85000,0.2191,0.065854,0.000377,0.000034,0.053895
