Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.550220
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,3.464550
7000,15.7031,5.502199,0.052647,0.006391,0.550220
8000,15.7031,5.502199,0.052647,0.006391,3.464531
9000,15.7031,5.502199,0.052647,0.006391,2.163885
10000,15.7031,5.502199,0.052647,0.006391,1.887970
11000,15.7031,5.502199,0.052647,0.006391,3.427427
12000,15.7031,5.502199,0.052647,0.006391,2.339958
13000,15.7031,5.502199,0.052647,0.006391,1.974488
14000,15.7031,5.502199,0.052647,0.006391,9.015236
15000,15.7031,5.502199,0.052647,0.006391,13.608625
16000,15.7031,5.502199,0.052647,0.006391,14.671944
17000,15.7031,5.502199,0.052647,0.006391,15.511316
18000,15.7031,5.502199,0.052647,0.006391,14.374534
19000,15.7031,5.502199,0.052647,0.006391,15.155967
20000,15.7031,5.502199,0.052647,0.006391,13.873922
21000,15.7031,5.502199,0.052647,0.006391,14.885167
22000,15.7031,5.502199,0.052647,0.006391,14.307709
23000,15.7031,5.502199,0.052647,0.006391,14.304894
24000,15.7031,5.502199,0.052647,0.006391,14.609857
25000,15.7031,5.502199,0.052647,0.006391,14.301549
26000,15.7031,5.502199,0.052647,0.006391,14.451504
27000,15.7031,5.502199,0.052647,0.006391,14.340776
28000,15.7031,5.502199,0.052647,0.006391,14.307246
29000,15.7031,5.502199,0.052647,0.006391,14.569230
30000,15.7031,5.502199,0.052647,0.006391,14.306825
31000,15.7031,5.502199,0.052647,0.006391,14.425544
32000,15.7031,5.502199,0.052647,0.006391,14.315971
33000,15.7031,5.502199,0.052647,0.006391,14.347144
34000,15.7031,5.502199,0.052647,0.006391,14.324901
35000,15.7031,5.502199,0.052647,0.006391,14.404071
36000,15.7031,5.502199,0.052647,0.006391,14.220088
37000,15.7031,5.502199,0.052647,0.006391,14.338373
38000,15.7031,5.502199,0.052647,0.006391,14.382843
39000,15.7031,5.502199,0.052647,0.006391,14.323547
40000,15.7031,5.502199,0.052647,0.006391,14.344606
41000,15.7031,5.502199,0.052647,0.006391,14.459770
42000,15.7031,5.502199,0.052647,0.006391,14.328275
43000,15.7031,5.502199,0.052647,0.006391,14.378024
44000,15.7031,5.502199,0.052647,0.006391,14.415996
45000,15.7031,5.502199,0.052647,0.006391,14.260354
46000,15.7031,5.502199,0.052647,0.006391,14.423150
47000,15.7031,5.502199,0.052647,0.006391,14.316681
48000,15.7031,5.502199,0.052647,0.006391,14.282344
49000,15.7031,5.502199,0.052647,0.006391,14.274816
50000,15.7031,5.502199,0.052647,0.006391,14.390099
51000,15.7031,5.502199,0.052647,0.006391,14.338263
52000,15.7031,5.502199,0.052647,0.006391,14.407592
53000,15.7031,5.502199,0.052647,0.006391,14.379424
54000,15.7031,5.502199,0.052647,0.006391,14.272486
55000,15.7031,5.502199,0.052647,0.006391,14.379651
56000,15.7031,5.502199,0.052647,0.006391,14.297070
57000,15.7031,5.502199,0.052647,0.006391,14.359140
58000,15.7031,5.502199,0.052647,0.006391,14.333045
59000,15.7031,5.502199,0.052647,0.006391,14.460004
60000,15.7031,5.502199,0.052647,0.006391,14.220632
61000,15.7031,5.502199,0.052647,0.006391,14.627242
62000,15.7031,5.502199,0.052647,0.006391,14.115560
63000,15.7031,5.502199,0.052647,0.006391,14.361910
64000,15.7031,5.502199,0.052647,0.006391,14.418388
65000,15.7031,5.502199,0.052647,0.006391,14.288462
66000,15.7031,5.502199,0.052647,0.006391,14.511989
67000,15.7031,5.502199,0.052647,0.006391,14.195362
68000,15.7031,5.502199,0.052647,0.006391,14.569102
69000,15.7031,5.502199,0.052647,0.006391,14.377285
70000,15.7031,5.502199,0.052647,0.006391,14.175240
71000,15.7031,5.502199,0.052647,0.006391,14.394887
72000,15.7031,5.502199,0.052647,0.006391,14.401003
73000,15.7031,5.502199,0.052647,0.006391,14.429984
74000,15.7031,5.502199,0.052647,0.006391,14.398537
75000,15.7031,5.502199,0.052647,0.006391,14.208565
76000,15.7031,5.502199,0.052647,0.006391,14.403442
77000,15.7031,5.502199,0.052647,0.006391,14.354286
78000,15.7031,5.502199,0.052647,0.006391,14.420004
79000,15.7031,5.502199,0.052647,0.006391,14.292164
80000,15.7031,5.502199,0.052647,0.006391,14.328180
81000,15.7031,5.502199,0.052647,0.006391,14.296978
82000,15.7031,5.502199,0.052647,0.006391,14.457695
