Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.0324,0.013523,0.002678,0.000431,2.395224
1000100,0.0324,0.013523,0.002678,0.000431,2.144889
1000200,0.0324,0.013523,0.002678,0.000431,2.321182
1000300,0.0324,0.013523,0.002678,0.000431,1.860471
1000400,0.0324,0.013523,0.002678,0.000431,2.285923
1000500,0.0324,0.013523,0.002678,0.000431,2.305903
1000600,0.0324,0.013523,0.002678,0.000431,2.317656
1000700,0.0324,0.013523,0.002678,0.000431,2.298851
1000800,0.0324,0.013523,0.002678,0.000431,2.188375
1000900,0.0324,0.013523,0.002678,0.000431,2.401101
1001000,0.0324,0.013523,0.002678,0.000431,2.101404
1001100,0.0324,0.013523,0.002678,0.000431,2.320006
1001200,0.0324,0.013523,0.002678,0.000431,1.970948
1001300,0.0324,0.013523,0.002678,0.000431,2.255366
1001400,0.0324,0.013523,0.002678,0.000431,2.343512
1001500,0.0324,0.013523,0.002678,0.000431,2.227159
1001600,0.0324,0.013523,0.002678,0.000431,2.429308
1001700,0.0324,0.013523,0.002678,0.000431,2.114332
1001800,0.0324,0.013523,0.002678,0.000431,2.248314
1001900,0.0324,0.013523,0.002678,0.000431,2.602074
1002000,0.0324,0.013523,0.002678,0.000431,1.968597
1002100,0.0324,0.013523,0.002678,0.000431,2.430483
1002200,0.0324,0.013523,0.002678,0.000431,2.320006
1002300,0.0324,0.013523,0.002678,0.000431,2.203653
1002400,0.0324,0.013523,0.002678,0.000431,2.191901
1002500,0.0324,0.013523,0.002678,0.000431,2.235386
1002600,0.0324,0.013523,0.002678,0.000431,2.564465
1002700,0.0324,0.013523,0.002678,0.000431,2.027361
1002800,0.0324,0.013523,0.002678,0.000431,2.115507
1002900,0.0324,0.013523,0.002678,0.000431,2.325883
1003000,0.0324,0.013523,0.002678,0.000431,2.056743
1003100,0.0324,0.013523,0.002678,0.000431,2.063795
1003200,0.0324,0.013523,0.002678,0.000431,1.892204
1003300,0.0324,0.013523,0.002678,0.000431,1.869873
1003400,0.0324,0.013523,0.002678,0.000431,2.110806
1003500,0.0324,0.013523,0.002678,0.000431,2.086125
1003600,0.0324,0.013523,0.002678,0.000431,2.243613
1003700,0.0324,0.013523,0.002678,0.000431,2.318831
1003800,0.0324,0.013523,0.002678,0.000431,2.499824
1003900,0.0324,0.013523,0.002678,0.000431,2.417555
1004000,0.0324,0.013523,0.002678,0.000431,2.184849
1004100,0.0324,0.013523,0.002678,0.000431,2.274170
1004200,0.0324,0.013523,0.002678,0.000431,2.256541
1004300,0.0324,0.013523,0.002678,0.000431,2.482195
1004400,0.0324,0.013523,0.002678,0.000431,2.473968
1004500,0.0324,0.013523,0.002678,0.000431,2.310604
1004600,0.0324,0.013523,0.002678,0.000431,2.451638
1004700,0.0324,0.013523,0.002678,0.000431,2.228334
1004800,0.0324,0.013523,0.002678,0.000431,2.491597
1004900,0.0324,0.013523,0.002678,0.000431,2.200128
1005000,0.0324,0.013523,0.002678,0.000431,2.035588
1005100,0.0324,0.013523,0.002678,0.000431,2.167220
1005200,0.0324,0.013523,0.002678,0.000431,2.283573
1005300,0.0324,0.013523,0.002678,0.000431,2.222458
