cycle,row_hit,row_miss
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,5,17
6300,51,14
6400,52,13
6500,50,15
6600,49,15
6700,40,25
6800,48,16
6900,41,23
7000,41,22
7100,40,24
7200,43,20
7300,49,17
7400,44,20
7500,37,27
7600,36,24
7700,32,22
7800,33,22
7900,38,16
8000,32,24
8100,41,21
8200,31,20
8300,42,20
8400,39,21
8500,21,20
8600,11,26
8700,16,19
8800,12,22
8900,4,21
9000,11,22
9100,0,22
9200,1,21
9300,3,19
9400,2,23
9500,3,18
9600,0,23
9700,2,23
9800,2,22
9900,5,19
10000,0,20
10100,1,22
10200,5,17
10300,1,28
10400,5,20
10500,3,17
10600,4,23
10700,2,23
10800,1,20
10900,3,20
11000,1,18
11100,3,27
11200,2,20
11300,1,19
11400,4,25
11500,3,20
11600,1,18
11700,2,24
11800,5,22
11900,3,19
12000,2,22
12100,3,20
12200,4,22
12300,3,22
12400,0,19
12500,1,23
12600,1,19
12700,2,20
12800,2,23
12900,4,24
13000,2,19
13100,4,20
13200,2,21
13300,2,18
13400,3,24
13500,3,21
13600,3,24
13700,1,22
13800,2,21
13900,3,18
14000,5,26
14100,3,18
14200,2,20
14300,1,21
14400,5,18
14500,4,21
14600,3,17
14700,4,27
14800,4,18
14900,3,24
15000,4,20
15100,4,23
15200,6,12
15300,4,20
15400,1,24
15500,7,17
15600,2,22
15700,2,26
15800,3,21
15900,2,17
16000,5,22
16100,1,24
16200,1,18
16300,4,15
16400,6,18
16500,5,28
16600,2,11
16700,0,28
16800,0,19
16900,0,23
17000,1,20
17100,1,22
17200,3,24
17300,7,18
17400,6,22
17500,2,22
17600,3,18
17700,3,22
17800,3,22
17900,1,21
18000,2,18
18100,1,22
18200,1,16
18300,5,25
18400,5,23
18500,1,21
18600,3,24
18700,3,17
18800,9,22
18900,2,20
19000,3,21
19100,0,21
19200,1,20
19300,3,16
19400,3,24
19500,1,19
19600,2,21
19700,3,16
19800,0,17
19900,1,20
20000,0,11
20100,0,8
20200,1,6
20300,0,8
20400,0,12
20500,1,11
20600,0,13
20700,2,15
20800,4,14
20900,1,19
21000,1,28
21100,0,22
21200,1,21
21300,1,22
21400,4,22
21500,1,21
21600,2,22
21700,0,19
21800,1,22
21900,3,21
22000,2,21
22100,1,19
22200,4,23
22300,1,19
22400,3,23
22500,2,21
22600,0,20
22700,3,22
22800,0,22
22900,1,21
23000,4,18
23100,1,24
23200,0,20
23300,1,21
23400,2,20
23500,3,23
23600,2,21
23700,2,19
23800,3,22
23900,3,21
24000,6,21
24100,2,22
24200,1,21
24300,2,20
24400,0,20
24500,0,22
24600,2,20
24700,3,22
24800,0,21
24900,0,21
25000,4,20
25100,0,20
25200,0,22
25300,2,21
25400,0,17
25500,0,24
25600,1,21
25700,1,21
25800,0,22
25900,1,19
26000,2,20
26100,2,22
26200,1,21
26300,1,17
26400,2,21
26500,0,22
26600,2,24
26700,0,20
26800,2,21
26900,2,21
27000,2,22
27100,0,19
27200,4,20
27300,1,24
27400,1,19
27500,1,23
27600,1,22
27700,1,19
27800,2,20
27900,0,23
28000,1,21
28100,1,20
28200,3,21
28300,1,22
28400,2,23
28500,2,21
28600,2,21
28700,1,21
28800,1,23
28900,7,20
29000,1,20
29100,0,22
29200,6,21
29300,1,22
29400,3,21
29500,0,20
29600,1,20
29700,2,19
29800,0,23
29900,2,21
30000,1,20
30100,1,18
30200,2,23
30300,2,21
30400,3,23
30500,1,18
30600,1,24
30700,1,20
30800,2,22
30900,1,23
31000,2,19
31100,0,21
31200,0,21
31300,0,23
31400,2,22
31500,0,21
31600,2,22
31700,2,20
31800,2,22
31900,1,21
32000,2,22
32100,1,21
32200,1,20
32300,3,20
32400,0,22
32500,1,21
32600,1,23
32700,2,21
32800,1,20
32900,1,24
33000,0,21
33100,1,20
33200,3,23
33300,0,19
33400,2,23
33500,0,21
33600,0,20
33700,0,18
33800,2,23
33900,4,23
34000,1,19
34100,2,22
34200,0,23
34300,0,21
34400,2,20
34500,3,18
34600,3,21
34700,4,25
34800,0,22
34900,2,22
35000,3,21
35100,0,21
35200,0,22
35300,0,19
35400,3,24
35500,3,21
35600,1,19
35700,1,23
35800,1,21
35900,0,23
36000,0,21
36100,0,19
36200,2,22
36300,0,19
36400,3,25
36500,2,20
36600,4,22
36700,2,22
36800,2,18
36900,1,20
37000,2,22
37100,3,21
37200,1,17
37300,2,23
37400,3,21
37500,2,19
37600,3,23
37700,0,21
37800,1,20
37900,0,21
38000,1,22
38100,3,20
38200,2,22
38300,1,21
38400,2,21
38500,0,22
38600,2,22
38700,2,21
38800,2,20
38900,3,22
39000,3,22
39100,0,20
39200,3,23
39300,5,19
39400,2,24
39500,3,20
39600,3,22
39700,2,22
39800,1,21
39900,2,20
40000,2,22
40100,0,21
40200,3,22
40300,0,20
40400,0,20
40500,0,21
40600,1,23
40700,4,21
40800,0,23
40900,0,19
41000,3,21
