cycle,pc,cta_id,cluster_id,warp_id,tid
5005,0,19,15,0,ffffffff
5006,0,19,15,1,ffffffff
5007,0,19,15,2,ffffffff
5008,0,19,15,5,ffffffff
5009,0,19,15,6,ffffffff
5010,0,19,15,3,ffffffff
5011,0,19,15,4,ffffffff
5012,0,19,15,7,ffffffff
5013,0,49,15,8,ffffffff
5014,0,49,15,9,ffffffff
5015,0,49,15,14,ffffffff
5016,0,79,15,16,ffffffff
5017,0,79,15,17,ffffffff
5018,0,79,15,18,ffffffff
5019,0,49,15,15,ffffffff
5020,0,79,15,20,ffffffff
5021,0,79,15,21,ffffffff
5022,0,79,15,22,ffffffff
5023,0,79,15,19,ffffffff
5024,0,109,15,24,ffffffff
5025,0,109,15,25,ffffffff
5026,0,109,15,26,ffffffff
5027,0,79,15,23,ffffffff
5028,0,109,15,28,ffffffff
5029,0,109,15,29,ffffffff
5030,0,109,15,30,ffffffff
5031,0,109,15,27,ffffffff
5032,8,19,15,0,ffffffff
5033,8,19,15,1,ffffffff
5034,8,19,15,2,ffffffff
5035,0,109,15,31,ffffffff
5036,8,19,15,4,ffffffff
5037,8,19,15,5,ffffffff
5038,8,19,15,6,ffffffff
5039,8,19,15,3,ffffffff
5040,8,49,15,8,ffffffff
5041,8,49,15,9,ffffffff
5042,8,49,15,10,ffffffff
5043,8,19,15,7,ffffffff
5044,8,49,15,12,ffffffff
5045,8,49,15,13,ffffffff
5046,8,49,15,14,ffffffff
5047,8,49,15,11,ffffffff
5048,8,79,15,16,ffffffff
5049,8,79,15,17,ffffffff
5050,8,79,15,18,ffffffff
5051,8,49,15,15,ffffffff
5052,8,79,15,20,ffffffff
5053,8,79,15,21,ffffffff
5054,8,79,15,22,ffffffff
5055,8,79,15,19,ffffffff
5056,8,109,15,24,ffffffff
5057,8,109,15,25,ffffffff
5058,8,109,15,26,ffffffff
5059,8,79,15,23,ffffffff
5060,8,109,15,28,ffffffff
5061,8,109,15,29,ffffffff
5062,8,109,15,30,ffffffff
5063,8,109,15,27,ffffffff
5064,10,19,15,0,ffffffff
5065,10,19,15,1,ffffffff
5066,10,19,15,2,ffffffff
5067,8,109,15,31,ffffffff
5068,10,19,15,4,ffffffff
