Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.041258
7000,0.2191,0.065854,0.000377,0.000034,0.042018
8000,0.2191,0.065854,0.000377,0.000034,0.040417
9000,0.2191,0.065854,0.000377,0.000034,0.040202
10000,0.2191,0.065854,0.000377,0.000034,0.040415
11000,0.2191,0.065854,0.000377,0.000034,0.041318
12000,0.2191,0.065854,0.000377,0.000034,0.041210
13000,0.2191,0.065854,0.000377,0.000034,0.042091
14000,0.2191,0.065854,0.000377,0.000034,0.040903
15000,0.2191,0.065854,0.000377,0.000034,0.041612
16000,0.2191,0.065854,0.000377,0.000034,0.040921
17000,0.2191,0.065854,0.000377,0.000034,0.040752
18000,0.2191,0.065854,0.000377,0.000034,0.040904
19000,0.2191,0.065854,0.000377,0.000034,0.040678
20000,0.2191,0.065854,0.000377,0.000034,0.040887
21000,0.2191,0.065854,0.000377,0.000034,0.042414
