Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.6202,0.544831,0.005673,0.000697,0.327174
2001000,1.6202,0.544831,0.005673,0.000697,0.327003
2002000,1.6202,0.544831,0.005673,0.000697,0.327003
2003000,1.6202,0.544831,0.005673,0.000697,0.327003
2004000,1.6202,0.544831,0.005673,0.000697,0.326946
2005000,1.6202,0.544831,0.005673,0.000697,0.327003
2006000,1.6202,0.544831,0.005673,0.000697,0.327003
2007000,1.6202,0.544831,0.005673,0.000697,0.326946
2008000,1.6202,0.544831,0.005673,0.000697,0.327003
2009000,1.6202,0.544831,0.005673,0.000697,0.327221
2010000,1.6202,0.544831,0.005673,0.000697,0.327003
2011000,1.6202,0.544831,0.005673,0.000697,0.327003
2012000,1.6202,0.544831,0.005673,0.000697,0.327003
2013000,1.6202,0.544831,0.005673,0.000697,0.327174
2014000,1.6202,0.544831,0.005673,0.000697,0.327003
2015000,1.6202,0.544831,0.005673,0.000697,0.326946
2016000,1.6202,0.544831,0.005673,0.000697,0.326946
2017000,1.6202,0.544831,0.005673,0.000697,0.327050
2018000,1.6202,0.544831,0.005673,0.000697,0.327003
2019000,1.6202,0.544831,0.005673,0.000697,0.326899
2020000,1.6202,0.544831,0.005673,0.000697,0.326946
2021000,1.6202,0.544831,0.005673,0.000697,0.326946
2022000,1.6202,0.544831,0.005673,0.000697,0.327438
2023000,1.6202,0.544831,0.005673,0.000697,0.326899
2024000,1.6202,0.544831,0.005673,0.000697,0.327060
2025000,1.6202,0.544831,0.005673,0.000697,0.327003
2026000,1.6202,0.544831,0.005673,0.000697,0.327060
2027000,1.6202,0.544831,0.005673,0.000697,0.326993
2028000,1.6202,0.544831,0.005673,0.000697,0.327174
2029000,1.6202,0.544831,0.005673,0.000697,0.327003
2030000,1.6202,0.544831,0.005673,0.000697,0.327174
2031000,1.6202,0.544831,0.005673,0.000697,0.326946
2032000,1.6202,0.544831,0.005673,0.000697,0.327003
2033000,1.6202,0.544831,0.005673,0.000697,0.327060
2034000,1.6202,0.544831,0.005673,0.000697,0.327117
2035000,1.6202,0.544831,0.005673,0.000697,0.327003
2036000,1.6202,0.544831,0.005673,0.000697,0.327003
2037000,1.6202,0.544831,0.005673,0.000697,0.326946
2038000,1.6202,0.544831,0.005673,0.000697,0.327060
2039000,1.6202,0.544831,0.005673,0.000697,0.326946
2040000,1.6202,0.544831,0.005673,0.000697,0.327003
2041000,1.6202,0.544831,0.005673,0.000697,0.326993
2042000,1.6202,0.544831,0.005673,0.000697,0.327117
2043000,1.6202,0.544831,0.005673,0.000697,0.327003
2044000,1.6202,0.544831,0.005673,0.000697,0.326946
2045000,1.6202,0.544831,0.005673,0.000697,0.326946
2046000,1.6202,0.544831,0.005673,0.000697,0.326946
2047000,1.6202,0.544831,0.005673,0.000697,0.327003
2048000,1.6202,0.544831,0.005673,0.000697,0.326946
2049000,1.6202,0.544831,0.005673,0.000697,0.327003
2050000,1.6202,0.544831,0.005673,0.000697,0.327107
2051000,1.6202,0.544831,0.005673,0.000697,0.327060
2052000,1.6202,0.544831,0.005673,0.000697,0.326899
2053000,1.6202,0.544831,0.005673,0.000697,0.326946
2054000,1.6202,0.544831,0.005673,0.000697,0.327003
2055000,1.6202,0.544831,0.005673,0.000697,0.327003
2056000,1.6202,0.544831,0.005673,0.000697,0.326946
2057000,1.6202,0.544831,0.005673,0.000697,0.326899
2058000,1.6202,0.544831,0.005673,0.000697,0.326946
2059000,1.6202,0.544831,0.005673,0.000697,0.327174
2060000,1.6202,0.544831,0.005673,0.000697,0.327003
2061000,1.6202,0.544831,0.005673,0.000697,0.327050
2062000,1.6202,0.544831,0.005673,0.000697,0.327174
2063000,1.6202,0.544831,0.005673,0.000697,0.327003
2064000,1.6202,0.544831,0.005673,0.000697,0.327003
2065000,1.6202,0.544831,0.005673,0.000697,0.327003
2066000,1.6202,0.544831,0.005673,0.000697,0.327003
2067000,1.6202,0.544831,0.005673,0.000697,0.327003
2068000,1.6202,0.544831,0.005673,0.000697,0.327003
2069000,1.6202,0.544831,0.005673,0.000697,0.327050
2070000,1.6202,0.544831,0.005673,0.000697,0.327003
2071000,1.6202,0.544831,0.005673,0.000697,0.327060
2072000,1.6202,0.544831,0.005673,0.000697,0.327174
2073000,1.6202,0.544831,0.005673,0.000697,0.327003
2074000,1.6202,0.544831,0.005673,0.000697,0.326946
2075000,1.6202,0.544831,0.005673,0.000697,0.327003
2076000,1.6202,0.544831,0.005673,0.000697,0.327003
2077000,1.6202,0.544831,0.005673,0.000697,0.327050
2078000,1.6202,0.544831,0.005673,0.000697,0.327174
2079000,1.6202,0.544831,0.005673,0.000697,0.327003
2080000,1.6202,0.544831,0.005673,0.000697,0.327003
2081000,1.6202,0.544831,0.005673,0.000697,0.326946
2082000,1.6202,0.544831,0.005673,0.000697,0.327003
