Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
10000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.386358
10001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.634441
10002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.182950
10003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.458723
10004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.400271
10005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.158278
10006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.171875
10007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.778918
10008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.835000
10009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.350970
10010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.636338
10011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.951657
10012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.205031
10013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.307438
10014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.417085
10015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.039860
10016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.468583
10017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.247794
10018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.712079
10019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.099568
10020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.822096
10021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.724240
10022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.394682
10023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.516490
10024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.473900
10025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.653072
10026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.076098
10027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.418657
10028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.262476
10029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.310468
10030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.059369
10031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.256075
10032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.154960
10033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.278564
10034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.852088
10035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.426180
10036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.184761
10037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.212405
10038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.327037
10039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.608155
10040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.263863
10041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.192449
10042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.230935
10043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.124436
10044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.515633
10045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.340493
10046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.460323
10047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.233225
10048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.129569
10049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.442293
10050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.280450
10051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.338594
10052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.509576
10053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.925899
10054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.024062
10055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.487964
10056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.529805
10057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.956354
10058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.244091
10059000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.210363
10060000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.144709
10061000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.427523
10062000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.104216
10063000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.049278
10064000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.314923
10065000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.034735
10066000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.188231
10067000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.381928
10068000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.267433
10069000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.497196
10070000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.538990
10071000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.159106
10072000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.530763
10073000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.674459
10074000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.723208
10075000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.705259
10076000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.049013
10077000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.821809
10078000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.891701
10079000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.583669
10080000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.734042
10081000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.620532
10082000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.076319
10083000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.857987
10084000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.968097
10085000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.013959
10086000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.398323
10087000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.707216
10088000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.750833
