Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
9000000,1.3415,0.039994,0.023482,0.002970,0.112789
9001000,1.3415,0.039994,0.023482,0.002970,0.118435
9002000,1.3415,0.039994,0.023482,0.002970,0.117470
9003000,1.3415,0.039994,0.023482,0.002970,0.117608
9004000,1.3415,0.039994,0.023482,0.002970,0.126838
9005000,1.3415,0.039994,0.023482,0.002970,0.106180
9006000,1.3415,0.039994,0.023482,0.002970,0.100391
9007000,1.3415,0.039994,0.023482,0.002970,0.105272
9008000,1.3415,0.039994,0.023482,0.002970,0.111358
9009000,1.3415,0.039994,0.023482,0.002970,0.119897
9010000,1.3415,0.039994,0.023482,0.002970,0.112919
9011000,1.3415,0.039994,0.023482,0.002970,0.120852
9012000,1.3415,0.039994,0.023482,0.002970,0.107784
9013000,1.3415,0.039994,0.023482,0.002970,0.109166
9014000,1.3415,0.039994,0.023482,0.002970,0.117976
9015000,1.3415,0.039994,0.023482,0.002970,0.110103
9016000,1.3415,0.039994,0.023482,0.002970,0.109640
9017000,1.3415,0.039994,0.023482,0.002970,0.115779
9018000,1.3415,0.039994,0.023482,0.002970,0.115865
9019000,1.3415,0.039994,0.023482,0.002970,0.115462
9020000,1.3415,0.039994,0.023482,0.002970,0.108444
9021000,1.3415,0.039994,0.023482,0.002970,0.103312
9022000,1.3415,0.039994,0.023482,0.002970,0.103715
9023000,1.3415,0.039994,0.023482,0.002970,0.107390
9024000,1.3415,0.039994,0.023482,0.002970,0.114057
9025000,1.3415,0.039994,0.023482,0.002970,0.114534
9026000,1.3415,0.039994,0.023482,0.002970,0.113017
9027000,1.3415,0.039994,0.023482,0.002970,0.109506
9028000,1.3415,0.039994,0.023482,0.002970,0.113257
9029000,1.3415,0.039994,0.023482,0.002970,0.113836
9030000,1.3415,0.039994,0.023482,0.002970,0.101006
9031000,1.3415,0.039994,0.023482,0.002970,0.112631
9032000,1.3415,0.039994,0.023482,0.002970,0.110951
9033000,1.3415,0.039994,0.023482,0.002970,0.117303
9034000,1.3415,0.039994,0.023482,0.002970,0.103627
9035000,1.3415,0.039994,0.023482,0.002970,0.107564
9036000,1.3415,0.039994,0.023482,0.002970,0.099032
9037000,1.3415,0.039994,0.023482,0.002970,0.111676
9038000,1.3415,0.039994,0.023482,0.002970,0.100979
9039000,1.3415,0.039994,0.023482,0.002970,0.092819
9040000,1.3415,0.039994,0.023482,0.002970,0.100876
9041000,1.3415,0.039994,0.023482,0.002970,0.098355
9042000,1.3415,0.039994,0.023482,0.002970,0.094920
9043000,1.3415,0.039994,0.023482,0.002970,0.098354
9044000,1.3415,0.039994,0.023482,0.002970,0.102922
9045000,1.3415,0.039994,0.023482,0.002970,0.105972
9046000,1.3415,0.039994,0.023482,0.002970,0.102630
9047000,1.3415,0.039994,0.023482,0.002970,0.094691
9048000,1.3415,0.039994,0.023482,0.002970,0.104387
9049000,1.3415,0.039994,0.023482,0.002970,0.103634
9050000,1.3415,0.039994,0.023482,0.002970,0.103165
9051000,1.3415,0.039994,0.023482,0.002970,0.113828
9052000,1.3415,0.039994,0.023482,0.002970,0.091434
9053000,1.3415,0.039994,0.023482,0.002970,0.084940
9054000,1.3415,0.039994,0.023482,0.002970,0.081827
9055000,1.3415,0.039994,0.023482,0.002970,0.094411
9056000,1.3415,0.039994,0.023482,0.002970,0.104926
9057000,1.3415,0.039994,0.023482,0.002970,0.094819
9058000,1.3415,0.039994,0.023482,0.002970,0.088842
9059000,1.3415,0.039994,0.023482,0.002970,0.089118
9060000,1.3415,0.039994,0.023482,0.002970,0.095609
9061000,1.3415,0.039994,0.023482,0.002970,0.101490
9062000,1.3415,0.039994,0.023482,0.002970,0.084114
9063000,1.3415,0.039994,0.023482,0.002970,0.084871
9064000,1.3415,0.039994,0.023482,0.002970,0.090999
9065000,1.3415,0.039994,0.023482,0.002970,0.100137
9066000,1.3415,0.039994,0.023482,0.002970,0.083049
9067000,1.3415,0.039994,0.023482,0.002970,0.087629
9068000,1.3415,0.039994,0.023482,0.002970,0.083359
9069000,1.3415,0.039994,0.023482,0.002970,0.085961
9070000,1.3415,0.039994,0.023482,0.002970,0.087367
9071000,1.3415,0.039994,0.023482,0.002970,0.086723
9072000,1.3415,0.039994,0.023482,0.002970,0.095026
9073000,1.3415,0.039994,0.023482,0.002970,0.093319
9074000,1.3415,0.039994,0.023482,0.002970,0.080384
9075000,1.3415,0.039994,0.023482,0.002970,0.079346
9076000,1.3415,0.039994,0.023482,0.002970,0.083939
9077000,1.3415,0.039994,0.023482,0.002970,0.086932
9078000,1.3415,0.039994,0.023482,0.002970,0.090537
9079000,1.3415,0.039994,0.023482,0.002970,0.087619
9080000,1.3415,0.039994,0.023482,0.002970,0.080371
9081000,1.3415,0.039994,0.023482,0.002970,0.095433
9082000,1.3415,0.039994,0.023482,0.002970,0.081934
9083000,1.3415,0.039994,0.023482,0.002970,0.089225
9084000,1.3415,0.039994,0.023482,0.002970,0.095553
9085000,1.3415,0.039994,0.023482,0.002970,0.085202
9086000,1.3415,0.039994,0.023482,0.002970,0.090896
9087000,1.3415,0.039994,0.023482,0.002970,0.091555
9088000,1.3415,0.039994,0.023482,0.002970,0.085467
9089000,1.3415,0.039994,0.023482,0.002970,0.076381
9090000,1.3415,0.039994,0.023482,0.002970,0.093164
9091000,1.3415,0.039994,0.023482,0.002970,0.087256
9092000,1.3415,0.039994,0.023482,0.002970,0.088132
9093000,1.3415,0.039994,0.023482,0.002970,0.082858
9094000,1.3415,0.039994,0.023482,0.002970,0.087562
9095000,1.3415,0.039994,0.023482,0.002970,0.088772
9096000,1.3415,0.039994,0.023482,0.002970,0.091246
9097000,1.3415,0.039994,0.023482,0.002970,0.090275
9098000,1.3415,0.039994,0.023482,0.002970,0.092229
9099000,1.3415,0.039994,0.023482,0.002970,0.089996
9100000,1.3415,0.039994,0.023482,0.002970,0.088375
9101000,1.3415,0.039994,0.023482,0.002970,0.098223
9102000,1.3415,0.039994,0.023482,0.002970,0.103297
9103000,1.3415,0.039994,0.023482,0.002970,0.096524
9104000,1.3415,0.039994,0.023482,0.002970,0.101859
9105000,1.3415,0.039994,0.023482,0.002970,0.108632
9106000,1.3415,0.039994,0.023482,0.002970,0.103663
9107000,1.3415,0.039994,0.023482,0.002970,0.098647
9108000,1.3415,0.039994,0.023482,0.002970,0.108119
9109000,1.3415,0.039994,0.023482,0.002970,0.109851
9110000,1.3415,0.039994,0.023482,0.002970,0.114459
9111000,1.3415,0.039994,0.023482,0.002970,0.114891
9112000,1.3415,0.039994,0.023482,0.002970,0.116621
9113000,1.3415,0.039994,0.023482,0.002970,0.111695
9114000,1.3415,0.039994,0.023482,0.002970,0.101201
9115000,1.3415,0.039994,0.023482,0.002970,0.101492
9116000,1.3415,0.039994,0.023482,0.002970,0.105722
9117000,1.3415,0.039994,0.023482,0.002970,0.105574
9118000,1.3415,0.039994,0.023482,0.002970,0.116103
9119000,1.3415,0.039994,0.023482,0.002970,0.119029
9120000,1.3415,0.039994,0.023482,0.002970,0.108857
9121000,1.3415,0.039994,0.023482,0.002970,0.099156
9122000,1.3415,0.039994,0.023482,0.002970,0.101207
9123000,1.3415,0.039994,0.023482,0.002970,0.105835
9124000,1.3415,0.039994,0.023482,0.002970,0.113441
9125000,1.3415,0.039994,0.023482,0.002970,0.117673
9126000,1.3415,0.039994,0.023482,0.002970,0.129241
9127000,1.3415,0.039994,0.023482,0.002970,0.102641
9128000,1.3415,0.039994,0.023482,0.002970,0.086209
9129000,1.3415,0.039994,0.023482,0.002970,0.093646
9130000,1.3415,0.039994,0.023482,0.002970,0.108267
9131000,1.3415,0.039994,0.023482,0.002970,0.120937
9132000,1.3415,0.039994,0.023482,0.002970,0.115000
9133000,1.3415,0.039994,0.023482,0.002970,0.109290
9134000,1.3415,0.039994,0.023482,0.002970,0.098115
9135000,1.3415,0.039994,0.023482,0.002970,0.110957
9136000,1.3415,0.039994,0.023482,0.002970,0.111205
9137000,1.3415,0.039994,0.023482,0.002970,0.114476
9138000,1.3415,0.039994,0.023482,0.002970,0.117382
9139000,1.3415,0.039994,0.023482,0.002970,0.110495
9140000,1.3415,0.039994,0.023482,0.002970,0.117470
9141000,1.3415,0.039994,0.023482,0.002970,0.110885
9142000,1.3415,0.039994,0.023482,0.002970,0.113545
9143000,1.3415,0.039994,0.023482,0.002970,0.127174
9144000,1.3415,0.039994,0.023482,0.002970,0.117165
9145000,1.3415,0.039994,0.023482,0.002970,0.127370
9146000,1.3415,0.039994,0.023482,0.002970,0.109676
9147000,1.3415,0.039994,0.023482,0.002970,0.118598
9148000,1.3415,0.039994,0.023482,0.002970,0.122669
9149000,1.3415,0.039994,0.023482,0.002970,0.114011
9150000,1.3415,0.039994,0.023482,0.002970,0.118341
9151000,1.3415,0.039994,0.023482,0.002970,0.125457
9152000,1.3415,0.039994,0.023482,0.002970,0.126396
9153000,1.3415,0.039994,0.023482,0.002970,0.126188
9154000,1.3415,0.039994,0.023482,0.002970,0.126484
9155000,1.3415,0.039994,0.023482,0.002970,0.123557
9156000,1.3415,0.039994,0.023482,0.002970,0.132208
9157000,1.3415,0.039994,0.023482,0.002970,0.128891
9158000,1.3415,0.039994,0.023482,0.002970,0.109319
9159000,1.3415,0.039994,0.023482,0.002970,0.130411
9160000,1.3415,0.039994,0.023482,0.002970,0.126758
9161000,1.3415,0.039994,0.023482,0.002970,0.121252
9162000,1.3415,0.039994,0.023482,0.002970,0.115735
9163000,1.3415,0.039994,0.023482,0.002970,0.122735
9164000,1.3415,0.039994,0.023482,0.002970,0.127057
9165000,1.3415,0.039994,0.023482,0.002970,0.109227
9166000,1.3415,0.039994,0.023482,0.002970,0.116656
9167000,1.3415,0.039994,0.023482,0.002970,0.116183
9168000,1.3415,0.039994,0.023482,0.002970,0.112706
9169000,1.3415,0.039994,0.023482,0.002970,0.116214
9170000,1.3415,0.039994,0.023482,0.002970,0.113495
9171000,1.3415,0.039994,0.023482,0.002970,0.129425
9172000,1.3415,0.039994,0.023482,0.002970,0.113526
9173000,1.3415,0.039994,0.023482,0.002970,0.108137
9174000,1.3415,0.039994,0.023482,0.002970,0.115514
9175000,1.3415,0.039994,0.023482,0.002970,0.121751
9176000,1.3415,0.039994,0.023482,0.002970,0.116692
9177000,1.3415,0.039994,0.023482,0.002970,0.115978
9178000,1.3415,0.039994,0.023482,0.002970,0.114808
9179000,1.3415,0.039994,0.023482,0.002970,0.114966
9180000,1.3415,0.039994,0.023482,0.002970,0.129331
9181000,1.3415,0.039994,0.023482,0.002970,0.108983
9182000,1.3415,0.039994,0.023482,0.002970,0.111708
9183000,1.3415,0.039994,0.023482,0.002970,0.118865
9184000,1.3415,0.039994,0.023482,0.002970,0.118674
9185000,1.3415,0.039994,0.023482,0.002970,0.118200
9186000,1.3415,0.039994,0.023482,0.002970,0.115987
9187000,1.3415,0.039994,0.023482,0.002970,0.111222
9188000,1.3415,0.039994,0.023482,0.002970,0.108576
9189000,1.3415,0.039994,0.023482,0.002970,0.113682
9190000,1.3415,0.039994,0.023482,0.002970,0.114587
9191000,1.3415,0.039994,0.023482,0.002970,0.114401
9192000,1.3415,0.039994,0.023482,0.002970,0.109209
9193000,1.3415,0.039994,0.023482,0.002970,0.114036
9194000,1.3415,0.039994,0.023482,0.002970,0.106020
9195000,1.3415,0.039994,0.023482,0.002970,0.116985
9196000,1.3415,0.039994,0.023482,0.002970,0.109939
9197000,1.3415,0.039994,0.023482,0.002970,0.108830
9198000,1.3415,0.039994,0.023482,0.002970,0.111683
9199000,1.3415,0.039994,0.023482,0.002970,0.101190
9200000,1.3415,0.039994,0.023482,0.002970,0.099475
9201000,1.3415,0.039994,0.023482,0.002970,0.111736
9202000,1.3415,0.039994,0.023482,0.002970,0.105857
9203000,1.3415,0.039994,0.023482,0.002970,0.109879
9204000,1.3415,0.039994,0.023482,0.002970,0.106354
9205000,1.3415,0.039994,0.023482,0.002970,0.107912
9206000,1.3415,0.039994,0.023482,0.002970,0.106903
9207000,1.3415,0.039994,0.023482,0.002970,0.113326
9208000,1.3415,0.039994,0.023482,0.002970,0.111617
9209000,1.3415,0.039994,0.023482,0.002970,0.104473
9210000,1.3415,0.039994,0.023482,0.002970,0.106655
9211000,1.3415,0.039994,0.023482,0.002970,0.107934
9212000,1.3415,0.039994,0.023482,0.002970,0.113062
9213000,1.3415,0.039994,0.023482,0.002970,0.109834
9214000,1.3415,0.039994,0.023482,0.002970,0.111637
9215000,1.3415,0.039994,0.023482,0.002970,0.113153
9216000,1.3415,0.039994,0.023482,0.002970,0.112490
9217000,1.3415,0.039994,0.023482,0.002970,0.106496
9218000,1.3415,0.039994,0.023482,0.002970,0.107422
9219000,1.3415,0.039994,0.023482,0.002970,0.108926
9220000,1.3415,0.039994,0.023482,0.002970,0.111521
9221000,1.3415,0.039994,0.023482,0.002970,0.110958
9222000,1.3415,0.039994,0.023482,0.002970,0.107661
9223000,1.3415,0.039994,0.023482,0.002970,0.105816
9224000,1.3415,0.039994,0.023482,0.002970,0.117059
9225000,1.3415,0.039994,0.023482,0.002970,0.104034
9226000,1.3415,0.039994,0.023482,0.002970,0.107858
9227000,1.3415,0.039994,0.023482,0.002970,0.106099
9228000,1.3415,0.039994,0.023482,0.002970,0.111569
9229000,1.3415,0.039994,0.023482,0.002970,0.107613
9230000,1.3415,0.039994,0.023482,0.002970,0.106017
9231000,1.3415,0.039994,0.023482,0.002970,0.110187
9232000,1.3415,0.039994,0.023482,0.002970,0.103765
9233000,1.3415,0.039994,0.023482,0.002970,0.107437
9234000,1.3415,0.039994,0.023482,0.002970,0.106494
9235000,1.3415,0.039994,0.023482,0.002970,0.101140
9236000,1.3415,0.039994,0.023482,0.002970,0.113120
9237000,1.3415,0.039994,0.023482,0.002970,0.104510
9238000,1.3415,0.039994,0.023482,0.002970,0.102470
9239000,1.3415,0.039994,0.023482,0.002970,0.102630
9240000,1.3415,0.039994,0.023482,0.002970,0.103857
9241000,1.3415,0.039994,0.023482,0.002970,0.107276
9242000,1.3415,0.039994,0.023482,0.002970,0.099905
9243000,1.3415,0.039994,0.023482,0.002970,0.098930
9244000,1.3415,0.039994,0.023482,0.002970,0.112616
9245000,1.3415,0.039994,0.023482,0.002970,0.099246
9246000,1.3415,0.039994,0.023482,0.002970,0.094329
9247000,1.3415,0.039994,0.023482,0.002970,0.101824
9248000,1.3415,0.039994,0.023482,0.002970,0.103442
9249000,1.3415,0.039994,0.023482,0.002970,0.102123
9250000,1.3415,0.039994,0.023482,0.002970,0.098909
9251000,1.3415,0.039994,0.023482,0.002970,0.092181
9252000,1.3415,0.039994,0.023482,0.002970,0.089102
9253000,1.3415,0.039994,0.023482,0.002970,0.095498
9254000,1.3415,0.039994,0.023482,0.002970,0.100587
9255000,1.3415,0.039994,0.023482,0.002970,0.086236
9256000,1.3415,0.039994,0.023482,0.002970,0.100030
9257000,1.3415,0.039994,0.023482,0.002970,0.091644
9258000,1.3415,0.039994,0.023482,0.002970,0.084298
9259000,1.3415,0.039994,0.023482,0.002970,0.098991
9260000,1.3415,0.039994,0.023482,0.002970,0.096853
9261000,1.3415,0.039994,0.023482,0.002970,0.100485
9262000,1.3415,0.039994,0.023482,0.002970,0.085474
9263000,1.3415,0.039994,0.023482,0.002970,0.093238
9264000,1.3415,0.039994,0.023482,0.002970,0.090026
9265000,1.3415,0.039994,0.023482,0.002970,0.099698
9266000,1.3415,0.039994,0.023482,0.002970,0.102511
9267000,1.3415,0.039994,0.023482,0.002970,0.093886
9268000,1.3415,0.039994,0.023482,0.002970,0.076325
9269000,1.3415,0.039994,0.023482,0.002970,0.083835
9270000,1.3415,0.039994,0.023482,0.002970,0.102874
9271000,1.3415,0.039994,0.023482,0.002970,0.093815
9272000,1.3415,0.039994,0.023482,0.002970,0.088991
9273000,1.3415,0.039994,0.023482,0.002970,0.087613
9274000,1.3415,0.039994,0.023482,0.002970,0.079716
9275000,1.3415,0.039994,0.023482,0.002970,0.077176
9276000,1.3415,0.039994,0.023482,0.002970,0.088794
9277000,1.3415,0.039994,0.023482,0.002970,0.096016
9278000,1.3415,0.039994,0.023482,0.002970,0.091695
9279000,1.3415,0.039994,0.023482,0.002970,0.098171
9280000,1.3415,0.039994,0.023482,0.002970,0.083414
9281000,1.3415,0.039994,0.023482,0.002970,0.076448
9282000,1.3415,0.039994,0.023482,0.002970,0.082388
9283000,1.3415,0.039994,0.023482,0.002970,0.081136
9284000,1.3415,0.039994,0.023482,0.002970,0.084486
9285000,1.3415,0.039994,0.023482,0.002970,0.084496
9286000,1.3415,0.039994,0.023482,0.002970,0.093146
9287000,1.3415,0.039994,0.023482,0.002970,0.089942
9288000,1.3415,0.039994,0.023482,0.002970,0.077849
9289000,1.3415,0.039994,0.023482,0.002970,0.088145
9290000,1.3415,0.039994,0.023482,0.002970,0.085706
9291000,1.3415,0.039994,0.023482,0.002970,0.088918
9292000,1.3415,0.039994,0.023482,0.002970,0.084830
9293000,1.3415,0.039994,0.023482,0.002970,0.090220
9294000,1.3415,0.039994,0.023482,0.002970,0.096137
9295000,1.3415,0.039994,0.023482,0.002970,0.086501
9296000,1.3415,0.039994,0.023482,0.002970,0.088314
9297000,1.3415,0.039994,0.023482,0.002970,0.089178
9298000,1.3415,0.039994,0.023482,0.002970,0.092674
9299000,1.3415,0.039994,0.023482,0.002970,0.084814
9300000,1.3415,0.039994,0.023482,0.002970,0.078513
9301000,1.3415,0.039994,0.023482,0.002970,0.079525
9302000,1.3415,0.039994,0.023482,0.002970,0.083893
9303000,1.3415,0.039994,0.023482,0.002970,0.088823
9304000,1.3415,0.039994,0.023482,0.002970,0.092170
9305000,1.3415,0.039994,0.023482,0.002970,0.084155
