Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
13000000,8.6440,0.261844,0.058609,0.079322,0.151839
13001000,8.6440,0.261844,0.058609,0.079322,0.153091
13002000,8.6440,0.261844,0.058609,0.079322,0.151839
13003000,8.6440,0.261844,0.058609,0.079322,0.152826
13004000,8.6440,0.261844,0.058609,0.079322,0.152501
13005000,8.6440,0.261844,0.058609,0.079322,0.151588
13006000,8.6440,0.261844,0.058609,0.079322,0.150492
13007000,8.6440,0.261844,0.058609,0.079322,0.151839
13008000,8.6440,0.261844,0.058609,0.079322,0.152919
13009000,8.6440,0.261844,0.058609,0.079322,0.153178
13010000,8.6440,0.261844,0.058609,0.079322,0.151839
13011000,8.6440,0.261844,0.058609,0.079322,0.151868
13012000,8.6440,0.261844,0.058609,0.079322,0.150940
13013000,8.6440,0.261844,0.058609,0.079322,0.151839
13014000,8.6440,0.261844,0.058609,0.079322,0.152501
13015000,8.6440,0.261844,0.058609,0.079322,0.151868
13016000,8.6440,0.261844,0.058609,0.079322,0.151861
13017000,8.6440,0.261844,0.058609,0.079322,0.152163
13018000,8.6440,0.261844,0.058609,0.079322,0.151839
13019000,8.6440,0.261844,0.058609,0.079322,0.151875
13020000,8.6440,0.261844,0.058609,0.079322,0.151955
13021000,8.6440,0.261844,0.058609,0.079322,0.153149
13022000,8.6440,0.261844,0.058609,0.079322,0.151839
13023000,8.6440,0.261844,0.058609,0.079322,0.151140
13024000,8.6440,0.261844,0.058609,0.079322,0.152508
13025000,8.6440,0.261844,0.058609,0.079322,0.152870
13026000,8.6440,0.261844,0.058609,0.079322,0.151508
13027000,8.6440,0.261844,0.058609,0.079322,0.151861
13028000,8.6440,0.261844,0.058609,0.079322,0.151868
13029000,8.6440,0.261844,0.058609,0.079322,0.151839
13030000,8.6440,0.261844,0.058609,0.079322,0.153121
13031000,8.6440,0.261844,0.058609,0.079322,0.153215
13032000,8.6440,0.261844,0.058609,0.079322,0.151140
13033000,8.6440,0.261844,0.058609,0.079322,0.151875
13034000,8.6440,0.261844,0.058609,0.079322,0.152863
13035000,8.6440,0.261844,0.058609,0.079322,0.152473
13036000,8.6440,0.261844,0.058609,0.079322,0.151861
13037000,8.6440,0.261844,0.058609,0.079322,0.152480
13038000,8.6440,0.261844,0.058609,0.079322,0.151868
13039000,8.6440,0.261844,0.058609,0.079322,0.151861
13040000,8.6440,0.261844,0.058609,0.079322,0.154151
13041000,8.6440,0.261844,0.058609,0.079322,0.151522
13042000,8.6440,0.261844,0.058609,0.079322,0.151774
13043000,8.6440,0.261844,0.058609,0.079322,0.153215
13044000,8.6440,0.261844,0.058609,0.079322,0.151213
13045000,8.6440,0.261844,0.058609,0.079322,0.152228
13046000,8.6440,0.261844,0.058609,0.079322,0.151839
13047000,8.6440,0.261844,0.058609,0.079322,0.151838
13048000,8.6440,0.261844,0.058609,0.079322,0.152517
13049000,8.6440,0.261844,0.058609,0.079322,0.152559
13050000,8.6440,0.261844,0.058609,0.079322,0.152271
13051000,8.6440,0.261844,0.058609,0.079322,0.151774
13052000,8.6440,0.261844,0.058609,0.079322,0.152494
13053000,8.6440,0.261844,0.058609,0.079322,0.151896
13054000,8.6440,0.261844,0.058609,0.079322,0.154065
13055000,8.6440,0.261844,0.058609,0.079322,0.151839
13056000,8.6440,0.261844,0.058609,0.079322,0.151868
13057000,8.6440,0.261844,0.058609,0.079322,0.151904
13058000,8.6440,0.261844,0.058609,0.079322,0.151861
