Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,23.8212,1.028147,0.538949,0.086720,6.629015
1001000,23.8212,1.028147,0.538949,0.086720,8.327765
1002000,23.8212,1.028147,0.538949,0.086720,8.237552
1003000,23.8212,1.028147,0.538949,0.086720,7.761447
1004000,23.8212,1.028147,0.538949,0.086720,5.893106
1005000,23.8212,1.028147,0.538949,0.086720,6.598162
1006000,23.8212,1.028147,0.538949,0.086720,6.998239
1007000,23.8212,1.028147,0.538949,0.086720,7.064466
1008000,23.8212,1.028147,0.538949,0.086720,8.073102
1009000,23.8212,1.028147,0.538949,0.086720,7.638389
1010000,23.8212,1.028147,0.538949,0.086720,5.993482
1011000,23.8212,1.028147,0.538949,0.086720,7.243549
1012000,23.8212,1.028147,0.538949,0.086720,6.022432
1013000,23.8212,1.028147,0.538949,0.086720,7.148896
1014000,23.8212,1.028147,0.538949,0.086720,6.930908
1015000,23.8212,1.028147,0.538949,0.086720,7.219221
1016000,23.8212,1.028147,0.538949,0.086720,7.232251
1017000,23.8212,1.028147,0.538949,0.086720,8.025183
1018000,23.8212,1.028147,0.538949,0.086720,7.051984
1019000,23.8212,1.028147,0.538949,0.086720,6.609688
1020000,23.8212,1.028147,0.538949,0.086720,7.430475
1021000,23.8212,1.028147,0.538949,0.086720,6.391395
1022000,23.8212,1.028147,0.538949,0.086720,6.400074
1023000,23.8212,1.028147,0.538949,0.086720,7.102103
1024000,23.8212,1.028147,0.538949,0.086720,7.346946
1025000,23.8212,1.028147,0.538949,0.086720,7.091502
1026000,23.8212,1.028147,0.538949,0.086720,6.161215
1027000,23.8212,1.028147,0.538949,0.086720,7.235485
1028000,23.8212,1.028147,0.538949,0.086720,7.012343
1029000,23.8212,1.028147,0.538949,0.086720,6.525309
1030000,23.8212,1.028147,0.538949,0.086720,6.331465
1031000,23.8212,1.028147,0.538949,0.086720,6.752903
1032000,23.8212,1.028147,0.538949,0.086720,7.307342
1033000,23.8212,1.028147,0.538949,0.086720,7.324448
1034000,23.8212,1.028147,0.538949,0.086720,7.390098
1035000,23.8212,1.028147,0.538949,0.086720,6.739053
1036000,23.8212,1.028147,0.538949,0.086720,6.321447
1037000,23.8212,1.028147,0.538949,0.086720,7.077364
1038000,23.8212,1.028147,0.538949,0.086720,7.138952
1039000,23.8212,1.028147,0.538949,0.086720,7.281042
1040000,23.8212,1.028147,0.538949,0.086720,8.161544
1041000,23.8212,1.028147,0.538949,0.086720,6.916592
1042000,23.8212,1.028147,0.538949,0.086720,7.785532
1043000,23.8212,1.028147,0.538949,0.086720,7.705670
1044000,23.8212,1.028147,0.538949,0.086720,8.012007
1045000,23.8212,1.028147,0.538949,0.086720,8.173417
1046000,23.8212,1.028147,0.538949,0.086720,6.810526
1047000,23.8212,1.028147,0.538949,0.086720,5.869244
