Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,1.3415,0.039994,0.023482,0.002970,0.095263
200,1.3415,0.039994,0.023482,0.002970,0.092488
300,1.3415,0.039994,0.023482,0.002970,0.092488
400,1.3415,0.039994,0.023482,0.002970,0.092488
500,1.3415,0.039994,0.023482,0.002970,0.092488
600,1.3415,0.039994,0.023482,0.002970,0.092488
700,1.3415,0.039994,0.023482,0.002970,0.092488
800,1.3415,0.039994,0.023482,0.002970,0.092488
900,1.3415,0.039994,0.023482,0.002970,0.092488
1000,1.3415,0.039994,0.023482,0.002970,0.092488
1100,1.3415,0.039994,0.023482,0.002970,0.092488
1200,1.3415,0.039994,0.023482,0.002970,0.092488
1300,1.3415,0.039994,0.023482,0.002970,0.092488
1400,1.3415,0.039994,0.023482,0.002970,0.092488
1500,1.3415,0.039994,0.023482,0.002970,0.092488
1600,1.3415,0.039994,0.023482,0.002970,0.092488
1700,1.3415,0.039994,0.023482,0.002970,0.092488
1800,1.3415,0.039994,0.023482,0.002970,0.092488
1900,1.3415,0.039994,0.023482,0.002970,0.092488
2000,1.3415,0.039994,0.023482,0.002970,0.092488
2100,1.3415,0.039994,0.023482,0.002970,0.092488
2200,1.3415,0.039994,0.023482,0.002970,0.092488
2300,1.3415,0.039994,0.023482,0.002970,0.092488
2400,1.3415,0.039994,0.023482,0.002970,0.092488
2500,1.3415,0.039994,0.023482,0.002970,0.092488
2600,1.3415,0.039994,0.023482,0.002970,0.092488
2700,1.3415,0.039994,0.023482,0.002970,0.092488
2800,1.3415,0.039994,0.023482,0.002970,0.092488
2900,1.3415,0.039994,0.023482,0.002970,0.092488
3000,1.3415,0.039994,0.023482,0.002970,0.092488
3100,1.3415,0.039994,0.023482,0.002970,0.092488
3200,1.3415,0.039994,0.023482,0.002970,0.092488
3300,1.3415,0.039994,0.023482,0.002970,0.092488
3400,1.3415,0.039994,0.023482,0.002970,0.092488
3500,1.3415,0.039994,0.023482,0.002970,0.092488
3600,1.3415,0.039994,0.023482,0.002970,0.092488
3700,1.3415,0.039994,0.023482,0.002970,0.092488
3800,1.3415,0.039994,0.023482,0.002970,0.092488
3900,1.3415,0.039994,0.023482,0.002970,0.092488
4000,1.3415,0.039994,0.023482,0.002970,0.092488
4100,1.3415,0.039994,0.023482,0.002970,0.092488
4200,1.3415,0.039994,0.023482,0.002970,0.092488
4300,1.3415,0.039994,0.023482,0.002970,0.092488
4400,1.3415,0.039994,0.023482,0.002970,0.092488
4500,1.3415,0.039994,0.023482,0.002970,0.092488
4600,1.3415,0.039994,0.023482,0.002970,0.092488
4700,1.3415,0.039994,0.023482,0.002970,0.092488
4800,1.3415,0.039994,0.023482,0.002970,0.092488
4900,1.3415,0.039994,0.023482,0.002970,0.092488
5000,1.3415,0.039994,0.023482,0.002970,0.092488
5100,1.3415,0.039994,0.023482,0.002970,0.115572
5200,1.3415,0.039994,0.023482,0.002970,0.092488
5300,1.3415,0.039994,0.023482,0.002970,0.092488
5400,1.3415,0.039994,0.023482,0.002970,0.101484
5500,1.3415,0.039994,0.023482,0.002970,0.092488
5600,1.3415,0.039994,0.023482,0.002970,0.093023
5700,1.3415,0.039994,0.023482,0.002970,0.092488
5800,1.3415,0.039994,0.023482,0.002970,0.092488
5900,1.3415,0.039994,0.023482,0.002970,0.092560
