cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,31,1,0,0,31
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,0,0,32,117,67,0
5800,0,0,0,9,29,0
5900,0,13,34,22,4,13
6000,0,70,84,129,17,70
6100,0,41,86,144,13,41
6200,0,5,20,175,3,5
6300,0,28,28,110,13,28
6400,2,39,38,228,10,39
6500,1,7,53,202,5,7
6600,2,40,34,121,13,40
6700,1,30,38,262,13,30
6800,2,31,40,155,22,31
6900,4,18,49,208,10,18
7000,0,15,56,147,8,15
7100,1,2,46,151,3,2
7200,0,3,49,281,1,3
7300,1,3,46,156,9,3
7400,1,1,47,192,9,1
7500,1,13,42,216,10,13
7600,0,13,52,120,11,13
7700,29,0,45,184,16,0
7800,80,32,30,30,29,32
7900,34,30,46,144,14,30
8000,38,7,39,215,8,7
8100,32,4,37,163,10,4
8200,16,2,63,142,6,2
8300,2,2,68,136,1,2
8400,0,0,82,240,0,0
8500,0,0,59,146,2,0
8600,3,0,35,245,2,0
8700,0,0,13,177,0,0
8800,0,0,11,218,0,0
8900,0,0,12,102,1,0
9000,0,0,16,274,0,0
9100,1,0,25,223,1,0
9200,0,0,18,341,3,0
9300,0,0,25,201,1,0
9400,0,1,33,148,0,1
9500,0,0,43,201,0,0
9600,0,0,29,262,3,0
9700,2,1,45,192,4,1
9800,2,2,41,147,0,2
9900,2,1,45,171,3,1
10000,2,1,39,292,1,1
10100,1,2,45,154,4,2
10200,4,0,42,169,4,0
10300,6,1,40,212,13,1
10400,3,3,44,252,10,3
10500,5,5,38,176,10,5
10600,6,6,22,33,9,6
10700,3,2,8,0,9,2
10800,4,0,14,0,4,0
10900,17,2,36,0,17,2
11000,10,3,49,18,13,3
11100,30,16,34,72,53,16
11200,10,9,59,55,26,9
11300,24,15,26,0,22,15
11400,22,6,23,0,17,6
11500,1,0,66,44,0,0
11600,8,0,19,0,9,0
11700,7,1,72,60,4,1
11800,6,0,80,35,1,0
11900,6,0,78,42,5,0
12000,8,0,35,10,4,0
12100,5,0,44,0,4,0
12200,12,2,74,10,10,2
12300,2,3,42,0,3,3
12400,7,5,30,0,8,5
12500,13,3,45,0,18,3
12600,12,5,45,10,22,5
12700,10,2,24,0,6,2
12800,1,1,32,0,1,1
12900,22,0,34,2,11,0
13000,4,0,16,0,4,0
13100,11,1,28,0,4,1
13200,8,1,40,0,6,1
13300,6,0,33,0,8,0
13400,7,0,21,0,0,0
13500,17,0,31,0,3,0
13600,10,0,50,0,8,0
13700,7,0,32,0,7,0
13800,22,0,41,0,6,0
13900,17,1,34,0,6,1
14000,24,0,65,0,9,0
14100,26,1,36,3,12,1
14200,29,2,58,0,8,2
14300,14,0,51,39,9,0
14400,12,2,53,18,10,2
14500,18,2,70,31,8,2
14600,8,0,67,22,14,0
14700,4,1,56,79,1,1
14800,5,8,71,155,4,8
14900,14,0,53,87,5,0
15000,7,0,52,190,6,0
15100,10,1,40,247,8,1
15200,9,2,41,146,10,2
15300,9,4,50,113,9,4
15400,6,2,55,236,6,2
15500,11,3,40,187,9,3
15600,6,4,38,172,12,4
15700,3,0,45,195,4,0
15800,5,1,72,172,2,1
15900,5,2,59,145,6,2
16000,10,0,40,270,7,0
16100,3,0,51,201,9,0
16200,2,0,67,137,2,0
16300,14,2,58,249,11,2
16400,6,0,57,130,4,0
16500,10,4,56,262,8,4
16600,1,1,47,180,9,1
16700,5,1,53,163,8,1
16800,12,6,48,150,7,6
16900,9,3,43,230,6,3
17000,11,0,51,18,11,0
17100,1,0,53,32,3,0
17200,8,0,77,55,11,0
17300,7,1,45,273,7,1
17400,7,2,52,192,5,2
17500,5,2,56,165,4,2
17600,8,2,55,210,7,2
17700,7,0,42,206,8,0
17800,6,2,44,102,6,2
17900,5,1,57,50,6,1
18000,3,0,47,210,4,0
18100,9,3,47,21,5,3
18200,5,0,55,9,9,0
18300,9,3,62,97,4,3
18400,3,2,40,195,2,2
18500,2,0,66,74,4,0
18600,8,0,49,185,3,0
18700,12,2,34,0,8,2
18800,0,1,26,0,0,1
18900,2,0,37,1,5,0
19000,14,3,67,29,10,3
19100,2,2,38,1,6,2
