cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,0,0,0,0,0,0
5800,0,0,0,0,0,0
5900,49,0,0,0,0,0
6000,78,0,0,0,0,0
6100,33,0,27,0,1,0
6200,14,8,30,0,30,8
6300,16,12,17,0,27,12
6400,13,19,20,0,42,19
6500,17,22,7,0,31,22
6600,23,15,6,8,25,15
6700,24,15,7,0,25,15
6800,33,17,3,0,28,17
6900,32,27,3,0,24,27
7000,32,18,0,0,24,18
7100,36,13,5,0,9,13
7200,43,11,2,0,14,11
7300,52,7,0,0,14,7
7400,59,15,0,0,19,15
7500,50,3,1,0,6,3
7600,54,1,0,0,7,1
7700,58,1,0,0,5,1
7800,60,0,0,0,7,0
7900,65,0,1,0,5,0
8000,65,0,0,0,5,0
8100,66,1,4,0,1,1
8200,54,0,9,0,3,0
8300,31,1,28,0,1,1
8400,34,3,37,0,11,3
8500,24,2,31,0,14,2
8600,14,8,29,0,11,8
8700,14,7,29,0,21,7
8800,22,10,21,0,15,10
8900,10,6,11,0,8,6
9000,2,2,12,0,6,2
9100,4,3,7,0,9,3
9200,7,3,6,0,5,3
9300,7,2,3,0,7,2
9400,12,7,12,0,19,7
9500,13,7,13,0,15,7
9600,23,7,8,0,22,7
9700,14,6,6,43,17,6
9800,22,16,18,0,21,16
9900,3,0,2,0,6,0
10000,43,7,15,0,24,7
10100,46,3,8,0,14,3
10200,34,2,3,0,12,2
10300,47,1,3,0,7,1
10400,34,2,3,0,7,2
10500,68,0,3,0,6,0
10600,46,0,0,0,3,0
10700,41,0,1,0,1,0
10800,49,0,0,0,2,0
10900,32,0,0,0,2,0
11000,59,0,0,0,1,0
11100,65,0,0,0,0,0
11200,68,0,1,0,1,0
11300,67,0,0,0,4,0
11400,65,0,0,0,2,0
11500,63,0,1,0,2,0
11600,72,0,1,0,2,0
11700,73,0,0,0,2,0
11800,48,0,0,0,3,0
11900,66,0,0,0,2,0
12000,69,0,0,0,7,0
12100,56,0,1,0,3,0
12200,66,0,0,0,6,0
12300,87,0,1,0,2,0
12400,75,0,0,0,4,0
12500,61,0,0,0,2,0
12600,81,0,1,0,2,0
12700,58,0,3,0,2,0
12800,67,0,1,0,2,0
12900,44,0,2,0,1,0
13000,43,0,1,0,3,0
13100,26,0,3,0,6,0
13200,29,0,1,0,6,0
13300,38,0,3,0,7,0
13400,32,0,4,0,7,0
13500,35,0,1,0,5,0
13600,46,0,4,0,8,0
13700,51,0,2,0,5,0
13800,47,0,1,0,3,0
13900,38,0,1,0,4,0
14000,46,0,3,0,8,0
14100,58,0,1,0,6,0
14200,54,0,1,0,4,0
14300,49,0,1,0,3,0
14400,64,0,2,0,5,0
14500,68,0,3,0,11,0
14600,72,0,1,0,5,0
14700,76,0,1,0,7,0
14800,57,0,1,0,8,0
14900,57,0,0,0,5,0
15000,62,0,1,0,3,0
15100,70,0,1,0,2,0
15200,61,0,1,0,0,0
15300,75,0,2,0,7,0
15400,54,0,0,0,4,0
15500,66,0,0,0,5,0
15600,55,0,2,0,5,0
15700,86,0,1,0,8,0
15800,82,0,1,0,5,0
15900,63,0,0,0,3,0
16000,63,0,0,0,4,0
16100,57,0,0,0,4,0
16200,47,0,0,0,1,0
16300,64,0,1,0,2,0
16400,61,0,0,0,2,0
16500,56,0,1,0,2,0
16600,55,0,1,0,3,0
16700,72,0,3,0,1,0
16800,61,0,1,0,2,0
16900,69,0,0,0,7,0
17000,70,0,0,0,1,0
17100,76,0,1,0,3,0
17200,74,0,1,0,2,0
17300,76,0,0,0,2,0
17400,66,0,0,0,4,0
17500,60,0,0,0,2,0
17600,68,0,0,0,4,0
17700,56,0,0,0,5,0
17800,61,0,0,0,6,0
17900,68,0,1,0,4,0
18000,57,0,0,0,5,0
18100,76,0,0,0,1,0
18200,77,0,0,0,1,0
18300,72,0,2,0,5,0
18400,73,0,0,0,1,0
18500,61,0,1,0,5,0
18600,71,0,0,0,2,0
18700,78,0,0,0,4,0
18800,62,0,0,0,4,0
18900,60,0,1,0,3,0
19000,70,0,1,0,1,0
19100,62,0,1,0,4,0
