cycle,pc,cta_id,cluster_id,warp_id,tid
5005,0,19,24,3,ffffffff
5006,0,19,24,4,ffffffff
5007,0,19,24,2,ffffffff
5008,0,49,24,8,ffffffff
5009,0,19,24,5,ffffffff
5010,0,19,24,6,ffffffff
5011,0,19,24,7,ffffffff
5012,0,49,24,9,ffffffff
5013,0,49,24,11,ffffffff
5014,0,49,24,12,ffffffff
5015,0,49,24,14,ffffffff
5016,8,19,24,3,ffffffff
5017,8,19,24,4,ffffffff
5018,0,19,24,1,ffffffff
5019,8,19,24,2,ffffffff
5020,8,19,24,7,ffffffff
5021,8,49,24,8,ffffffff
5022,8,19,24,5,ffffffff
5023,8,19,24,6,ffffffff
5024,8,49,24,11,ffffffff
5025,8,49,24,12,ffffffff
5026,8,49,24,9,ffffffff
5027,8,49,24,10,ffffffff
5028,8,49,24,15,ffffffff
5029,8,19,24,0,ffffffff
5030,8,49,24,13,ffffffff
5031,8,49,24,14,ffffffff
5032,10,19,24,3,ffffffff
5033,10,19,24,4,ffffffff
5034,8,19,24,1,ffffffff
5035,10,19,24,2,ffffffff
5036,10,19,24,7,ffffffff
5037,10,49,24,8,ffffffff
5038,10,19,24,5,ffffffff
5039,10,19,24,6,ffffffff
5040,10,49,24,11,ffffffff
5041,10,49,24,12,ffffffff
5042,10,49,24,9,ffffffff
5043,10,49,24,10,ffffffff
5044,18,19,24,3,ffffffff
5044,10,49,24,15,ffffffff
5045,18,19,24,4,ffffffff
5045,0,49,24,15,ffffffff
5046,10,19,24,0,ffffffff
5047,18,19,24,2,ffffffff
5047,0,19,24,0,ffffffff
5048,10,49,24,13,ffffffff
5049,10,49,24,14,ffffffff
5050,0,49,24,10,ffffffff
5051,10,19,24,1,ffffffff
5052,18,19,24,5,ffffffff
5052,18,19,24,7,ffffffff
5052,18,49,24,8,ffffffff
5052,18,19,24,6,ffffffff
5052,0,49,24,13,ffffffff
5053,18,49,24,12,ffffffff
5053,18,49,24,9,ffffffff
5053,18,49,24,10,ffffffff
5053,18,49,24,11,ffffffff
5054,18,49,24,13,ffffffff
5054,20,19,24,2,ffffffff
