cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5,ipc-6,ipc-7,ipc-8,ipc-9,ipc-10,ipc-11,ipc-12,ipc-13,ipc-14,ipc-15,ipc-16,ipc-17,ipc-18,ipc-19,ipc-20,ipc-21,ipc-22,ipc-23,ipc-24,ipc-25,ipc-26,ipc-27,ipc-28,ipc-29
5000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5100,40.000,41.280,42.240,40.000,41.600,44.160,44.800,44.800,44.800,44.160,44.800,45.120,44.800,44.160,44.160,44.800,44.800,44.160,44.160,44.160,44.160,44.800,44.800,44.160,41.280,42.240,41.280,41.920,42.240,43.520
5200,52.160,50.880,49.920,52.160,50.560,46.720,48.640,48.640,48.640,46.720,48.640,40.960,48.640,44.160,46.720,48.640,48.640,44.160,44.160,46.720,44.160,48.640,48.640,41.280,50.880,49.920,50.880,50.240,49.920,48.640
5300,0.000,0.000,0.000,0.000,0.000,47.360,44.800,44.800,44.800,47.360,44.800,52.160,44.800,49.920,47.360,44.800,44.800,49.920,49.920,47.360,49.920,44.800,44.800,52.800,0.000,0.000,0.000,0.000,0.000,0.000
5400,4.160,8.960,0.000,3.200,17.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.560,0.960,9.600,5.120,0.640,0.320
5500,36.800,32.000,40.960,37.760,23.680,16.320,29.440,28.800,28.160,28.160,25.920,15.360,25.920,25.600,24.960,23.360,22.400,21.440,21.440,21.120,18.560,17.280,16.640,15.680,30.400,40.000,31.360,35.840,40.320,40.640
5600,0.000,0.000,0.000,0.000,0.000,45.120,32.000,32.640,33.280,33.280,35.520,46.080,35.520,35.840,36.480,38.080,39.040,40.000,40.000,40.320,42.880,44.160,44.800,41.590,0.000,0.000,0.000,0.000,0.000,0.000
5700,5.120,6.400,3.200,4.480,7.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.400,4.480,5.760,5.440,3.520,4.160
5800,6.400,6.720,12.160,5.440,7.360,4.160,6.080,5.120,5.120,7.680,6.080,6.400,5.120,5.120,7.680,6.720,4.480,5.760,4.480,4.480,5.120,4.160,4.800,3.520,7.360,10.880,9.600,7.040,9.920,5.120
5900,0.000,0.000,0.000,5.440,0.960,8.640,14.080,17.280,14.400,6.720,8.320,6.720,17.920,9.280,7.360,6.080,16.640,9.280,11.200,8.320,9.920,13.120,14.720,6.720,0.960,0.000,0.000,0.000,0.000,6.080
6000,3.840,0.000,0.000,0.000,0.000,3.840,0.000,0.320,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.760,4.160,2.560,0.640,0.000,0.640,5.330,0.000,0.000,0.000,2.880,1.920,0.000
6100,0.000,2.240,0.000,0.000,0.640,6.400,0.320,0.000,0.320,8.640,7.680,9.920,0.000,8.640,0.000,10.240,0.320,0.000,0.640,0.960,0.000,0.000,0.000,1.380,0.000,0.000,0.000,0.000,0.000,0.000
6200,0.000,3.400,1.840,0.000,2.220,0.000,0.000,0.000,0.320,0.000,0.320,0.000,0.000,0.000,6.720,0.000,0.000,0.000,0.000,0.000,5.440,0.000,0.000,0.000,2.460,0.000,0.640,0.640,1.280,2.030
6300,0.000,0.000,1.660,1.630,0.840,0.000,0.000,0.000,0.000,0.000,0.640,0.000,0.000,0.000,0.000,0.000,0.320,0.000,0.000,6.720,0.000,0.000,0.320,0.000,2.220,1.280,0.670,1.330,2.680,1.870
6400,3.120,2.580,3.760,6.110,1.280,0.000,0.960,0.000,0.960,0.000,0.320,0.000,0.320,0.640,0.640,0.640,0.320,0.320,0.000,0.000,0.960,5.120,0.960,0.000,1.240,5.620,2.870,1.110,1.420,0.320
6500,3.370,4.180,4.990,0.640,2.380,4.060,4.960,0.640,1.600,2.180,0.320,0.000,0.640,1.280,0.960,0.320,0.640,2.240,3.200,2.800,1.280,3.620,0.640,1.280,8.040,2.160,5.120,3.740,3.980,3.860
6600,6.240,3.160,1.890,8.440,3.100,1.280,1.280,1.920,2.240,4.580,2.240,2.880,0.960,0.640,2.560,1.920,1.280,0.640,2.240,3.280,1.280,2.880,4.160,2.560,1.800,7.060,3.960,8.520,3.500,7.030
6700,6.330,6.640,3.200,5.920,7.780,1.600,2.560,1.280,0.000,1.920,0.960,1.280,2.560,1.280,1.920,0.640,1.600,2.880,1.920,1.600,4.220,2.240,2.920,16.300,9.040,4.120,6.250,5.560,4.140,2.030
6800,7.400,6.770,0.960,1.580,3.180,0.000,0.640,1.280,4.710,0.320,1.280,0.320,0.320,1.280,0.640,1.600,5.150,1.600,0.320,0.580,0.320,0.320,9.200,3.120,7.400,0.960,7.890,5.420,8.380,0.320
6900,6.880,8.720,4.390,0.640,1.920,1.920,0.640,0.320,0.320,0.620,1.920,1.280,0.320,1.600,0.000,0.960,19.390,0.320,17.480,0.320,0.640,0.640,10.880,0.640,2.780,3.180,0.960,8.690,5.460,4.160
7000,4.720,6.750,23.060,11.600,13.470,13.270,1.600,1.600,7.080,7.680,0.000,0.640,1.280,20.080,0.640,0.960,0.640,22.310,7.940,2.560,0.960,20.500,4.160,3.460,6.180,2.880,5.520,2.190,11.580,9.100
7100,11.590,7.280,6.210,13.850,13.620,13.250,22.670,19.020,12.190,20.960,7.020,18.260,25.600,3.260,21.600,28.650,1.920,4.910,6.450,28.750,22.260,10.880,3.660,13.930,13.600,19.430,19.660,14.340,9.780,22.060
7200,4.230,2.140,2.280,3.730,3.930,0.960,9.500,3.560,5.730,5.580,22.760,10.900,0.960,2.630,7.780,2.170,8.280,0.560,1.850,1.470,1.750,6.990,12.500,7.490,1.530,5.850,0.000,3.070,2.040,0.000
7300,1.720,0.750,1.560,2.080,1.670,4.220,0.640,9.460,0.920,1.280,1.920,5.040,5.600,2.090,5.840,7.070,13.290,6.070,5.050,0.960,12.710,3.670,8.420,8.500,0.000,0.750,3.090,3.660,2.330,1.530
7400,3.740,5.130,1.410,4.070,3.110,4.530,7.830,14.440,19.790,0.960,11.720,2.430,5.080,6.910,3.140,3.690,9.660,12.410,17.120,3.120,8.740,5.480,8.690,2.280,4.720,3.940,3.120,3.790,2.950,4.050
7500,2.550,1.800,0.780,1.470,1.940,17.570,16.180,13.680,9.560,13.730,5.160,8.210,28.530,20.330,5.400,11.920,14.430,17.110,9.010,26.520,4.100,17.750,7.350,3.550,2.960,1.250,1.200,0.660,2.400,1.280
7600,6.510,0.900,4.050,2.520,2.400,12.020,11.900,12.860,6.480,13.210,20.050,22.270,6.970,12.240,20.200,14.910,0.970,4.190,1.850,2.940,16.360,4.090,5.330,1.880,0.840,2.020,1.060,1.040,1.230,1.440
7700,4.540,6.470,3.330,6.820,4.100,0.890,0.320,0.520,0.640,0.810,3.270,3.370,0.000,1.660,4.940,0.600,3.670,1.650,2.380,1.890,1.700,3.200,1.980,2.400,6.220,0.920,5.500,3.900,4.160,5.960
7800,3.150,0.000,2.740,1.230,2.300,4.750,3.400,0.730,3.200,1.630,0.950,2.590,2.510,3.600,3.100,2.070,1.040,2.940,1.660,4.640,2.150,2.980,2.580,2.700,2.420,6.360,5.080,1.580,2.480,2.380
7900,3.280,7.320,2.630,7.340,5.070,1.590,3.040,2.470,4.870,0.860,3.120,2.260,2.490,3.250,3.320,0.540,3.520,3.060,4.220,2.170,2.690,2.850,2.670,6.000,0.500,3.130,0.000,6.610,2.780,2.050
8000,5.400,2.660,7.540,7.250,4.480,5.510,1.560,2.210,5.510,1.260,2.890,3.130,3.790,3.630,2.940,3.930,1.190,4.200,2.670,2.700,5.080,2.610,3.420,2.520,8.790,8.780,0.960,0.000,0.000,6.920
8100,4.650,4.260,1.510,4.510,1.750,1.350,3.340,2.370,0.760,4.150,0.750,2.330,3.250,3.150,1.500,4.270,4.410,2.600,2.100,1.710,4.680,2.160,1.290,0.710,5.210,5.060,9.650,6.020,8.050,5.110
8200,0.890,3.980,3.680,2.700,5.340,2.840,1.900,2.060,2.530,2.570,3.320,2.720,3.440,0.770,3.420,2.600,0.630,3.950,5.020,5.550,6.000,0.990,3.760,4.390,3.410,4.650,3.560,5.360,5.150,2.540
8300,0.220,5.090,9.730,5.100,8.170,1.820,2.500,3.780,1.620,4.750,0.220,1.110,0.900,4.110,1.320,3.010,0.510,1.620,0.230,3.720,1.000,1.260,8.670,2.050,4.710,4.560,1.110,4.610,3.470,2.540
8400,0.940,0.530,2.000,0.390,1.050,2.240,2.430,1.530,3.390,2.000,3.540,4.050,2.300,6.880,4.140,2.890,6.210,7.500,3.350,1.620,0.240,5.050,3.490,2.180,1.100,1.010,6.850,1.080,0.890,4.670
8500,1.740,0.050,0.760,1.120,0.500,5.320,5.470,3.090,0.240,2.710,0.780,7.520,8.750,5.230,6.420,8.860,8.220,3.290,4.820,8.220,14.350,4.760,10.720,14.030,0.690,1.460,0.380,1.350,0.570,0.300
