Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.287443
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.290089
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.290089
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.290089
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.290089
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.205569
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.399342
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.356168
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.161955
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.911096
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.385043
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.203201
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.049219
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.143524
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.162161
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.349857
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.479413
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.650227
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.260529
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.160456
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.631122
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.136656
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.887000
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.500480
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.234832
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.395420
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.279971
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.830231
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.146003
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.398535
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.003409
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.282091
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.740827
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.267413
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.922827
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.579233
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.142719
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.706299
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.164988
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.672843
41000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.087893
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.647992
43000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.362875
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.365712
45000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.271689
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.507240
47000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.253844
48000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.046147
49000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.525779
50000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.142251
51000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.064249
52000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.276123
53000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.125727
54000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.342211
55000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.369477
56000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.072519
57000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.512194
58000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.397663
59000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.070535
60000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.776085
61000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.855147
62000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.205367
63000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.745085
64000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.050261
65000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.604229
66000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.269202
67000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.171340
68000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.959417
69000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.298140
70000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.627300
71000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.704376
72000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.846115
73000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.893397
74000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.012285
75000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.258518
76000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.762207
77000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.005854
78000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.463754
79000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.237722
80000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.885773
81000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.351156
82000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.941080
83000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.057527
84000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.557569
85000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.394609
86000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.988419
87000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.327863
88000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.179070
89000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.534602
90000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.777263
91000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.003999
92000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.843634
93000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.705855
94000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.529139
95000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.565818
96000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.333035
97000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.174202
98000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.304255
99000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.260772
100000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.531862
101000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.351520
102000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.619919
103000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.517716
