Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.345329
7000,0.2191,0.065854,0.000377,0.000034,0.782670
8000,0.2191,0.065854,0.000377,0.000034,0.288467
9000,0.2191,0.065854,0.000377,0.000034,0.284883
10000,0.2191,0.065854,0.000377,0.000034,0.274988
11000,0.2191,0.065854,0.000377,0.000034,0.281896
12000,0.2191,0.065854,0.000377,0.000034,0.279370
13000,0.2191,0.065854,0.000377,0.000034,0.280630
14000,0.2191,0.065854,0.000377,0.000034,0.289943
15000,0.2191,0.065854,0.000377,0.000034,0.317960
16000,0.2191,0.065854,0.000377,0.000034,0.330225
17000,0.2191,0.065854,0.000377,0.000034,0.333373
18000,0.2191,0.065854,0.000377,0.000034,0.346313
19000,0.2191,0.065854,0.000377,0.000034,0.302687
20000,0.2191,0.065854,0.000377,0.000034,0.265168
21000,0.2191,0.065854,0.000377,0.000034,0.263619
22000,0.2191,0.065854,0.000377,0.000034,0.261910
23000,0.2191,0.065854,0.000377,0.000034,0.267303
24000,0.2191,0.065854,0.000377,0.000034,0.272521
25000,0.2191,0.065854,0.000377,0.000034,0.296756
26000,0.2191,0.065854,0.000377,0.000034,0.402978
27000,0.2191,0.065854,0.000377,0.000034,0.480144
28000,0.2191,0.065854,0.000377,0.000034,0.279792
29000,0.2191,0.065854,0.000377,0.000034,0.291488
30000,0.2191,0.065854,0.000377,0.000034,0.644860
31000,0.2191,0.065854,0.000377,0.000034,0.730655
32000,0.2191,0.065854,0.000377,0.000034,0.624868
33000,0.2191,0.065854,0.000377,0.000034,0.632940
34000,0.2191,0.065854,0.000377,0.000034,0.727280
35000,0.2191,0.065854,0.000377,0.000034,0.831711
36000,0.2191,0.065854,0.000377,0.000034,0.655541
37000,0.2191,0.065854,0.000377,0.000034,0.566485
38000,0.2191,0.065854,0.000377,0.000034,0.609333
39000,0.2191,0.065854,0.000377,0.000034,0.645915
40000,0.2191,0.065854,0.000377,0.000034,0.780062
41000,0.2191,0.065854,0.000377,0.000034,0.872065
42000,0.2191,0.065854,0.000377,0.000034,0.889724
43000,0.2191,0.065854,0.000377,0.000034,0.875582
44000,0.2191,0.065854,0.000377,0.000034,0.879153
45000,0.2191,0.065854,0.000377,0.000034,0.873717
46000,0.2191,0.065854,0.000377,0.000034,0.845381
47000,0.2191,0.065854,0.000377,0.000034,0.871925
48000,0.2191,0.065854,0.000377,0.000034,0.940454
49000,0.2191,0.065854,0.000377,0.000034,0.987036
50000,0.2191,0.065854,0.000377,0.000034,0.994969
51000,0.2191,0.065854,0.000377,0.000034,1.021460
52000,0.2191,0.065854,0.000377,0.000034,0.938139
53000,0.2191,0.065854,0.000377,0.000034,0.852270
54000,0.2191,0.065854,0.000377,0.000034,0.739144
55000,0.2191,0.065854,0.000377,0.000034,0.612048
56000,0.2191,0.065854,0.000377,0.000034,0.515067
57000,0.2191,0.065854,0.000377,0.000034,0.432321
58000,0.2191,0.065854,0.000377,0.000034,0.358593
59000,0.2191,0.065854,0.000377,0.000034,0.288356
60000,0.2191,0.065854,0.000377,0.000034,0.250497
61000,0.2191,0.065854,0.000377,0.000034,0.318262
62000,0.2191,0.065854,0.000377,0.000034,0.328990
63000,0.2191,0.065854,0.000377,0.000034,0.258356
64000,0.2191,0.065854,0.000377,0.000034,0.212671
65000,0.2191,0.065854,0.000377,0.000034,0.236108
66000,0.2191,0.065854,0.000377,0.000034,0.260033
67000,0.2191,0.065854,0.000377,0.000034,0.266551
68000,0.2191,0.065854,0.000377,0.000034,0.260038
69000,0.2191,0.065854,0.000377,0.000034,0.239681
70000,0.2191,0.065854,0.000377,0.000034,0.242095
71000,0.2191,0.065854,0.000377,0.000034,0.201009
72000,0.2191,0.065854,0.000377,0.000034,0.183369
73000,0.2191,0.065854,0.000377,0.000034,0.172275
74000,0.2191,0.065854,0.000377,0.000034,0.142945
75000,0.2191,0.065854,0.000377,0.000034,0.125868
76000,0.2191,0.065854,0.000377,0.000034,0.106428
77000,0.2191,0.065854,0.000377,0.000034,0.091780
78000,0.2191,0.065854,0.000377,0.000034,0.087754
79000,0.2191,0.065854,0.000377,0.000034,0.072283
80000,0.2191,0.065854,0.000377,0.000034,0.066245
81000,0.2191,0.065854,0.000377,0.000034,0.060362
82000,0.2191,0.065854,0.000377,0.000034,0.054056
83000,0.2191,0.065854,0.000377,0.000034,0.050228
84000,0.2191,0.065854,0.000377,0.000034,0.047886
85000,0.2191,0.065854,0.000377,0.000034,0.045447
