Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.0570,0.187474,0.005507,0.000525,0.003950
2000,1.0570,0.187474,0.005507,0.000525,0.000000
3000,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
5000,1.0570,0.187474,0.005507,0.000525,0.000000
6000,1.0570,0.187474,0.005507,0.000525,0.316844
7000,1.0570,0.187474,0.005507,0.000525,4.694071
8000,1.0570,0.187474,0.005507,0.000525,2.281757
9000,1.0570,0.187474,0.005507,0.000525,3.416759
10000,1.0570,0.187474,0.005507,0.000525,3.288877
11000,1.0570,0.187474,0.005507,0.000525,3.948112
12000,1.0570,0.187474,0.005507,0.000525,3.584076
13000,1.0570,0.187474,0.005507,0.000525,4.290921
14000,1.0570,0.187474,0.005507,0.000525,3.477498
15000,1.0570,0.187474,0.005507,0.000525,4.219332
16000,1.0570,0.187474,0.005507,0.000525,3.442406
17000,1.0570,0.187474,0.005507,0.000525,4.356416
18000,1.0570,0.187474,0.005507,0.000525,3.480034
19000,1.0570,0.187474,0.005507,0.000525,3.994289
20000,1.0570,0.187474,0.005507,0.000525,3.824831
21000,1.0570,0.187474,0.005507,0.000525,3.600384
22000,1.0570,0.187474,0.005507,0.000525,3.909417
23000,1.0570,0.187474,0.005507,0.000525,3.521199
24000,1.0570,0.187474,0.005507,0.000525,3.757195
25000,1.0570,0.187474,0.005507,0.000525,3.796960
26000,1.0570,0.187474,0.005507,0.000525,3.858627
27000,1.0570,0.187474,0.005507,0.000525,3.372155
28000,1.0570,0.187474,0.005507,0.000525,3.664489
29000,1.0570,0.187474,0.005507,0.000525,3.578968
30000,1.0570,0.187474,0.005507,0.000525,3.414008
31000,1.0570,0.187474,0.005507,0.000525,3.379470
32000,1.0570,0.187474,0.005507,0.000525,2.864909
33000,1.0570,0.187474,0.005507,0.000525,3.745803
34000,1.0570,0.187474,0.005507,0.000525,3.530870
35000,1.0570,0.187474,0.005507,0.000525,3.946220
36000,1.0570,0.187474,0.005507,0.000525,3.634681
37000,1.0570,0.187474,0.005507,0.000525,3.820963
38000,1.0570,0.187474,0.005507,0.000525,3.885062
39000,1.0570,0.187474,0.005507,0.000525,3.853195
40000,1.0570,0.187474,0.005507,0.000525,3.779895
41000,1.0570,0.187474,0.005507,0.000525,3.720522
42000,1.0570,0.187474,0.005507,0.000525,3.640603
