Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,0.284653
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,1.609313
7000,0.0324,0.013523,0.002678,0.000431,1.510355
8000,0.0324,0.013523,0.002678,0.000431,0.746774
9000,0.0324,0.013523,0.002678,0.000431,0.554145
10000,0.0324,0.013523,0.002678,0.000431,0.453776
11000,0.0324,0.013523,0.002678,0.000431,0.403357
12000,0.0324,0.013523,0.002678,0.000431,0.364220
13000,0.0324,0.013523,0.002678,0.000431,0.347766
14000,0.0324,0.013523,0.002678,0.000431,0.348001
15000,0.0324,0.013523,0.002678,0.000431,0.362222
16000,0.0324,0.013523,0.002678,0.000431,0.366100
17000,0.0324,0.013523,0.002678,0.000431,0.369038
18000,0.0324,0.013523,0.002678,0.000431,0.435089
19000,0.0324,0.013523,0.002678,0.000431,0.492561
20000,0.0324,0.013523,0.002678,0.000431,0.686365
21000,0.0324,0.013523,0.002678,0.000431,1.040595
22000,0.0324,0.013523,0.002678,0.000431,1.124392
23000,0.0324,0.013523,0.002678,0.000431,2.053805
24000,0.0324,0.013523,0.002678,0.000431,1.350986
25000,0.0324,0.013523,0.002678,0.000431,1.092542
26000,0.0324,0.013523,0.002678,0.000431,1.015326
27000,0.0324,0.013523,0.002678,0.000431,1.037656
28000,0.0324,0.013523,0.002678,0.000431,1.087018
29000,0.0324,0.013523,0.002678,0.000431,1.254966
30000,0.0324,0.013523,0.002678,0.000431,1.331359
31000,0.0324,0.013523,0.002678,0.000431,1.319136
32000,0.0324,0.013523,0.002678,0.000431,2.084832
33000,0.0324,0.013523,0.002678,0.000431,1.702866
34000,0.0324,0.013523,0.002678,0.000431,1.513293
35000,0.0324,0.013523,0.002678,0.000431,1.531627
36000,0.0324,0.013523,0.002678,0.000431,1.569589
37000,0.0324,0.013523,0.002678,0.000431,1.561479
38000,0.0324,0.013523,0.002678,0.000431,1.452766
39000,0.0324,0.013523,0.002678,0.000431,1.982465
40000,0.0324,0.013523,0.002678,0.000431,1.626002
41000,0.0324,0.013523,0.002678,0.000431,1.489200
42000,0.0324,0.013523,0.002678,0.000431,1.724609
43000,0.0324,0.013523,0.002678,0.000431,1.696402
44000,0.0324,0.013523,0.002678,0.000431,1.508474
45000,0.0324,0.013523,0.002678,0.000431,1.758809
46000,0.0324,0.013523,0.002678,0.000431,1.947442
47000,0.0324,0.013523,0.002678,0.000431,1.851657
48000,0.0324,0.013523,0.002678,0.000431,1.877748
49000,0.0324,0.013523,0.002678,0.000431,1.868933
50000,0.0324,0.013523,0.002678,0.000431,1.636815
51000,0.0324,0.013523,0.002678,0.000431,1.704629
52000,0.0324,0.013523,0.002678,0.000431,1.963308
53000,0.0324,0.013523,0.002678,0.000431,2.017019
54000,0.0324,0.013523,0.002678,0.000431,2.026891
55000,0.0324,0.013523,0.002678,0.000431,1.830384
56000,0.0324,0.013523,0.002678,0.000431,1.854477
57000,0.0324,0.013523,0.002678,0.000431,1.825213
58000,0.0324,0.013523,0.002678,0.000431,1.895730
59000,0.0324,0.013523,0.002678,0.000431,2.017019
60000,0.0324,0.013523,0.002678,0.000431,1.905955
61000,0.0324,0.013523,0.002678,0.000431,1.768094
62000,0.0324,0.013523,0.002678,0.000431,2.008557
63000,0.0324,0.013523,0.002678,0.000431,2.191783
64000,0.0324,0.013523,0.002678,0.000431,2.163694
65000,0.0324,0.013523,0.002678,0.000431,2.091884
66000,0.0324,0.013523,0.002678,0.000431,2.059916
67000,0.0324,0.013523,0.002678,0.000431,2.178620
68000,0.0324,0.013523,0.002678,0.000431,2.213291
69000,0.0324,0.013523,0.002678,0.000431,2.185084
70000,0.0324,0.013523,0.002678,0.000431,2.100464
71000,0.0324,0.013523,0.002678,0.000431,2.008322
72000,0.0324,0.013523,0.002678,0.000431,2.172979
73000,0.0324,0.013523,0.002678,0.000431,2.293798
74000,0.0324,0.013523,0.002678,0.000431,2.094117
75000,0.0324,0.013523,0.002678,0.000431,2.118681
76000,0.0324,0.013523,0.002678,0.000431,2.124322
77000,0.0324,0.013523,0.002678,0.000431,2.104812
78000,0.0324,0.013523,0.002678,0.000431,2.272055
