Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,8.6440,0.261844,0.058609,0.079322,0.021706
2000,8.6440,0.261844,0.058609,0.079322,0.021343
3000,8.6440,0.261844,0.058609,0.079322,0.021343
4000,8.6440,0.261844,0.058609,0.079322,0.021343
5000,8.6440,0.261844,0.058609,0.079322,0.021343
6000,8.6440,0.261844,0.058609,0.079322,1.790966
7000,8.6440,0.261844,0.058609,0.079322,3.268519
8000,8.6440,0.261844,0.058609,0.079322,2.778139
9000,8.6440,0.261844,0.058609,0.079322,2.968055
10000,8.6440,0.261844,0.058609,0.079322,3.043735
11000,8.6440,0.261844,0.058609,0.079322,2.816025
12000,8.6440,0.261844,0.058609,0.079322,2.897572
13000,8.6440,0.261844,0.058609,0.079322,2.947840
14000,8.6440,0.261844,0.058609,0.079322,1.383922
